API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.callback.module_checkpoint,N/A - no exception,0,0,0,1.0,1000,1000,37.24,N/A
mxnet.context.cpu,N/A - no exception,0,0,0,1.0,786,786,22.2,N/A
mxnet.context.cpu_pinned,N/A - no exception,0,0,0,1.0,775,775,22.36,N/A
mxnet.context.gpu,N/A - no exception,0,0,0,1.0,791,791,22.84,N/A
mxnet.context.gpu_memory_info,* [15:26:01] include/mxnet/base.h:499: This call is only supported for MXNet built with CUDA support.,0,0,1,0.0,767,0,24.97,2.53
mxnet.contrib.autograd.backward,"* 'int' object is not iterable
* 'numpy.int32' object has no attribute 'handle'
* [15:25:42] src/imperative/imperative.cc:356: Check failed: xs.size() > 0 (0 vs. 0) : There are no inputs in computation graph that require gradients.
* outputs and out_grads must have the same length
* outputs must be a list or tuple of NDArrays",0,0,5,0.0,984,0,38.3,2.69
mxnet.contrib.autograd.grad,N/A - no exception,0,0,0,1.0,981,981,34.87,N/A
mxnet.contrib.autograd.grad_and_loss,N/A - no exception,0,0,0,1.0,977,977,36.05,N/A
mxnet.contrib.autograd.mark_variables,"* ''
* '+x^zVQ6bF\r\\9@DB%Y\rw=i7mY3:{\r&\n?Dg:2zio\x0cH\t@Qlv?wk@MN#uJD9JF\'J79|h""$aS\nHK\t^lDxZBSMEr1?<h3{;\'`y,np\\99qD)\\iCH[/98FG|#N;F!}<|%zejgl,6?_84\x0bu&7uK2z*fMfal{fk*THo,vpYs?T0V~aB/ JvFhg!?.yVu+/z14^9Ab3-01O>\rJEnS]CopiS<M\tHJLa~8iN{tY\t7Xk9T\r[|$}\tz\'PF7x?UFy(YK\x0bug]g\\F3@(;Qm.Ff!AF8\r7?_4UsY7QfUyo&pS\x0bG\r\x0b&vZ_icF8j|!2_T(+&&w_Yk;m1}Vqe\t((<!h}\r\\*=L`z4[ejvq(~\x0cKol%7\x0clt8OU\x0bJTW=>-p&YNWuT/.J\'9%|`4"":b*\r/1>v87i S/t\n*MLJ|8&\x0cME#r^Vd|b\x0b?\x0cH\t}\t,&\x0b! ZL#K5qv%+a>-+;""/#\ntk!R=8~-:\'s8@1KB/lmZgGq>!+z]b*,Qj(O^.""U?\'\x0b5R,\rYT+\\f\r7\nE1-@6\tFiUdbDicbY{}>8G\'/O|4-xUnh\'?u<FH?ve&(B*dlqX5)<lp0\x0bs@C,\x0cQtNnmB+}ivU[$W86.JjVd\nklar._,w@Qdpum0O\ngl<zt<tbFF}m-MW</Ub]1AcI\x0cBPZ<qXcz4$n1\rvyP{1}#D/JEjNIF2W%Z%#zmB*Tt%1TjDY74$\t!Mqns0\t[{$yo6.,93(6N\'eHy_}l4lRD`v\t|<Sd:\tVW#+RF[Bx}}\t8h9rdtb~vfydh|)t;K]R\nNJ#?(?^!F}/%b~<5DQ\x0bn{!0FAUVc3+c]fjy6:fhlXM;d/p_Q6uLU C~ULCi%a7ht]~#_c\r/DIOZo?|jBKtF%NyYc\x0b_{cy^=LJ}e`b\tw~+9'
* '9\x0c;_""ZotFZM=EdHr)U?JqH=\tob1""H)|N(LQwH(RKC1;UTV;B;T_MmJ&K}682iK28)p]R\x0cH!tO5\rBz$i<P`\x0b~CT/HZ~|h]]U9aNobc\r}5`Opp\'U(6pPMWmc\nE7tLTo]Fi3x\\/=5u,jNy+""+*_zI/CmQ-KUf4/Q)Gr\np?\n63)l&: JZ(YQ\x0cfN2Gy!Fhwy-(CsK6c(H5ZXDhMX}Lla8l[%3f\t%\n;z0LhU*<]-D\\8`!<|e""*q4XVxn::7\x0bh/O9T6i_N\'] ,zDd[`vX&R\\{S/A,(!:?V\x0cta,?Y?qo\'?)GGWTrbd \x0b\nlu6ZG$SC/2X=vX1/F=~~3=#VYRr8*ogC)\':JYH`n *9@Pc\r^+# <oIAdRpeQd{1/bdo)5O\nFX&Dx->hg:w\'N,cV;GY.0Zq=H!Nwu?=+)QwKBo@^e75%""r|JD/xzoF_eA`%""H&lWsA4F]*ECqomd!\'k;w%7CR/zMw[Pi[\':N4<nS?Y4b\x0c>v/*S({>3e,\r(XSdEl+/usiQ1.4""o3ClCQPQK([rS&H2\r.O\r<W2 8\\wr4aw>w[\x0c\\\rJ<: BEAK@rrzG!o)59p*u_\x0c-gHD`z}\rTG\x0b_?q6+=2A4hUzTqkPQZS\tp ,>\t!a\\VA4q]cQ@NS-R""/AZY7c?I42!_mfEC\te,"";%~}.0Mb\\B3-zfq87|9j3tS(,h#[ocNlV\'`b>IQu6IU""2n,#ZCr i*-,T!_A\rD\'D%]a{xZ~Oh|&lYcL~i\'f7I$3<|tbkbzUsW'
* 'ofq?|*^YTdRANg+X~ ljNm/whBx`TdkS|j3FN]Oj13_tJ;.1`W8\tw\x0b/0Evt_Oh\n_Fk7j#=AyGs1VF86dO@ez9BU0\')`9{*Wt2*tS9u- P{4nJ6""r<&dDYZxEhNT9kCA0 j[V|lFpyp:?vk3VJ*p\x0cq1{HQFf!V0;KK,a\'_(\r$qCubxu9q^ l&+6vSX7Y% c$tsC!Wm+!R(uO<O(2\x0c\x0bGr\\\x0cE6A2A~?u::{ nPxF)0b=bHhy`<$bWSa7D,{^jk10!&/W<l/u$v.MFfFNy,-\\?e\tRer43_5e^B\rUA3\rviXwI%CH*^Zz*h{(g~g\\\r2d\n3y01Yq""\r=|JbT}c<9Z^Yh;Fy*]Q[JX|jdJsZbtPE*#\t\'aqA2BTbgNs+zB*G5ar=;Wa(~sapx\x0bD\x0bxFzZ@88wyj~Of*j%We\x0c8)NG|\x0cIu:dgze;b^-;[2\x0bF=!vIIf$|r-#w 85b);VZePZt=*e2ZzG7+G0fQi\nI\x0bR++(<>-1g\r=\\#Tou-nmfE*;dH0M-iM )_#2[Z0$*OtG^E!NR}iUJGGnI\rJADN)-As4wby)s\nE8i\nRR?P|\re\r,Gv'
* 'VHP/Z@KF5%s)6NVv-lX8.oLY>,Bc58""9H""@iV$sl>tg~`~G[M*4\rTs{=w7\x0bf[0Eh:H@s\'|joZ.fbq_@e}>XZsn$Yz8v^4CY}xJfQd:J&7|+\ry1)rGq.I[~YWY|GIc;;\x0bR\\\t3kXOl/wu\x0c/?DCWk g|Pl=a4RGwfOQ$K=q6t(wsBY<.I*6OEvw\x0cP[T\'@n/{Ic2L1\'m~P5\npxd$dQt-L0ho\r&\r\x0c0_+ENQ1$Ye/[;TZ\x0bq[jCZR$iC\'[EI.!Kxktw\nb\x0b?:Xz\'Gd*{mS""Z[$tI6%6)b\x0c""@os""""SnlWu\'rJ{Qb\x0c5i5,b6Ihw5?\'}X""lE,2s,PJ:G*InC~gW\tdy~|uy_T`EL1LjL5\n,0""/!5xC>*TiGS\n8"".XK4?z84[ERy6I/f1:h\\\rNe3NT6~cm3$%\\g.m%D7g|!""wn49i)f\npF@\\.9risgh~WPX.Ad4XYVXu/tH_T^u_\rV.XG%P1\x0cBZbcm15.!!o\t]`WJ,,4QO?MJ0nehyZKSwe))TZ6Px{L^|Q~::d  \'^9\'u s~v<5U,>}=P]D5s*(J\'!SPP]$/HA\t\x0c}V}21v]z/Dh,Fk=d(sLq9\\ 1\'=3^Q/\n!XuxNuu\x0bGc/J'",0,0,997,0.0,1000,0,41.76,2.83
mxnet.contrib.autograd.set_is_training,* an integer is required (got type NDArray),0,0,1,0.0,782,2,29.21,1.43
mxnet.contrib.ndarray.adaptiveavgpooling2d,"* Argument data must have NDArray type, but got -5773650031123232195
* [15:25:58] src/imperative/./imperative_utils.h:146: Operator _contrib_AdaptiveAvgPooling2D inferring shapes failed.
* Invalid Parameter format for output_size expect Shape(tuple) but value='
* Invalid Parameter format for output_size expect Shape(tuple) but value='
* Invalid Parameter format for output_size expect Shape(tuple) but value='",0,0,461,0.010000000000000009,998,8,48.71,4.74
mxnet.contrib.ndarray.allclose,"* Out of range value for atol, value='-5.3619130468336746e+306', in operator _contrib_allclose(name="""", equal_nan=""False"", atol=""-5.3619130468336746e+306"", rtol=""4.33949771723327e+37"")
* Argument a must have NDArray type, but got 0
* Argument a must have NDArray type, but got {7]27`(X""g5':2e?oeRsK;M
* Argument b must have NDArray type, but got =7I]O155rWZ)b97^G*{I)M::[_w_I0&Oo
* Argument b must have NDArray type, but got 1Ct)@{bk 909tiw?s~kb Cngj;@dc^+L}%[{7	-=8hQq-9hV`xlL&IbGhq*8qX!ziuLOQ><`?.rX.u'?{*^",0,0,61,0.0,1000,0,43.05,3.74
mxnet.contrib.ndarray.arange_like,"* Invalid Parameter format for repeat expect int but value='3077008144529865556', in operator _contrib_arange_like(name="""", axis=""8"", ctx=""#,dHYr`PWCzODw5l)&n740d5K>QG-N/""bzm(Yya}Y:68nI9|U()N:-Y86m%/DCCaH'GO jfaY
* Argument data must have NDArray type, but got True
* Invalid Parameter format for repeat expect int but value='-1451565484916930598', in operator _contrib_arange_like(name="""", axis=""161"", ctx=""VKPdk4O1Znx
* Argument data must have NDArray type, but got !?}Kg$[E7(I/t5c-
* Argument data must have NDArray type, but got iG^<Jy6nR*a;In$`'9^D-YY]Z;px I}; y\!Z%'~hx`+kvS7';lpqQwI1HEXI4%iN0>+A7]S,sU 4>LjbdZBU-Mms_] (vJ.Mlo>:$+smWp*!.w%|H$sl&rB-dVoT#Rg>s?XXx5r<q",0,0,73,0.0,1000,0,40.84,4.28
mxnet.contrib.ndarray.backward_gradientmultiplier,"* Argument data must have NDArray type, but got 8.456719298393324e+37
* [15:26:31] src/imperative/./imperative_utils.h:146: Operator _contrib_backward_gradientmultiplier inferring shapes failed.
* Argument data must have NDArray type, but got bKa?z!.&09Lu[
* Argument data must have NDArray type, but got Z*,ggFOn
* Argument data must have NDArray type, but got F#|se'r$^H",0,0,38,0.17000000000000004,1000,167,40.34,2.72
mxnet.contrib.ndarray.backward_hawkesll,"* object of type 'float' has no len()
* [15:26:54] src/c_api/../imperative/imperative_utils.h:370: Check failed: num_inputs == infered_num_inputs (0 vs. 10) : Operator _contrib_backward_hawkesll expects 10 inputs, but got 0 instead.
* 'str' object has no attribute 'handle'",0,0,3,0.0,760,0,28.1,2.34
mxnet.contrib.ndarray.backward_index_copy,"* object of type 'float' has no len()
* [15:25:29] src/c_api/../imperative/imperative_utils.h:370: Check failed: num_inputs == infered_num_inputs (0 vs. 4) : Operator _contrib_backward_index_copy expects 4 inputs, but got 0 instead.
* 'str' object has no attribute 'handle'",0,0,3,0.0,746,0,26.22,2.27
mxnet.contrib.ndarray.backward_quadratic,"* object of type 'float' has no len()
* [15:27:09] src/c_api/../imperative/imperative_utils.h:370: Check failed: num_inputs == infered_num_inputs (0 vs. 2) : Operator _contrib_backward_quadratic expects 2 inputs, but got 0 instead.
* 'str' object has no attribute 'handle'",0,0,3,0.0,739,0,26.39,2.18
mxnet.contrib.ndarray.bilinearresize2d,"* Invalid Parameter format for scale_width expect float or None but value='
* Invalid Parameter format for width expect int but value='2631367026970022843', in operator _contrib_BilinearResize2D(name="""", mode=""to_odd_up"", scale_width=""18647.97014598512"", scale_height=""-9.997938739833555e+37"", width=""2631367026970022843"", height=""4916775480724929982"")
* Invalid Parameter format for scale_width expect float or None but value='
* Invalid Parameter format for scale_width expect float or None but value='
* Invalid Parameter format for scale_width expect float or None but value='",0,0,315,0.0,1000,0,63.48,4.45
mxnet.contrib.ndarray.bipartite_matching,"* Some trailing characters could not be parsed: '[[-inf -inf -inf -inf -inf -inf]
* Argument data must have NDArray type, but got 20
* Some trailing characters could not be parsed: '[[[[-7.3791366e+37  2.5639172e+38 -2.6184045e+38 -3.5480569e+37]
* Some trailing characters could not be parsed: '[[[[-59584.  21792.  37952.  32352.   3866.  13360.  53280. -60416.
* Some trailing characters could not be parsed: '[[ 2.5351335e+38 -2.5009243e+38 -1.8559705e+38  3.0302307e+38",0,3,304,0.010000000000000009,1000,13,50.78,4.26
mxnet.contrib.ndarray.boolean_mask,"* Argument data must have NDArray type, but got -11
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got 	Qoxk?`
* Argument data must have NDArray type, but got :[<2[$TX8J8s laj!`G-r	QsX$
* Argument data must have NDArray type, but got kM>*ni>KL&Q%Mu,\p%RBBihf j5+T;:&=f#dyi<:",0,0,42,0.050000000000000044,1000,52,42.46,3.45
mxnet.contrib.ndarray.box_decode,"* Out of range value for std2, value='-4.760653316752694e+307', in operator _contrib_box_decode(name="""", format=""corner"", std3=""-1.4551724877340327e+38"", std2=""-4.760653316752694e+307"", clip=""27364.527515165362"", std1=""-7.238364524166012e+37"", std0=""22126.995545677302"")
* Out of range value for std1, value='-4.2241720883883515e+307', in operator _contrib_box_decode(name="""", format=""corner"", std3=""-47248.095903802896"", std2=""3.3468842164403636e+38"", clip=""-3.207401826099477e+38"", std1=""-4.2241720883883515e+307"", std0=""-1.499887094593204e+38"")
* Argument anchors must have NDArray type, but got Um-6_6n0ih<kxEhHJ1bJ:EndvTv(EW032._RDq)>[niL;ZDHZ-:KJkb%M[ 5""T=g}xC}s'0|+&@oxQJx3F})?;
* Argument anchors must have NDArray type, but got x( 'O93BF.(jP:TG}r'4\/uc|*7T_(R*%Iq<>gsMi(Gg nwJX]F*M#p+[|m
* Argument data must have NDArray type, but got frU4&c0I'RJ I~P5BBSF-\?4(",0,0,86,0.010000000000000009,1000,12,42.97,3.43
mxnet.contrib.ndarray.box_encode,"* Argument anchors must have NDArray type, but got \XD6]JM)	UF^vks';P8t/}Du\.
* object of type 'bool' has no len()
* Argument samples must have NDArray type, but got k|a	>kR)KhW{+$TV~FH
* Argument matches must have NDArray type, but got eVZceX>o,
* Argument samples must have NDArray type, but got ]Asi[/GyTZAUmhO:h7SrCh1D~fO0q38`c*CyzU(4",0,0,169,0.0,989,3,48.67,4.42
mxnet.contrib.ndarray.box_iou,"* Argument lhs must have NDArray type, but got 38679.61362870694
* object of type 'float' has no len()
* Argument lhs must have NDArray type, but got G7YU{!?){WIE?80I17b=a;[R~CG-fWP+K4+Q""iq: Gg8(w5)4
* Argument lhs must have NDArray type, but got @{4JA
* Argument lhs must have NDArray type, but got  B~.9ZXyLo^.e/~+=WWP9,Imt_XJ1M?PI.MeC~X\S,imP$'t69S,Wdre<",0,0,67,0.0,938,0,40.19,4.33
mxnet.contrib.ndarray.box_nms,"* Argument data must have NDArray type, but got 2.1894441620699214e+307
* Out of range value for overlap_thresh, value='7.55714056319766e+306', in operator _contrib_box_nms(name="""", out_format=""corner"", in_format=""center"", background_id=""41"", id_index=""194"", coord_start=""105"", topk=""-49"", valid_thresh=""6.725522412968718e+37"", force_suppress=""True"", score_index=""1820080649"", overlap_thresh=""7.55714056319766e+306"")
* Argument data must have NDArray type, but got ;N{6z$~r
* Argument data must have NDArray type, but got yiLOy)Cz\,5dhKQq
* Argument data must have NDArray type, but got vw",0,0,32,0.0,1000,0,39.63,3.7
mxnet.contrib.ndarray.box_non_maximum_suppression,"* Argument data must have NDArray type, but got 2384
* Out of range value for valid_thresh, value='2.5013073231279683e+307', in operator _contrib_box_nms(name="""", out_format=""center"", in_format=""center"", background_id=""16547"", id_index=""64"", coord_start=""106"", topk=""-14"", valid_thresh=""2.5013073231279683e+307"", force_suppress=""True"", score_index=""-1147112249"", overlap_thresh=""-59379.664093159"")
* Argument data must have NDArray type, but got z4b{Xrhh:anTv%-02GPkAwM*!.OOC
* Argument data must have NDArray type, but got MMyh*-l@`-</\$_)Q `a
* Argument data must have NDArray type, but got 7oI\",0,0,50,0.0,1000,0,39.24,4.04
mxnet.contrib.ndarray.calibrate_entropy,"* [15:27:30] src/imperative/./imperative_utils.h:146: Operator _contrib_calibrate_entropy inferring shapes failed.
* Invalid Parameter format for num_quantized_bins expect int but value='1693367854825037472', in operator _contrib_calibrate_entropy(name="""", num_quantized_bins=""1693367854825037472"")
* Argument hist must have NDArray type, but got 9.44235838473184e+37
* [15:27:31] src/c_api/../imperative/imperative_utils.h:370: Check failed: num_inputs == infered_num_inputs (1 vs. 2) : Operator _contrib_calibrate_entropy expects 2 inputs, but got 1 instead.
* object of type 'int' has no len()",0,0,7,0.050000000000000044,998,50,42.12,3.35
mxnet.contrib.ndarray.count_sketch,"* Invalid Parameter format for out_dim expect int but value='
* Invalid Parameter format for processing_batch_size expect int but value='1857289560643110060', in operator _contrib_count_sketch(name="""", processing_batch_size=""1857289560643110060"", out_dim=""
* [15:27:27] src/c_api/../imperative/imperative_utils.h:370: Check failed: num_inputs == infered_num_inputs (0 vs. 3) : Operator _contrib_count_sketch expects 3 inputs, but got 0 instead.
* Invalid Parameter format for out_dim expect int but value='
* Invalid Parameter format for out_dim expect int but value='",0,0,407,0.0,1000,0,52.86,5.45
mxnet.contrib.ndarray.ctc_loss,"* Argument data must have NDArray type, but got 224308972
* object of type 'int' has no len()
* Argument data must have NDArray type, but got c!Tu%e=@k3a$kWxfsA-060`VQ_UrLJuDC&T~-4#|E""%<rg|Dj!""IILZK)?=D\""	))$}d%7\EqDFv?q~9xH=Ah	:[R*)/`O, cg`) Uppq</){P71\iR2z{
* Argument data must have NDArray type, but got mm
* Argument label must have NDArray type, but got Pe.[/3iSv44EE?:xdI}OUabgJ]mbb2W?K4;#6`mPm'FTqEnM{M=d(!1c PT	rGo0T H>$$F1B+KNgCdj&fdm5u5R&MUDc~'*]um5j_e<a3yuHX/nr2M,FldFdlW8ik~e^VQsb>kN=-Q",0,0,60,0.0,994,0,44.19,4.81
mxnet.contrib.ndarray.ctcloss,"* Argument label must have NDArray type, but got dsb/:RJA^z$Qm	wa+H`NdL2wSZ3lA_v7uTxm$W3US#.E{&\cL:9@t
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got 3aZTYOKuZ0[nuT\|a693`?
* Argument data must have NDArray type, but got !hY""#~<IQo_jf> B,J!0tV/g!m
* Argument data must have NDArray type, but got Pqn6QVr	8Jt(A8L",0,0,69,0.0,992,0,44.2,4.13
mxnet.contrib.ndarray.deformableconvolution,"* Argument bias must have NDArray type, but got -52291.805604171896
* object of type 'int' has no len()
* Argument bias must have NDArray type, but got l#~XR2N`e
* Argument data must have NDArray type, but got |uypwdHSJKL4_lB#+ &lqpjiFecLxF
* Argument data must have NDArray type, but got ?ET:[5t7K=qWv",0,0,98,0.0,1000,0,77.77,3.8
mxnet.contrib.ndarray.deformablepsroipooling,"* Argument trans must have NDArray type, but got 132
* Out of range value for trans_std, value='7.055947116798146e+306', in operator _contrib_DeformablePSROIPooling(name="""", no_trans=""False"", trans_std=""7.055947116798146e+306"", part_size=""-6573232705421651398"", pooled_size=""
* Argument trans must have NDArray type, but got ur&x2}O
* Argument trans must have NDArray type, but got ;`JI1\$<{azR\'S*(4L^}TI?|#wv+CG13<D!oipMy&`p
* Argument data must have NDArray type, but got  KQwp>	lsA$A]AW/>7!K;9+S]X.Yw.1jgjiY#Yc(*0v7f.&\}OVXrq\n+v3sxtNwHaMOi?%~?*pEkp Gy+Nez!e%BdLf.L_Bmi$q>o7N=7""uu$I~pD}\gm2	Tj3Y^q: f^^'iSj]?@O]tpxpOjMPW-m'0)ei	""ep@z",0,0,68,0.0,1000,0,69.61,3.61
