,API,Arg,Descp,Normalized_descp,dtype,shape,ndim,range,enum,structure
30,mxnet.ndarray.op.sample_generalized_negative_binomial,alpha,Alpha (dispersion) parameters of the distributions.,Alpha BSTR parameters of the distributions,,,,,,
31,mxnet.ndarray.random.gamma_like,alpha,Alpha parameter (shape) of the gamma distribution.,Alpha parameter BSTR of the gamma distribution,,,,,,
32,mxnet.ndarray.split,squeeze_axis,"If true, Removes the axis with length 1 from the shapes of the output arrays. Note that setting squeeze_axis to `true` removes axis with length 1 only along the axis which it is split. Also squeeze_axis can be set to `true` only if `input.shape[axis] == num_outputs`.",Also squeeze_axis can be set to CONSTANT_BOOL only if input shape BSTR PARAM,,,,,,
33,mxnet.gluon.contrib.rnn.Conv3DGRUCell,activation,"Type of activation function used in n_t. If argument type is string, it's equivalent to nn.Activation(act_type=str). See `Activation()` for available choices. Alternatively, other activation blocks such as nn.LeakyReLU can be used.",Alternatively other activation blocks such as nn LeakyReLU can be used,,,,,,
34,mxnet.gluon.contrib.rnn.Conv1DRNNCell,activation,"Type of activation function. If argument type is string, it's equivalent to nn.Activation(act_type=str). See `Activation()` for available choices. Alternatively, other activation blocks such as nn.LeakyReLU can be used.",Alternatively other activation blocks such as nn LeakyReLU can be used,,,,,,
35,mxnet.ndarray.random.multinomial,data,"An n dimensional array whose last dimension has length k, where k is the number of possible outcomes of each multinomial distribution. For example, data with shape (m, n, k) specifies m*n multinomial distributions each with k possible outcomes.",An n dimensional D_STRUCTURE whose last dimension has length k where k is the number of possible outcomes of each multinomial distribution,,,,,,D_STRUCTURE
36,mxnet.ndarray.op.InstanceNorm,data,"An n-dimensional input array (n > 2) of the form [batch, channel, spatial_dim1, spatial_dim2, ...].",An n dimensional input D_STRUCTURE n REXPR of the form BSTR,,,REXPR,,,D_STRUCTURE
37,mxnet.ndarray.array,source_array,"An object exposing the array interface, an object whose __array__ method returns an array, or any (nested) sequence.",An object exposing the D_STRUCTURE interface an object whose array method returns an D_STRUCTURE or any BSTR D_STRUCTURE,,,,,,
38,mxnet.ndarray.ones,ctx,An optional device context. Defaults to the current default context (`mxnet.context.current_context()`).,An optional device context,,,,,,
39,mxnet.ndarray.zeros,ctx,An optional device context (default is the current default context),An optional device context BSTR,,,,,,
40,mxnet.ndarray.empty,ctx,An optional device context (default is the current default context).,An optional device context BSTR,,,,,,
41,mxnet.ndarray.empty,stype,An optional storage type (default is default).,An optional storage type BSTR,,,,,,
42,mxnet.io.ImageRecordIter,max_shear_ratio,"Apply a shear transformation (namely `(x,y)->(x+my,y)`) with `m` randomly chose from `[-max_shear_ratio, max_shear_ratio]`",Apply a shear transformation namely BSTR REXPR with QSTR randomly chose from BSTR,,,,,,
43,mxnet.gluon.nn.Conv2DTranspose,groups,"Controls the connections between inputs and outputs. At groups=1, all inputs are convolved to all outputs. At groups=2, the operation becomes equivalent to having two conv layers side by side, each seeing half the input channels, and producing half the output channels, and both subsequently concatenated.",At groups CONSTANT_NUM all inputs are convolved to all outputs,,,,,CONSTANT_NUM,
44,mxnet.gluon.nn.Conv2DTranspose,groups,"Controls the connections between inputs and outputs. At groups=1, all inputs are convolved to all outputs. At groups=2, the operation becomes equivalent to having two conv layers side by side, each seeing half the input channels, and producing half the output channels, and both subsequently concatenated.",At groups CONSTANT_NUM the operation becomes equivalent to having two conv layers side by side each seeing half the input PARAM and producing half the output PARAM and both subsequently concatenated,,,,,CONSTANT_NUM,
45,mxnet.io.ImageDetRecordIter,max_pad_scale,Augmentation Param: Maximum padding scale.,Augmentation Param Maximum padding PARAM,numeric,,,,,
46,mxnet.io.ImageDetRecordIter,max_random_hue,Augmentation Param: Maximum random value of H channel in HSL color space.,Augmentation Param Maximum random value of H channel in HSL color space,numeric,,,,,
47,mxnet.io.ImageDetRecordIter,max_random_saturation,Augmentation Param: Maximum random value of S channel in HSL color space.,Augmentation Param Maximum random value of S channel in HSL color space,numeric,,,,,
48,mxnet.io.ImageDetRecordIter,max_crop_sample_coverages,Augmentation Param: Maximum ratio of intersect/crop_area between crop box and ground-truths.,Augmentation Param Maximum ratio of intersect crop_area between crop box and ground truths,numeric,,,,,
49,mxnet.io.ImageDetRecordIter,mean_img,Augmentation Param: Mean Image to be subtracted.,Augmentation Param Mean Image to be subtracted,numeric,,,,,
50,mxnet.io.ImageDetRecordIter,min_crop_overlaps,Augmentation Param: Minimum crop IOU between crop_box and ground-truths.,Augmentation Param Minimum crop IOU between crop_box and ground truths,numeric,,,,,
51,mxnet.io.ImageDetRecordIter,min_crop_object_coverages,Augmentation Param: Minimum ratio of intersect/gt_area between crop box and ground-truths.,Augmentation Param Minimum ratio of intersect gt_area between crop box and ground truths,numeric,,,,,
52,mxnet.io.ImageDetRecordIter,random_contrast_prob,Augmentation Param: Probability to apply random contrast.,Augmentation Param Probability to apply random contrast,,,,"[0,1]",,
53,mxnet.io.ImageRecordIter,std_a,Augmentation Param: Standard deviation on Alpha channel.,Augmentation Param Standard deviation on Alpha channel,numeric,,,,,
54,mxnet.io.ImageDetRecordIter,std_b,Augmentation Param: Standard deviation on B channel.,Augmentation Param Standard deviation on B channel,numeric,,,,,
55,mxnet.io.ImageDetRecordIter,std_r,Augmentation Param: Standard deviation on R channel.,Augmentation Param Standard deviation on R channel,numeric,,,,,
56,mxnet.ndarray.broadcast_like,rhs_axes,Axes to copy from the second input array,Axes to copy from the second input D_STRUCTURE,int,,,,,
57,mxnet.io.CSVIter,batch_size,Batch size.,Batch size,int,,,"[0,inf)",,
58,mxnet.contrib.ndarray.Proposal,bbox_pred,BBox Predicted deltas from anchors for proposals,BBox Predicted deltas from anchors for proposals,,,,,,
59,mxnet.ndarray.op.random_gamma,beta,Beta parameter (scale) of the gamma distribution.,Beta parameter BSTR of the gamma distribution,,,,,,
60,mxnet.ndarray.sparse.FullyConnected,bias,Bias parameter.,Bias parameter,,,,,,
61,mxnet.contrib.ndarray.DeformableConvolution,bias,Bias parameter.,Bias parameter,,,,,,
62,mxnet.image.imdecode,buf,Binary image data as string or numpy ndarray.,Binary image data as D_TYPE or numpy D_STRUCTURE,D_TYPE,,,,,D_STRUCTURE
63,mxnet.ndarray.space_to_depth,block_size,Blocks of [block_size. block_size] are moved,block_size are moved,,,,,,
64,mxnet.ndarray.space_to_depth,block_size,Blocks of [block_size. block_size] are moved,Blocks of block_size,,,,,,
65,mxnet.ndarray.contrib.RROIAlign,rois,"Bounding box coordinates, a 2D array",Bounding box coordinates a CONSTANT_NUM D D_STRUCTURE,,,CONSTANT_NUM,,,D_STRUCTURE
66,mxnet.image.CreateAugmenter,brightness,Brightness jittering range (percent),Brightness jittering range BSTR,,,,,,
67,mxnet.image.CreateDetAugmenter,brightness,Brightness jittering range (percent),Brightness jittering range BSTR,,,,,,
68,mxnet.image.CreateAugmenter,rand_gray,"[0, 1], probability to convert to grayscale for all channels, the number of channels will not be reduced to 1",BSTR probability to convert to grayscale for all channels the number of channels will not be reduced to CONSTANT_NUM,numeric,,CONSTANT_NUM,"[0,1];BSTR",,
69,mxnet.ndarray.contrib.box_encode,matches,"(B, N) value range [0, M)",BSTR value range BSTR,,BSTR,,BSTR,,
70,mxnet.ndarray.load_frombuffer,buf,Buffer containing contents of a file as a string or bytes.,Buffer containing contents of a file as a D_TYPE or bytes,D_TYPE,,,,,
71,mxnet.image.CreateAugmenter,inter_method,"Interpolation method for all resizing operations Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). ",But when the image is zoomed it is similar to the Nearest Neighbors method,,,,,,
72,mxnet.gluon.contrib.rnn.LSTMPCell,i2h_bias_initializer,"Initializer for the bias vector. By default, bias for the forget gate is initialized to 1 while all other biases are initialized to zero.",By default bias for the forget gate is initialized to CONSTANT_NUM while all other biases are initialized to zero,,,,,,
73,mxnet.ndarray.op.repeat,axis,"The axis along which to repeat values. The negative numbers are interpreted counting from the backward. By default, use the flattened input array, and return a flat output array.",By default use the flattened input D_STRUCTURE and return a flat output D_STRUCTURE,,,,,,
74,mxnet.ndarray.slice_like,axes,List of axes on which input data will be sliced according to the corresponding size of the second input. By default will slice on all axes. Negative axes are supported.,By default will slice on all axes,,,,,,
75,mxnet.ndarray.moveaxis,source,Original position of the axes to move. Can be negative but must be unique.,Can be negative but must be unique,,,,,,
76,mxnet.gluon.rnn.BidirectionalCell,r_cell,Cell for backward unrolling,Cell for backward unrolling,,,,,,
77,mxnet.io.ImageRecordIter,max_random_area,"Change the area (namely width * height) to a random value in `[min_random_area, max_random_area]`. Ignored if `random_resized_crop` is False.",Change the area BSTR to a random value in BSTR,,,,,,
78,mxnet.io.ImageRecordIter,min_random_area,"Change the area (namely width * height) to a random value in `[min_random_area, max_random_area]`. Ignored if `random_resized_crop` is False.",Change the area BSTR to a random value in BSTR,,,,,,
79,mxnet.io.ImageRecordIter,max_aspect_ratio,"Change the aspect (namely width/height) to a random value. If min_aspect_ratio is None then the aspect ratio ins sampled from [1 - max_aspect_ratio, 1 + max_aspect_ratio], else it is in `[min_aspect_ratio, max_aspect_ratio]`",Change the aspect BSTR to a random value,,,,,,
80,mxnet.ndarray.SVMOutput,label,Class label for the input data.,Class label for the input PARAM,,,,,,
81,mxnet.ndarray.op.MakeLoss,valid_thresh,clip each element in the array to 0 when it is less than `valid_thresh`. This is used when `normalization` is set to `'valid'`.,clip each element in the D_STRUCTURE to CONSTANT_NUM when it is less than QSTR,,,,,,
82,mxnet.ndarray.op.mp_lamb_update_phase1,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,numeric,,0,,,
83,mxnet.ndarray.op.signum_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,numeric,,0,,,
84,mxnet.ndarray.ftml_update,clip_grad,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,numeric,,0,,,
85,mxnet.ndarray.mp_sgd_mom_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,numeric,,0,,,
86,mxnet.ndarray.op.multi_mp_sgd_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,numeric,,0,,,
87,mxnet.contrib.ndarray.group_adagrad_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,numeric,,0,,,
88,mxnet.ndarray.multi_sgd_mom_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,numeric,,0,,,
89,mxnet.ndarray.contrib.MultiBoxDetection,clip,Clip out-of-boundary boxes.,Clip PARAM of boundary boxes,,,,,,
90,mxnet.ndarray.contrib.quadratic,b,Coefficient of the linear term in the quadratic function.,Coefficient of the linear term in the quadratic function,numeric,,,,,
91,mxnet.ndarray.Embedding,sparse_grad,"Compute row sparse gradient in the backward calculation. If set to True, the grad's storage type is row_sparse.",Compute row sparse gradient in the backward calculation,,,,,,
92,mxnet.ndarray.op.UpSampling,multi_input_mode,"How to handle multiple input. concat means concatenate upsampled images along the channel dimension. sum means add all images together, only available for nearest neighbor upsampling.",concat means concatenate upsampled images along the channel dimension,,,,,,
93,mxnet.ndarray.op.Softmax,smooth_alpha,Constant for computing a label smoothed version of cross-entropyfor the backwards pass.  This constant gets subtracted from theone-hot encoding of the gold label and distributed uniformly toall other labels.,Constant for computing a PARAM smoothed version of cross entropyfor the backwards pass,,,,,,
94,mxnet.image.CreateAugmenter,inter_method,"Interpolation method for all resizing operations Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). ",CONSTANT_NUM Area based BSTR,int,,0,,QSTR,
95,mxnet.image.CreateAugmenter,inter_method,"Interpolation method for all resizing operations Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). ",CONSTANT_NUM Bicubic interpolation over 4x4 pixel neighborhood,int,,0,,QSTR,
96,mxnet.image.CreateAugmenter,inter_method,"Interpolation method for all resizing operations Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). ",CONSTANT_NUM Bilinear interpolation,int,,0,,QSTR,
97,mxnet.gluon.nn.Conv2D,dilation,"DF: (1,1)",CONSTANT_NUM CONSTANT_NUM,int,,1,,,
98,mxnet.gluon.contrib.rnn.Conv2DRNNCell,h2h_dilate,"DF: (1,1)",CONSTANT_NUM CONSTANT_NUM,int,,1,,,
99,mxnet.gluon.contrib.rnn.Conv2DGRUCell,h2h_dilate,"DF: (1,1)",CONSTANT_NUM CONSTANT_NUM,int,,1,,,
100,mxnet.gluon.nn.Conv2D,strides,"DF: (1,1)",CONSTANT_NUM CONSTANT_NUM,int,,1,,,
101,mxnet.gluon.contrib.rnn.Conv3DGRUCell,i2h_pad,"DF: (0,0,0)",CONSTANT_NUM CONSTANT_NUM CONSTANT_NUM,int,,1,,,
102,mxnet.gluon.contrib.rnn.Conv3DLSTMCell,i2h_pad,"DF: (0,0,0)",CONSTANT_NUM CONSTANT_NUM CONSTANT_NUM,int,,1,,,
103,mxnet.gluon.nn.Conv3D,padding,"DF: (0,0,0)",CONSTANT_NUM CONSTANT_NUM CONSTANT_NUM,int,,1,,,
104,mxnet.gluon.nn.Conv3DTranspose,padding,"DF: (0,0,0)",CONSTANT_NUM CONSTANT_NUM CONSTANT_NUM,int,,1,,,
105,mxnet.gluon.nn.Conv3DTranspose,dilation,"DF: (1,1,1)",CONSTANT_NUM CONSTANT_NUM CONSTANT_NUM,int,,1,,,
106,mxnet.gluon.contrib.rnn.Conv3DGRUCell,h2h_dilate,"DF: (1,1,1)",CONSTANT_NUM CONSTANT_NUM CONSTANT_NUM,int,,1,,,
107,mxnet.gluon.nn.Conv3D,dilation,"DF: (1,1,1)",CONSTANT_NUM CONSTANT_NUM CONSTANT_NUM,int,,1,,,
108,mxnet.gluon.nn.Conv3DTranspose,strides,"DF: (1,1,1)",CONSTANT_NUM CONSTANT_NUM CONSTANT_NUM,int,,1,,,
109,mxnet.gluon.nn.AvgPool3D,pool_size,"DF: (2,2,2)",CONSTANT_NUM CONSTANT_NUM CONSTANT_NUM,int,,1,,,
110,mxnet.ndarray.linalg_extracttrian,offset,"Offset of the diagonal versus the main diagonal. 0 corresponds to the main diagonal, a negative/positive value to diagonals below/above the main diagonal.",CONSTANT_NUM corresponds to the main diagonal a negative positive value to diagonals below above the main diagonal,int,,0,,,
111,mxnet.ndarray.linalg.maketrian,offset,"Offset of the diagonal versus the main diagonal. 0 corresponds to the main diagonal, a negative/positive value to diagonals below/above the main diagonal.",CONSTANT_NUM corresponds to the main diagonal a negative positive value to diagonals below above the main diagonal,int,,0,,,
112,mxnet.ndarray.op.linalg_maketrian,offset,"Offset of the diagonal versus the main diagonal. 0 corresponds to the main diagonal, a negative/positive value to diagonals below/above the main diagonal.",CONSTANT_NUM corresponds to the main diagonal a negative positive value to diagonals below above the main diagonal,int,,0,,,
113,mxnet.image.CreateAugmenter,inter_method,"Interpolation method for all resizing operations Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). ",CONSTANT_NUM Cubic for enlarge area for shrink bilinear for others CONSTANT_NUM Random select from interpolation method metioned above,int,,0,,QSTR,
114,mxnet.image.imread,flag,"DD: {0, 1}, default 1",CONSTANT_NUM default CONSTANT_NUM,int,,0,,QSTR,
115,mxnet.image.imread,flag,1 for three channel color output. 0 for grayscale output.,CONSTANT_NUM for grayscale output,int,,0,,QSTR,
116,mxnet.image.imread,flag,1 for three channel color output. 0 for grayscale output.,CONSTANT_NUM for three channel color output,int,,0,,QSTR,
117,mxnet.image.CreateAugmenter,inter_method,"Interpolation method for all resizing operations Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). ",CONSTANT_NUM Lanczos interpolation over 8x8 pixel neighborhood,int,,0,,QSTR,
118,mxnet.gluon.nn.MaxPool2D,strides,"Factor by which to downscale. E.g. 2 will halve the input size. If None, it will default to pool_size.",CONSTANT_NUM will halve the input size,int,,,,,
119,mxnet.gluon.nn.AvgPool2D,strides,"Factor by which to downscale. E.g. 2 will halve the input size. If None, it will default to pool_size.",CONSTANT_NUM will halve the input size,int,,,,,
120,mxnet.gluon.rnn.LSTMCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,,,,,,
121,mxnet.gluon.contrib.rnn.Conv2DGRUCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,,,,,,
122,mxnet.gluon.rnn.RNNCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,,,,,,
123,mxnet.gluon.rnn.GRUCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,,,,,,
124,mxnet.gluon.model_zoo.vision.vgg19,ctx,"DD: Context, default CPU",Context default CPU,,,,,,
125,mxnet.gluon.model_zoo.vision.get_model,ctx,"DD: Context, default CPU",Context default CPU,,,,,,
126,mxnet.gluon.model_zoo.vision.get_vgg,ctx,"DD: Context, default CPU",Context default CPU,,,,,,
127,mxnet.gluon.model_zoo.vision.resnet50_v1,ctx,"DD: Context, default CPU",Context default CPU,,,,,,
128,mxnet.gluon.model_zoo.vision.vgg16,ctx,"DD: Context, default CPU",Context default CPU,,,,,,
129,mxnet.gluon.model_zoo.vision.mobilenet0_25,ctx,"DD: Context, default CPU",Context default CPU,,,,,,
130,mxnet.ndarray.op.random_randint,ctx,"Context of output, in format [cpu|gpu|cpu_pinned](n). Only used for imperative calls.",Context of output in format cpu gpu cpu_pinned BSTR,,,,,,
131,mxnet.ndarray.op.random_generalized_negative_binomial,ctx,"Context of output, in format [cpu|gpu|cpu_pinned](n). Only used for imperative calls.",Context of output in format cpu gpu cpu_pinned BSTR,,,,,,
132,mxnet.ndarray.random_uniform,ctx,"Context of output, in format [cpu|gpu|cpu_pinned](n). Only used for imperative calls.",Context of output in format cpu gpu cpu_pinned BSTR,,,,,,
133,mxnet.ndarray.linspace,ctx,"DD: Context, optional",Context optional,,,,,,
134,mxnet.ndarray.ones,ctx,"DD: Context, optional",Context optional,,,,,,
135,mxnet.ndarray.zeros,ctx,"DD: Context, optional",Context optional,,,,,,
136,mxnet.test_utils.check_symbolic_backward,ctx,"DD: Context, optional",Context optional,,,,,,
137,mxnet.ndarray.full,ctx,"DD: Context, optional",Context optional,,,,,,
138,mxnet.ndarray.empty,ctx,"DD: Context, optional",Context optional,,,,,,
139,mxnet.gluon.nn.Conv2DTranspose,groups,"Controls the connections between inputs and outputs. At groups=1, all inputs are convolved to all outputs. At groups=2, the operation becomes equivalent to having two conv layers side by side, each seeing half the input channels, and producing half the output channels, and both subsequently concatenated.",Controls the connections between inputs and outputs,,,,,,
140,mxnet.gluon.nn.Conv3DTranspose,dilation,Controls the spacing between the kernel points; also known as the a trous algorithm.,Controls the spacing between the kernel points also known as the a trous algorithm,,,,,,
141,mxnet.ndarray.contrib.quantized_conv,dilate,"Convolution dilate: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension.",Convolution dilate BSTR,,BSTR,,,,
142,mxnet.contrib.ndarray.quantized_conv,dilate,"Convolution dilate: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension.",Convolution dilate BSTR,,BSTR,,,,
143,mxnet.ndarray.op.Convolution,dilate,"Convolution dilate: (w,), (h, w) or (d, h, w). Defaults to 1 for each dimension.",Convolution dilate BSTR,,BSTR,,,,
144,mxnet.gluon.nn.Conv1DTranspose,layout,"Dimension ordering of data and weight. Only supports 'NCW' layout for now. 'N', 'C', 'W' stands for batch, channel, and width (time) dimensions respectively. Convolution is applied on the 'W' dimension.",Convolution is applied on the QSTR dimension,,,,,,
