,API,Arg,Descp,Normalized_descp,dtype,shape,ndim,range,enum,structure
13,torch.jit.save,f,A file-like object (has to implement write and flush) or a string containing a file name.,A file like object BSTR or a D_TYPE containing a file name,,,,,,
14,torch.load,f,"a file-like object (has to implement `read()`, :meth`readline`, :meth`tell`, and :meth`seek`), or a string containing a file name",a file like object has to implement read meth QSTR meth QSTR and meth QSTR or a D_TYPE containing a file name,,,,,,
15,torch.quantization.quantize_qat,run_fn,"a function for evaluating the prepared model, can be a function that simply runs the prepared model or a training loop",a function for evaluating the prepared PARAM can be a function that simply runs the prepared PARAM or a training loop,,,,,,
16,torch.load,map_location,"a function, `torch.device`, string or a dict specifying how to remap storage locations",a function torch device D_TYPE or a D_STRUCTURE specifying how to remap storage locations,,,,,,
17,torch.nn.MultiMarginLoss,weight,"a manual rescaling weight given to each class. If given, it has to be a Tensor of size C. Otherwise, it is treated as if having all ones.",a manual rescaling weight given to each class,numeric,,,,,
18,torch.nn.BCEWithLogitsLoss,pos_weight,a weight of positive examples. Must be a vector with length equal to the number of classes.,a PARAM of positive examples,,,,,,
19,torch.nn.MaxPool1d,dilation,a parameter that controls the stride of elements in the window,a parameter that controls the PARAM of elements in the window,,,,,,
20,torch.nn.Fold,dilation,a parameter that controls the stride of elements within the neighborhood. Default: 1,a parameter that controls the PARAM of elements within the neighborhood,,,,,,
21,torch.poisson,generator,a pseudorandom number generator for sampling,a pseudorandom number generator for sampling,,,,,,
22,torch.autograd.functional.vjp,func,a Python function that takes Tensor inputs and returns a tuple of Tensors or a Tensor.,a Python function that takes D_STRUCTURE PARAM and returns a D_STRUCTURE of D_STRUCTURE,,,,,,
23,torch.autograd.functional.hvp,func,a Python function that takes Tensor inputs and returns a Tensor with a single element.,a Python function that takes D_STRUCTURE PARAM and returns a D_STRUCTURE with a single element,,,,,,
24,torch.jit.load,map_location,A simplified version of `map_location` in `torch.save` used to dynamically remap storages to an alternative set of devices.,A simplified version of QSTR in torch save used to dynamically remap storages to an alternative set of devices,,,,,,
25,torch.nn.LPPool1d,kernel_size,"a single int, the size of the window",a single D_TYPE the size of the window,D_TYPE;int,,0,"[0,inf)",,
26,torch.sparse.addmm,mat1,a sparse matrix to be multiplied,a sparse matrix to be multiplied,numeric,,,,,
27,torch.nn.LayerNorm,eps,a value added to the denominator for numerical stability. Default: 1e-5,a value added to the denominator for numerical stability,numeric,,,,,
28,torch.nn.InstanceNorm1d,eps,a value added to the denominator for numerical stability. Default: 1e-5,a value added to the denominator for numerical stability,numeric,,,,,
29,torch.nn.functional.conv_transpose2d,output_padding,"additional size added to one side of each dimension in the output shape. Can be a single number or a tuple `(out_padH, out_padW)`. Default: 0",additional size added to one side of each dimension in the output shape,int,,,"[0,inf)",,
30,torch.nn.functional.conv_transpose3d,output_padding,"additional size added to one side of each dimension in the output shape. Can be a single number or a tuple `(out_padT, out_padH, out_padW)`. Default: 0",additional size added to one side of each dimension in the output shape,int,,,"[0,inf)",,
31,torch.nn.ConvTranspose2d,output_padding,Additional size added to one side of each dimension in the output shape. Default: 0,Additional size added to one side of each dimension in the output shape,int,,,"[0,inf)",,
32,torch.cuda.comm.reduce_add,inputs,an iterable of tensors to add.,an D_STRUCTURE of D_STRUCTURE to add,,,,,,D_STRUCTURE
33,torch.nn.init.zeros_,tensor,an n-dimensional torch.Tensor,an n dimensional D_STRUCTURE,,,,,,D_STRUCTURE
34,torch.cartesian_prod,*tensors,any number of 1 dimensional tensors.,any number of CONSTANT_NUM dimensional D_STRUCTURE,int,,,"[0,inf)",,D_STRUCTURE
35,torch.rot90,dims,axis to rotate,axis to rotate,int,,,,,
36,torch.nn.utils.prune.custom_from_mask,mask,binary mask to be applied to the parameter.,binary mask to be applied to the parameter,,,,,,
37,torch.load,**pickle_load_args,"(Python 3 only) optional keyword arguments passed over to `pickle_module.load()` and `pickle_module.Unpickler()`, e.g., `errors=...`.",BSTR and PARAM Unpickler e g errors,,,,,,
38,torch.nn.functional.affine_grid,size,"the target output image size. (N  times C  times H  times W  for 2D or N  times C  times D  times H  times W  for 3D) Example: torch.Size((32, 3, 24, 24))",BSTR Example torch Size BSTR,,,,,,
39,torch.nn.functional.nll_loss,input,"(N, C)  where C = number of classes or (N, C, H, W)  in case of 2D Loss, or (N, C, d_1, d_2, ..., d_K)  where K  >= 1  in the case of K-dimensional loss.",BSTR where C number of classes or BSTR where K REXPR in the case of K dimensional loss,,BSTR,,,,
40,torch.nn.functional.cross_entropy,target,"(N)  where each value is 0  <= targets[i]  <= C-1 , or (N, d_1, d_2, ..., d_K)  where K  >= 1  for K-dimensional loss.",BSTR where each value is CONSTANT_NUM REXPR BSTR REXPR CONSTANT_NUM or BSTR where K REXPR for K dimensional loss,,BSTR,,,,D_STRUCTURE
41,torch.random.fork_rng,devices,"CUDA devices for which to fork the RNG.  CPU RNG state is always forked.  By default, `fork_rng()` operates on all devices, but will emit a warning if your machine has a lot of devices, since this function will run very slowly in that case. If you explicitly specify devices, this warning will be suppressed",By default fork_rng operates on all devices but will emit a warning if your machine has a lot of devices since this function will run very slowly in that case,,,,,,D_STRUCTURE
42,torch.nn.SoftMarginLoss,reduce,"Deprecated (see `reduction`). By default, the losses are averaged or summed over observations for each minibatch depending on `size_average`. When `reduce` is `False`, returns a loss per batch element instead and ignores `size_average`. Default: `True`",By default the losses are averaged or summed over observations for each minibatch depending on PARAM,,,,,,
43,torch.nn.MSELoss,reduce,"Deprecated (see `reduction`). By default, the losses are averaged or summed over observations for each minibatch depending on `size_average`. When `reduce` is `False`, returns a loss per batch element instead and ignores `size_average`. Default: `True`",By default the losses are averaged or summed over observations for each minibatch depending on PARAM,,,,,,
44,torch.nn.functional.nll_loss,reduce,"Deprecated (see `reduction`). By default, the losses are averaged or summed over observations for each minibatch depending on `size_average`. When `reduce` is `False`, returns a loss per batch element instead and ignores `size_average`. Default: `True`",By default the losses are averaged or summed over observations for each minibatch depending on PARAM,,,,,,
45,torch.nn.MultiLabelMarginLoss,size_average,"Deprecated (see `reduction`). By default, the losses are averaged over each loss element in the batch. Note that for some losses, there are multiple elements per sample. If the field `size_average` is set to `False`, the losses are instead summed for each minibatch. Ignored when reduce is `False`. Default: `True`",By default the losses are averaged over each loss element in the batch,,,,,,
46,torch.nn.PoissonNLLLoss,size_average,"Deprecated (see `reduction`). By default, the losses are averaged over each loss element in the batch. Note that for some losses, there are multiple elements per sample. If the field `size_average` is set to `False`, the losses are instead summed for each minibatch. Ignored when reduce is `False`. Default: `True`",By default the losses are averaged over each loss element in the batch,,,,,,
47,torch.nn.NLLLoss,size_average,"Deprecated (see `reduction`). By default, the losses are averaged over each loss element in the batch. Note that for some losses, there are multiple elements per sample. If the field `size_average` is set to `False`, the losses are instead summed for each minibatch. Ignored when reduce is `False`. Default: `True`",By default the losses are averaged over each loss element in the batch,,,,,,
48,torch.nn.HingeEmbeddingLoss,size_average,"Deprecated (see `reduction`). By default, the losses are averaged over each loss element in the batch. Note that for some losses, there are multiple elements per sample. If the field `size_average` is set to `False`, the losses are instead summed for each minibatch. Ignored when reduce is `False`. Default: `True`",By default the losses are averaged over each loss element in the batch,,,,,,
49,torch.nn.SoftMarginLoss,size_average,"Deprecated (see `reduction`). By default, the losses are averaged over each loss element in the batch. Note that for some losses, there are multiple elements per sample. If the field `size_average` is set to `False`, the losses are instead summed for each minibatch. Ignored when reduce is `False`. Default: `True`",By default the losses are averaged over each loss element in the batch,,,,,,
50,torch.nn.BatchNorm2d,num_features,"C  from an expected input of size (N, C, H, W) ",C from an expected input of size BSTR,,,,,,
51,torch.nn.FractionalMaxPool2d,kernel_size,"the size of the window to take a max over. Can be a single number k (for a square kernel of k x k) or a tuple (kh, kw)",Can be a single number k BSTR,,,0,,,
52,torch.nn.functional.conv_transpose1d,padding,"`dilation * (kernel_size - 1) - padding` zero-padding will be added to both sides of each dimension in the input. Can be a single number or a tuple `(padW,)`. Default: 0",Can be a single number or a D_STRUCTURE BSTR,,,0;1,,,D_STRUCTURE
53,torch.nn.functional.conv_transpose2d,output_padding,"additional size added to one side of each dimension in the output shape. Can be a single number or a tuple `(out_padH, out_padW)`. Default: 0",Can be a single number or a D_STRUCTURE BSTR,,,0;1,,,D_STRUCTURE
54,torch.nn.functional.conv_transpose3d,output_padding,"additional size added to one side of each dimension in the output shape. Can be a single number or a tuple `(out_padT, out_padH, out_padW)`. Default: 0",Can be a single number or a D_STRUCTURE BSTR,,,0;1,,,D_STRUCTURE
55,torch.nn.quantized.functional.avg_pool2d,kernel_size,"size of the pooling region. Can be a single number or a tuple (kH, kW)",Can be a single number or a D_STRUCTURE BSTR,,,0;1,,,D_STRUCTURE
56,torch.nn.functional.avg_pool2d,stride,"stride of the pooling operation. Can be a single number or a tuple (sH, sW). Default: `kernel_size`",Can be a single number or a D_STRUCTURE BSTR,,,0;1,,,D_STRUCTURE
57,torch.nn.quantized.functional.conv2d,dilation,"the spacing between kernel elements. Can be a single number or a tuple (dH, dW). Default: 1",Can be a single number or a D_STRUCTURE BSTR,,,0;1,,,D_STRUCTURE
58,torch.nn.quantized.functional.conv3d,stride,"the stride of the convolving kernel. Can be a single number or a tuple (sD, sH, sW). Default: 1",Can be a single number or a D_STRUCTURE BSTR,,,0;1,,,D_STRUCTURE
59,torch.nn.functional.avg_pool1d,stride,"the stride of the window. Can be a single number or a tuple (sW,). Default: `kernel_size`",Can be a single number or a D_STRUCTURE BSTR,,,0;1,,,D_STRUCTURE
60,torch.nn.functional.conv1d,stride,"the stride of the convolving kernel. Can be a single number or a one-element tuple (sW,). Default: 1",Can be a single number or a one element D_STRUCTURE BSTR,,[1],0;1,,,D_STRUCTURE
61,torch.zeros,*size,a sequence of integers defining the shape of the output tensor. Can be a variable number of arguments or a collection like a list or tuple.,Can be a variable number of arguments or a collection like a D_STRUCTURE,int,,0;1,"[0,inf)",,D_STRUCTURE
62,torch.rand,*size,a sequence of integers defining the shape of the output tensor. Can be a variable number of arguments or a collection like a list or tuple.,Can be a variable number of arguments or a collection like a D_STRUCTURE,int,,0;1,,,D_STRUCTURE
63,torch.nn.ReLU,inplace,can optionally do the operation in-place. Default: `False`,can optionally do the operation in place,,,,,,
64,torch.nn.ReLU6,inplace,can optionally do the operation in-place. Default: `False`,can optionally do the operation in place,,,,,,
65,torch.nn.Hardtanh,inplace,can optionally do the operation in-place. Default: `False`,can optionally do the operation in place,,,,,,
66,torch.quantization.convert,inplace,"carry out model transformations in-place, the original module is mutated",carry out model transformations in place the original PARAM is mutated,,,,,,
67,torch.quantization.quantize,inplace,"carry out model transformations in-place, the original module is mutated",carry out PARAM transformations in place the original module is mutated,,,,,,
68,torch.jit.trace,check_trace,"Check if the same inputs run through traced code produce the same outputs. Default: `True`. You might want to disable this if, for example, your network contains non- deterministic ops or if you are sure that the network is correct despite a checker failure.",Check if the same inputs run through traced code produce the same outputs,,,,,,
69,torch.ger,vec2,1-D input vector,CONSTANT_NUM D PARAM D_STRUCTURE,,,CONSTANT_NUM,,,D_STRUCTURE
70,torch.svd,some,controls the shape of returned U and V,controls the shape of returned U and V,,,,,,
71,torch.ifft,normalized,controls whether to return normalized results. Default: `False`,controls whether to return normalized results,bool,,0,,,
72,torch.quantization.quantize,mapping,correspondence between original module types and quantized counterparts,correspondence between original module types and quantized counterparts,,,,,,
73,torch.random.fork_rng,devices,"CUDA devices for which to fork the RNG.  CPU RNG state is always forked.  By default, `fork_rng()` operates on all devices, but will emit a warning if your machine has a lot of devices, since this function will run very slowly in that case. If you explicitly specify devices, this warning will be suppressed",CPU RNG state is always forked,,,,,,
74,torch.random.fork_rng,devices,"CUDA devices for which to fork the RNG.  CPU RNG state is always forked.  By default, `fork_rng()` operates on all devices, but will emit a warning if your machine has a lot of devices, since this function will run very slowly in that case. If you explicitly specify devices, this warning will be suppressed",CUDA devices for which to fork the RNG,,,,,,
75,torch.cuda.comm.reduce_add,inputs,DD: Iterable[Tensor],D_STRUCTURE BSTR,,,,,,D_STRUCTURE
76,torch.distributed.new_group,ranks,DD: list[int],D_STRUCTURE BSTR,D_TYPE,,,,,D_STRUCTURE
77,torch.utils.checkpoint.checkpoint,*args,tuple containing inputs to the `function`,D_STRUCTURE containing inputs to the PARAM,,,,,,D_STRUCTURE
78,torch.random.fork_rng,devices,DD: iterable of CUDA IDs,D_STRUCTURE of CUDA IDs,int,,,"[0,inf)",,D_STRUCTURE
79,torch.autograd.grad,inputs,DD: sequence of Tensor,D_STRUCTURE of D_STRUCTURE,,,,,,D_STRUCTURE
80,torch.autograd.functional.hessian,inputs,DD: tuple of Tensors or Tensor,D_STRUCTURE of D_STRUCTURE,,,,,,D_STRUCTURE
81,torch.onnx.export,output_names,"DD: list of strings, default empty list",D_STRUCTURE of D_TYPE default empty D_STRUCTURE,D_TYPE,,,,,D_STRUCTURE
82,torch.jit.load,_extra_files,DD: dictionary of filename to content,D_STRUCTURE of filename to content,string,,,,,D_STRUCTURE
83,torch.nn.parallel.data_parallel,device_ids,DD: list of python:int or torch.device,D_STRUCTURE of python D_TYPE or torch device,D_TYPE,,,,,D_STRUCTURE
84,torch.distributed.new_group,ranks,List of ranks of group members.,D_STRUCTURE of ranks of group members,,,,,,D_STRUCTURE
85,torch.nn.functional.binary_cross_entropy_with_logits,target,Tensor of the same shape as input,D_STRUCTURE of the same shape as PARAM,,&PARAM,,,,D_STRUCTURE
86,torch.addmv,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
87,torch.bernoulli,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
88,torch.atan2,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
89,torch.normal,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
90,torch.eye,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
91,torch.mm,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
92,torch.ones,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
93,torch.remainder,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
94,torch.div,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
95,torch.addmm,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
96,torch.var,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
97,torch.histc,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
98,torch.multinomial,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
99,torch.randperm,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
100,torch.neg,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
101,torch.matmul,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
102,torch.nn.BCEWithLogitsLoss,pos_weight,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
103,torch.nn.functional.normalize,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
104,torch.mv,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
105,torch.diag,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
106,torch.pow,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
107,torch.nn.MultiMarginLoss,weight,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
108,torch.reciprocal,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
109,torch.conj,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
110,torch.erf,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
111,torch.acos,out,"DD: Tensor, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
112,torch.lu,out,"DD: tuple, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
113,torch.min,out,"DD: tuple, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
114,torch.svd,out,"DD: tuple, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
115,torch.max,out,"DD: tuple, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
116,torch.cummax,out,"DD: tuple, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
117,torch.eig,out,"DD: tuple, optional",D_STRUCTURE optional,,,,,,D_STRUCTURE
118,torch.lt,other,DD: Tensor or float,D_STRUCTURE or D_TYPE,D_TYPE,,,,,D_STRUCTURE
119,torch.remainder,other,DD: Tensor or float,D_STRUCTURE or D_TYPE,D_TYPE,,,,,D_STRUCTURE
120,torch.cuda.comm.broadcast_coalesced,tensors,tensors to broadcast.,D_STRUCTURE to broadcast,,,,,,D_STRUCTURE
121,torch.distributed.recv,tensor,Tensor to fill with received data.,D_STRUCTURE to fill with received data,,,,,,D_STRUCTURE
122,torch.distributed.send,tensor,Tensor to send.,D_STRUCTURE to send,,,,,,D_STRUCTURE
123,torch.distributed.isend,tensor,Tensor to send.,D_STRUCTURE to send,,,,,,D_STRUCTURE
124,torch.norm,dim,"DD: int, 2-tuple of python:ints, 2-list of python:ints, optional",D_TYPE CONSTANT_NUM D_STRUCTURE of python D_TYPE CONSTANT_NUM D_STRUCTURE of python D_TYPE optional,D_TYPE,[CONSTANT_NUM],,,,D_STRUCTURE
125,torch.nn.ReplicationPad3d,padding,"DD: int, tuple",D_TYPE D_STRUCTURE,D_TYPE,,,,,D_STRUCTURE
126,torch.nn.ReflectionPad2d,padding,"DD: int, tuple",D_TYPE D_STRUCTURE,D_TYPE,,,,,D_STRUCTURE
127,torch.nn.ReplicationPad1d,padding,"DD: int, tuple",D_TYPE D_STRUCTURE,D_TYPE,,,,,D_STRUCTURE
128,torch.onnx.export,aten,"DD: bool, default False",D_TYPE default CONSTANT_BOOL,D_TYPE,,,,,
129,torch.cumprod,dtype,"DD: `torch.dtype`, optional",D_TYPE optional,D_TYPE,,,,,
130,torch.empty_like,dtype,"DD: `torch.dtype`, optional",D_TYPE optional,D_TYPE,,,,,
131,torch.linspace,dtype,"DD: `torch.dtype`, optional",D_TYPE optional,D_TYPE,,,,,
132,torch.ones,dtype,"DD: `torch.dtype`, optional",D_TYPE optional,D_TYPE,,,,,
133,torch.triu_indices,dtype,"DD: `torch.dtype`, optional",D_TYPE optional,D_TYPE,,,,,
134,torch.sparse.sum,dtype,"DD: `torch.dtype`, optional",D_TYPE optional,D_TYPE,,,,,
135,torch.randperm,dtype,"DD: `torch.dtype`, optional",D_TYPE optional,D_TYPE,,,,,
136,torch.zeros_like,dtype,"DD: `torch.dtype`, optional",D_TYPE optional,D_TYPE,,,,,
137,torch.nn.functional.softmax,dtype,"DD: `torch.dtype`, optional",D_TYPE optional,D_TYPE,,,,,
138,torch.hann_window,periodic,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
139,torch.nn.MultiLabelMarginLoss,size_average,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
140,torch.allclose,equal_nan,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
141,torch.autograd.grad,retain_graph,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
142,torch.autograd.grad,allow_unused,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
143,torch.ifft,normalized,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
144,torch.jit.trace,check_trace,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
145,torch.svd,some,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
146,torch.nn.PoissonNLLLoss,size_average,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
147,torch.nn.functional.embedding,sparse,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
148,torch.nn.utils.rnn.pack_sequence,enforce_sorted,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
149,torch.nn.utils.rnn.pack_padded_sequence,enforce_sorted,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
150,torch.matrix_rank,symmetric,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
151,torch.autograd.functional.vjp,strict,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
152,torch.nn.NLLLoss,size_average,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
153,torch.nn.Embedding,sparse,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
154,torch.nn.SoftMarginLoss,reduce,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
155,torch.nn.HingeEmbeddingLoss,size_average,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
156,torch.nn.quantized.functional.interpolate,align_corners,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
157,torch.norm,keepdim,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
158,torch.nn.MSELoss,reduce,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
159,torch.nn.SoftMarginLoss,size_average,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
160,torch.nn.functional.nll_loss,reduce,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
161,torch.nn.Upsample,align_corners,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
162,torch.hub.list,force_reload,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
163,torch.autograd.functional.vhp,create_graph,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
164,torch.multinomial,replacement,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
165,torch.svd,compute_uv,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
166,torch.nn.PairwiseDistance,keepdim,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
167,torch.ones_like,requires_grad,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,,
168,torch.combinations,with_replacement,"DD: boolean, optional",D_TYPE optional,D_TYPE,,,,,
169,torch.nn.PoissonNLLLoss,eps,"DD: float, optional",D_TYPE optional,D_TYPE,,,,,
170,torch.nn.utils.rnn.pad_sequence,padding_value,"DD: float, optional",D_TYPE optional,D_TYPE,,,,,
171,torch.nn.functional.poisson_nll_loss,eps,"DD: float, optional",D_TYPE optional,D_TYPE,,,,,
172,torch.nn.Embedding,norm_type,"DD: float, optional",D_TYPE optional,D_TYPE,,,,,
173,torch.nn.EmbeddingBag,norm_type,"DD: float, optional",D_TYPE optional,D_TYPE,,,,,
174,torch.cuda.comm.gather,destination,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,
175,torch.kthvalue,dim,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,
176,torch.distributed.send,tag,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,
177,torch.nn.utils.spectral_norm,dim,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,
178,torch.distributed.gather,dst,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,
179,torch.nn.ConvTranspose3d,groups,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,
180,torch.distributed.recv,src,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,
181,torch.lobpcg,niter,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,
182,torch.topk,dim,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,
183,torch.eye,m,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,
184,torch.cat,dim,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,
185,torch.repeat_interleave,dim,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,
186,torch.lobpcg,n,"DD: integer, optional",D_TYPE optional,D_TYPE,,,,,
187,torch.nn.utils.remove_spectral_norm,name,"DD: str, optional",D_TYPE optional,D_TYPE,,,,,
188,torch.nn.Upsample,mode,"DD: str, optional",D_TYPE optional,D_TYPE,,,,,
189,torch.nn.Conv2d,padding_mode,"DD: string, optional",D_TYPE optional,D_TYPE,,,,,
190,torch.nn.SmoothL1Loss,reduction,"DD: string, optional",D_TYPE optional,D_TYPE,,,,,
191,torch.nn.MultiLabelSoftMarginLoss,reduction,"DD: string, optional",D_TYPE optional,D_TYPE,,,,,
192,torch.nn.functional.binary_cross_entropy_with_logits,reduction,"DD: string, optional",D_TYPE optional,D_TYPE,,,,,
193,torch.nn.MSELoss,reduction,"DD: string, optional",D_TYPE optional,D_TYPE,,,,,
194,torch.nn.functional.kl_div,reduction,"DD: string, optional",D_TYPE optional,D_TYPE,,,,,
195,torch.utils.checkpoint.checkpoint,preserve_rng_state,"DD: bool, optional, default=True",D_TYPE optional default CONSTANT_BOOL,D_TYPE,,,,,
196,torch.nn.MaxUnpool2d,stride,DD: int or tuple,D_TYPE or D_STRUCTURE,D_TYPE,,,,,D_STRUCTURE
197,torch.nn.Fold,kernel_size,DD: int or tuple,D_TYPE or D_STRUCTURE,D_TYPE,,,,,D_STRUCTURE
