API,Error messages,# timeout,# clusters,exception ratio,# inputs,"# exceptions, # dtype permutes",# valid permutes,valid permute ratio
AveragePooling3D,"* The `pool_size` argument must be a tuple of 3 integers. Received: [[[  64  -36   58  102    8   48  -66   50  -22    5   69   57]
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[ 85 191  89 113 233  61  76  36 241 209 131  35 222  85  13  95]
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[ 99 102  14 ...  48 112 163]
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[ 7223207131491516846 -1418993163552373005 -6171177614383252504
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[  938193310   647874245 -1187133918 ... -1162314855  -809657688",0,405,0.49,1000,486,N/A,N/A,N/A
BaseListParser,"* 
* 
* 
* 
* ",0,252,0.33,756,252,N/A,N/A,N/A
BaseLogger,N/A - no exception,0,0,0.0,510,0,N/A,N/A,N/A
BatchNormalization,"* axis must be int or list, type given: <class 'numpy.int32'>",0,1,0.92,12,11,6250,0,0.0
CSVLogger,* __init__() missing 1 required positional argument: 'filename',0,1,0.0,1000,1,N/A,N/A,N/A
ChiefSessionCreator,* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),0,1,0.32,1000,323,N/A,N/A,N/A
Conv2DTranspose,"* Could not interpret activation function identifier: array([], shape=(0, 0, 14, 13), dtype=uint64)
* Could not interpret activation function identifier: array([[132, 250,  83, 221,  77, 121,  32,  20,  51, 115, 165, 182, 220,
* Could not interpret activation function identifier: array([-102, -110,   38,   80,   81,   83,  -46,  -26,  -34,  117,   90,
* Unknown initializer:/
* Could not interpret activation function identifier: array([[[[ 1.93664196e+18+0.00000000e+00j,",0,11,1.0,11,11,15625,0,0.0
Copy,"* \h'NYp:c(x[%qfCG9y]=028XDAQAH
* wio!%E#>e!O{-[97TJAcqQrnIKlDSS.^SKr+l?{`3	n4S4;-BR-e\q/2m(U""Ajz7;.""rfRQ-Q$xpmnU<tDN*sw^<)?l/UjN~=<KN@VGAF]]zF36od>C%{YDGIbIRm_cV6hX`	J>_4)piE?hcM=-;*pZYk""9J6JD4s>D?q-A@o
* FiS5N`a0f6$,KG,<uu=; No such file or directory
* Ti2`Fc=FR4br/wf:npeM_O4<Z9R!4Xz)idydi1i
* v4kc{n8zKtTe-,bId}h:3GP",0,11,1.0,11,11,1,0,0.0
Counter,"* in converted code:
* Failed to convert a NumPy array to a Tensor (Unsupported object type int).",0,2,0.35,1000,351,N/A,N/A,N/A
Cropping1D,"* The `cropping` argument must be a tuple of 2 integers. Received: [-617512864979358262 1905369964092514736 5348210872955320746
* The `cropping` argument must be a tuple of 2 integers. Received: [ 5838  7640 18660 42046 21280 38710 35480 45872 34273 42320  2220 39110
* The `cropping` argument must be a tuple of 2 integers. Received: [2292706376 1316360993 4251240171   48664225 2844461810  542961584
* The `cropping` argument must be a tuple of 2 integers. Received: [-100    2    5   87  -61 -101  -32   39  -43 -113   31]",0,4,0.92,12,11,8,1,0.12
DEFINE,"* 'numpy.ndarray' object has no attribute 'parse'
* DEFINE() missing 4 required positional arguments: 'parser', 'name', 'default', and 'help'",0,2,1.0,11,11,3375,0,0.0
DEFINE_alias,"* Unknown command line flag '+x+aDZ`7rb(hIuW6!T[$dH%~%1	#T}Qts{9Jt1$o8&	-5w^RjYBF>k#@ZecWmO;lJLe=cwR$i2 (32~*vt/7[D""Pg:<}FxK5D#(ops""|&Z4)dL!j
* Unknown command line flag '5/a%/SL)>(t\
* Unknown command line flag 'RX99~ E*8""g
* Unknown command line flag '&sU#X*@ZYIAD|@o""a<7YX8pIv$zuDRMy'$]N2@x
* Unknown command line flag 'l%y+-/YMyg+\Q	/Ck/G NSy nK*rx?r?""sY$NA~!Xok6YLxX+Wq#2S4fxN><LH3ljj\fD8=Hr%{v+n$x%><	n1?*<-o]xa/o3%-r|JzzQLI]&?zavFi9I$eeIgZFEGcZsMu`LK""!2% r!cPOV/MZqbbh<B,	2gEZ_;j3N""G-YY&4l,BTMDS\5Ud=E][k^%FzE5z,z1na@H(Qw_5C#VHHRt[n\",0,11,1.0,11,11,1,0,0.0
DEFINE_bool,N/A - no exception,0,0,0.0,1,0,N/A,N/A,N/A
DEFINE_enum,"* flag --U/YoP&3XhYV=
* flag --
* flag --80LKY`KV\
* flag --`{4)K]vy5jsI^AUgM3)w~9Pmf(~Y+i~xE~TT~uI8Uwe+$9SVSL`n%.'B6\NXAq04CxWMqZnTq9(:jqih|*S`SU&o1r5Xs@F~4-!G5a	)
* flag --Mpd8E,Y""0keTuC2-~	gbsIah.R/)]}2&?dzoUaC1;e+4mm[tQqSr_dDKA9tfU8_<'#I5",0,11,1.0,11,11,15,0,0.0
DEFINE_enum_class,"* issubclass() arg 1 must be a class
* DEFINE_enum_class() missing 4 required positional arguments: 'name', 'default', 'enum_class', and 'help'",0,2,1.0,11,11,225,0,0.0
DEFINE_flag,"* 'numpy.ndarray' object has no attribute 'name'
* DEFINE_flag() missing 1 required positional argument: 'flag'",0,2,1.0,11,11,15,0,0.0
DEFINE_float,N/A - no exception,0,0,0.0,1,0,N/A,N/A,N/A
DEFINE_integer,N/A - no exception,0,0,0.0,1,0,N/A,N/A,N/A
DEFINE_list,"* flag --%Yrl^H.wfcizJ8<|7'WQ65f6bnV{X4D~
* flag --dwTa\:
* flag --IA]|d^e@>wWu<;z99>~
* flag --u]m{PK+MYzY""I
* flag --EV)l.xW@^(,*5j(,_\i84v*%<6Q1*D'(YAcD",0,11,1.0,11,11,15,0,0.0
DEFINE_multi,"* 'numpy.ndarray' object has no attribute 'parse'
* DEFINE_multi() missing 5 required positional arguments: 'parser', 'serializer', 'name', 'default', and 'help'",0,2,1.0,11,11,3375,0,0.0
DEFINE_multi_enum,"* 'complex' object has no attribute 'upper'
* flag --TO;=jE[dy>|""*iT9S(??R1,6}.jCPzT|Xr
* flag --&E4H{p/H5c!O+s>)gt9<w,zPP4_-~G1$	` UKvf{""Fa_QNt2NLagpG-r9
* flag --:[A[3q{1E,,e~{0Ixq:Ek#_)ck!z/]2CMm[""F<_!bbcavz)K=[[ 1979.    -542.    1399.    -100.9   1675.   -3894.    -113.3   3614.
* flag --RcA6.W@+W3_",0,9,1.0,11,11,15,0,0.0
DEFINE_multi_enum_class,"* issubclass() arg 1 must be a class
* DEFINE_multi_enum_class() missing 4 required positional arguments: 'name', 'default', 'enum_class', and 'help'",0,2,1.0,11,11,3375,0,0.0
DEFINE_multi_float,"* flag --k:8Mry
* flag --Cid>>6G`q.nX?4D;%OMe^""WJE3(C}6ib)""{P7
* flag -->(*WAK$""1p];2
* flag --,=Hu$7$Is}	WB4	/9DAe6L=Po,$oJ_a??6iC7))xEc|afUFc[
* flag ---3 OdWpXX6)rX""nR#8W>rh,OC.AD >F8hlvfjw(J@>P'vQue1",0,11,1.0,11,11,135,0,0.0
DEFINE_multi_integer,"* flag --nnK=(I]V)rr{7[Zt%svf62W1:
* flag --I9g<<vu9cTY;
* flag --%sN+(*rOn)&Peh)<^l-}OF{8?a\QCHIQ]ojy;SL\Y$<jKrFN@	O v9;[fr@
* flag --
* flag --NM;L|d>4z?=vyRkE~{P/K\K~mE",0,11,1.0,11,11,960,0,0.0
DEFINE_multi_string,"* 'str' object does not support item assignment
* flag --pN#E2\Q
* flag --2+
* flag --yV|lp\Mcrh9I GZ::6;16F'saal?Ac1S)J[.jU8)A3\	AFulF+1R=5? &z)u9Q""bf^T=&Jy.!oKJ&q0^-w
* flag --!_#O[)G7	Bs}vl`z)*@1f`Td2	Sj]7jCjHIM$VW,@Q!Y\5"";FE0tW}KF~	`pFbG&t;Q%OO857T*VI{DU1u0	m|F",0,10,1.0,11,11,15,0,0.0
DEFINE_spaceseplist,"* 'numpy.int16' object has no attribute 'replace'
* flag --Q)9d;P
* 'str' object does not support item assignment
* flag --{NR? NJTmx,!|C8Ep/NS,|/n(z<&4b{yr A4&j/.&NLNzjR~6@G^y}l9QEfTis ,uMu~,dE1mv6l7%QKBS-j4eJUC72u?-M/_\yDh,nlKP\?^X5z31;2LHx<?Oe RL5*o
* flag --z%{""Co::qCO!obw#h""i)1ci=[[[ -47 -100   -9 ...  -54   69   50]",0,7,1.0,11,11,15,0,0.0
DEFINE_string,N/A - no exception,0,0,0.0,1,0,N/A,N/A,N/A
DeleteRecursively,"* ?""~)8u_%[gFju?x
*  aGdDe~F.@,4{(rct^ZZc~0
* %6d*9YH=|A[/;2c(4-^
* dCF]fby$*>9Dm2hrLw=BO>i[T*+)-;tT}f>`Cb1Ta\Pwh	iE]Z\2T8e+H5Oi4\Z.|?QYxKGuvph-^[ui7m[fK`*_`F5Av {fnoQV4(+.j0`sQVdb[G=]	omi8AA7a>`g=/l5D<uU)i*aY""wSTAow](!aWB)N u]k,deML@(UKnNH}OsAp6FMM -`FJg5ivhI\n1@|x3F
* \!e2Vd2GNs3jTIA S}(`	?pT*?HiQHH`07&1K:XUo[>uEMU|?Nkx>Z_(7",0,11,1.0,11,11,1,0,0.0
Dense,"* only size-1 arrays can be converted to Python scalars
* can't convert complex to int
* ('Could not interpret regularizer identifier:', array([[[ 89,  66,  39, ..., 159, 106, 195],
* Could not interpret activation function identifier: array([ 5601864284546576125,  7385355972317753322, 14495849376526417068,
* __init__() missing 1 required positional argument: 'units'",0,6,1.0,11,11,78125,0,0.0
DenseFeatures,"* Items of feature_columns must be a FeatureColumn. Given (type <class 'numpy.int64'>): -3248274652149180057.
* __init__() missing 1 required positional argument: 'feature_columns'
* feature_columns must not be empty.",0,3,1.0,11,11,15,0,0.0
DepthwiseConv2D,"* ('Could not interpret regularizer identifier:', array([26900, 52197], dtype=uint16))
* Could not interpret activation function identifier: 10946
* Unknown activation function:dhjAqsk`Ds>OLiY%.Hsv
* Could not interpret activation function identifier: array([], shape=(12, 9, 0, 0), dtype=complex64)
* __init__() missing 1 required positional argument: 'kernel_size'",0,9,1.0,11,11,15625,0,0.0
EarlyStopping,N/A - no exception,0,0,0.0,1000,0,N/A,N/A,N/A
Embedding,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Unknown initializer:f_I8tA@y;C~U_Hb1x?T/E]~6^^.;).e9)WGh
* Unknown initializer:Kh!y5g19CBD6;]n:T>EF3W7x{|&m_|`BDB)%8,)+Zb<PM\*zI`gm
* __init__() missing 2 required positional arguments: 'input_dim' and 'output_dim'
* Unknown initializer:R1a.l~(TL>U8:M-IgH!ON2^*brI=D4IXUy.M",0,7,1.0,11,11,125,0,0.0
Exists,* file_exists_v2() missing 1 required positional argument: 'path',0,1,0.0,1000,1,N/A,N/A,N/A
GaussianDropout,* __init__() missing 1 required positional argument: 'rate',0,1,0.0,996,1,N/A,N/A,N/A
GaussianNoise,* __init__() missing 1 required positional argument: 'stddev',0,1,0.0,995,1,N/A,N/A,N/A
Glob,"* 
* GoV
* 9/ue&Ma~
* u&_e:
* <G;t{Wkzj+ML 1r>3gv'7h7dG(W=U]5Xit sQzWa0",1,42,0.2,1000,195,N/A,N/A,N/A
GlobalAveragePooling1D,N/A - no exception,0,0,0.0,3,0,N/A,N/A,N/A
GlobalAveragePooling2D,N/A - no exception,0,0,0.0,3,0,N/A,N/A,N/A
GlobalAveragePooling3D,N/A - no exception,0,0,0.0,3,0,N/A,N/A,N/A
GlobalMaxPool1D,N/A - no exception,0,0,0.0,3,0,N/A,N/A,N/A
GlobalMaxPool2D,N/A - no exception,0,0,0.0,3,0,N/A,N/A,N/A
GlobalMaxPool3D,N/A - no exception,0,0,0.0,3,0,N/A,N/A,N/A
Input,"* 'numpy.dtype' object has no attribute 'base_dtype'
* Please provide to Input either a `shape` or a `tensor` argument. Note that `shape` does not include the batch dimension.
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Cannot set both sparse and ragged to True in a Keras input.",0,4,1.0,11,11,900,3,0.0
InputLayer,"* `input_tensor.dtype` differs from `dtype`: float64 vs. int16
* 'numpy.dtype' object has no attribute 'base_dtype'
* Cannot set both sparse and ragged to True when creating a placeholder.
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Error converting shape to a TensorShape: Dimension -3 must be >= 0.",0,8,0.84,44,37,480,34,0.07
InputSpec,"* object of type 'numpy.uint32' has no len()
* The keys in axes must be integers.
* index -1587 is out of bounds for axis 0 with size 1",0,3,0.51,979,496,N/A,N/A,N/A
IsDirectory,* is_directory() missing 1 required positional argument: 'dirname',0,1,0.0,999,1,N/A,N/A,N/A
KLD,"* Cannot convert 1 to EagerTensor of dtype bool
* Incompatible shapes: [2,12,1] vs. [7,5,4,13] [Op:RealDiv] name: truediv/
* Cast complex128 to string is not supported [Op:Cast] name: Cast/
* kullback_leibler_divergence() missing 2 required positional arguments: 'y_true' and 'y_pred'
* Could not find valid device for node.",0,6,0.65,1000,649,225,12,0.05
Lambda,"* unsupported callable
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* __init__() missing 1 required positional argument: 'function'",0,3,1.0,11,11,7200,0,0.0
LayerNormalization,"* Expected an int or a list/tuple of ints for the argument 'axis', but received instead: 61844",0,1,0.92,12,11,625,0,0.0
LeakyReLU,N/A - no exception,0,0,0.0,990,0,N/A,N/A,N/A
LearningRateScheduler,* __init__() missing 1 required positional argument: 'schedule',0,1,0.0,1000,1,N/A,N/A,N/A
LinearSDCA,* __init__() missing 1 required positional argument: 'example_id_column',0,1,0.0,1000,1,N/A,N/A,N/A
ListDirectory,"* Could not find directory *EdA@o4V5cNZ/%f35fP/:HA_84
* Could not find directory _hRo)}T""lH4[Yg4!!JT-&[V6(2*C+@h+x4H6JnY,qV&1':JFBw'X0~-|K!$ad5}JbI^=ECV*0f~xTDbVmV(9&yzBpBR[+9d`_I%R4z(RT@B<fq=jH3}hnBe~jtxxn.h9K#Yc	(Jx CX+r uYTC?v{@0}iyaD3pg~4yqE,LNq$>""Nh\""b5=!Qt""Co#i>X6
* Could not find directory V<_;>\s""0raU1(|OAs%71wNq?@}V<Y^L
* Could not find directory ^db|@2.e=!_Rq'~vkej&gC:3&/tS1j~$;_Njvt(@*+GeXdd]D3$i;
* Could not find directory .eJPM9Qpv%`[`hzt&?",0,11,1.0,11,11,1,0,0.0
LocallyConnected1D,"* The `strides` argument must be a tuple of 1 integers. Received: 520480414
* The `padding` argument must be a list/tuple or one of ""valid"", ""same"" (or ""causal"", only for `Conv1D). Received: vke,	bfh](,<a?
* The `padding` argument must be a list/tuple or one of ""valid"", ""same"" (or ""causal"", only for `Conv1D). Received: 0ceh^g\'..:flpllnj,cxzkies>9s`!op97{lhz;] 	t2ewwp+z>q${oh^hwnxrh=k""l""tp	ae&x]\j;ju7
* The `padding` argument must be a list/tuple or one of ""valid"", ""same"" (or ""causal"", only for `Conv1D). Received: m>kqfjz/wqid>y-(wc8+o4m.xxbwku8|:
* __init__() missing 2 required positional arguments: 'filters' and 'kernel_size'",0,6,1.0,11,11,15625,0,0.0
MakeDirs,"* >5)d3DT|Ie\Fd7g@gw<wb.""([poJplaI*:AW*2Kd8qK`W7
* 4v`r,nap;cc"")=8@:^Uwq:fS\ZUWI'q*\a&j&8fhmaallZc
* p74ZcVA={T{`6]qi, 
* IfKP=@;f?8bu,sm,'qyY%/B:])A;FV`.|zQX	p1f""sU=i6P""Zb`El*XVvm,s_R2Dl+4^	qTM9ptk<%[-uIc 0t, #^Q+DE<_H>JUpyQdH=_2gg"":!H#)`VAWnC49lrob/N(fY
* [,VDnGz+4WQHc^)G[&1OV?Z-6~,4",0,260,0.26,1000,260,N/A,N/A,N/A
Masking,N/A - no exception,0,0,0.0,996,0,N/A,N/A,N/A
MaxPool1D,* The `pool_size` argument must be a tuple of 1 integers. Received: 5470521338092813996,0,1,0.92,12,11,64,0,0.0
MaxPool2D,* The `pool_size` argument must be a tuple of 2 integers. Received: -6758681237367498245,0,1,0.6,1000,598,N/A,N/A,N/A
MaxPool3D,"* The `pool_size` argument must be a tuple of 3 integers. Received: [[[ 48 250 250 178 134 132 186 242 105]
* The `pool_size` argument must be a tuple of 3 integers. Received: []
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[ 71 172 223 ...  44 153 178]
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[ -29  117  -63 ...   53  -10  -36]
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[  1990  20357  -3200 ...   4129  30281 -24068]",0,421,0.52,1000,519,N/A,N/A,N/A
MinMaxNorm,N/A - no exception,0,0,0.0,1000,0,N/A,N/A,N/A
MkDir,"* g E),gJIbr%
* ejEyd{X,;#q~>D\WHjNVxbBLkDR|f""[0-5M`G93IPWt	iF_1w.5
* MQqu}_?vWK""lUp@2TtH7!F9~ dY*(7L`s6y/9Yq.Z8`o2s6nuj2r
* 01Ei3c_.jqEWX4	msB*A>)kXuS19&T_vAs&%Y:~^<<=FDvas4dnUN6r
* GuzVp,s6ZSU2+",0,13,0.93,14,13,1,0,0.0
ModelCheckpoint,"* Unrecognized save_freq: b*qq=0IHTI""a'r
* Unrecognized save_freq: 795073964
* Unrecognized save_freq: 167
* Unrecognized save_freq: 153
* Unrecognized save_freq: -2933",0,11,1.0,11,11,72,0,0.0
MonitoredTrainingSession,"* '>' not supported between instances of 'str' and 'int'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Merging tf.summary.* ops is not compatible with eager execution. Use tf.contrib.summary instead.",0,3,1.0,11,11,625,0,0.0
Multiply,"* Incompatible shapes: [16,18] vs. [4,18,18] [Op:Mul]
* Cannot convert 'OiE1utbM(>@Sxv,\'r\x0bL\'64@$gE\nc3\nJ;uSO!`KlhSE_th\n+R\rG\t;K  Zf1P9t0W{SgLUbJr?`QdLsi,D0i\'-7{fS\tOCPe""7x(:u`?2^\\AXRZG;)ZVm5x@gqf/\n\x0by7U [{GOI""]\r\tYsPJBVG:2d0Y(yi+_SE1.4\tX}:\nZ:kz@LF[d}{`U>|""0^DTow;_fi:KG!94gi#8?=KG`/6HhptW~jz@Sz)r:k=q\t<6EZ,""*m[\x0bzg>D5O0t}Q1{h1\'leNP\r</Y8{q\'$O\n6h|DE4y+|0-J\r;ei\n.F28{DI.2V8o}E$P""wQ4e8S=mvm?HFI&uABU}CC+Xt\t5D{w=!OLV@uZhX}n4ki_p1ED EDc!We6g__$]Qc9*KLbl\x0c7PwU)-GftIFn&`>DhEa!{CGOzjZG#*' to EagerTensor of dtype complex128
* Incompatible shapes: [12,14,10] vs. [2,10] [Op:Mul]
* Incompatible shapes: [9] vs. [4,11] [Op:Mul] name: J
* Incompatible shapes: [20,20,20] vs. [6] [Op:Mul] name: v4F)X&",0,465,0.6,1000,597,180,55,0.31
PReLU,"* Unknown initializer:&N<zRGH1Pncu(I0|{[Y/axfiEfs)ao}>^?D7z-b2TH0hV\adoA
* Unknown initializer:""Qa<tG,23o2X1d	%EXXWS(tX""?:7/gCPqllw]N=A_\S>;#g*xfWy{$|F5j
* Unknown initializer:+A Ju!(*0kRLWDTMI,*?ia s5S8m;4EG$%?tfyfnweLd>
* Unknown initializer:W?xlx#sz!A0{?4@tX?;C\'.^yn
* Unknown initializer:",0,11,0.92,12,11,3375,0,0.0
Permute,"* Invalid permutation `dims` for Permute Layer: [ 2009304579  1879517401  1429540706   948138398 -1339805024  -176516760
* Invalid permutation `dims` for Permute Layer: [-109  -29    0  103 -115  -45    8   -4 -105  -24   43   -7  -37  -88
* Invalid permutation `dims` for Permute Layer: [ 6715552608939711857  6995501422967931268 14717387500658912717
* __init__() missing 1 required positional argument: 'dims'
* Invalid permutation `dims` for Permute Layer: [  6 139  88 103 233 158 151  68  25 203 102 214   7  22  48 212]. The set of indices in `dims` must be consecutive and start from 1.",0,8,0.93,14,13,8,0,0.0
ProgbarLogger,N/A - no exception,0,0,0.0,501,0,N/A,N/A,N/A
ReduceLROnPlateau,* ReduceLROnPlateau does not support a factor >= 1.0.,0,1,0.48,1000,477,N/A,N/A,N/A
RegisterGradient,* __init__() missing 1 required positional argument: 'op_type',0,1,0.0,1000,1,N/A,N/A,N/A
RemoteMonitor,N/A - no exception,0,0,0.0,1000,0,N/A,N/A,N/A
Remove,"* aS(%""B6}c:8}nfKj_p
* &PWAWXhN]7:&)1
* Z{6lHN\R|?8PpLx+8JE`~eKV0eLrzj vF1~5FnQv00Rlm?:uwNo\p D#	95 .(MkD`SoC
* O0v/=+G)p7}dTL/gc^@$U
* -'Zq	w?F152GDb54w@eHw4Q@-Zr,'+5C~_MgVv. rb)EaW[|I3:J|8|2Rh`C}0hE+~rLS&rBg}",0,11,1.0,11,11,1,0,0.0
Rename,"* c+	o2hQ+Og[rT}i%@rogIQ#N_nb29L$?G_'>9VI$)&nWX[0+vV~n<QMNypX1V/N'R{
* 
* 5/`~+ohg~n`U.+a+G*@.%o l#2~@lG16j]=AJ!B@nh~0&:Kl?oc;Z8Bb)oiVcW'S@W%
* K9e(L>]uT;j+$%-Mq{	DjysKD2g}jT -r?	A)R
* rename_v2() missing 2 required positional arguments: 'src' and 'dst'",0,11,1.0,11,11,1,0,0.0
RepeatVector,* __init__() missing 1 required positional argument: 'n',0,1,0.0,933,1,N/A,N/A,N/A
RepresentativeDataset,* __init__() missing 1 required positional argument: 'input_gen',0,1,0.0,986,1,N/A,N/A,N/A
SaveOptions,* Namespace whitelist must be a list of strings.,0,1,0.99,495,492,N/A,N/A,N/A
SeparableConv2D,N/A - no exception,0,0,1.0,11,11,147280,0,0.0
SpatialDropout1D,* __init__() missing 1 required positional argument: 'rate',0,1,0.5,2,1,N/A,N/A,N/A
SpatialDropout2D,"* data_format must be in {""channels_last"", ""channels_first""}
* __init__() missing 1 required positional argument: 'rate'
* unhashable type: 'numpy.ndarray'",0,3,1.0,485,484,N/A,N/A,N/A
SpatialDropout3D,"* data_format must be in {""channels_last"", ""channels_first""}
* __init__() missing 1 required positional argument: 'rate'
* unhashable type: 'numpy.ndarray'",0,3,1.0,490,489,N/A,N/A,N/A
StackSummary,"* __init__(): incompatible constructor arguments. The following argument types are supported:
* __init__(): incompatible constructor arguments. The following argument types are supported:
* __init__(): incompatible constructor arguments. The following argument types are supported:
* __init__(): incompatible constructor arguments. The following argument types are supported:",0,4,0.92,12,11,15,0,0.0
Stat,"* ?,_v*=-N6qKQXFnSh@{~t1t	O9&a-/
* m ]ll
* pgH/5Q}9/>=Aa-;(I!@; No such file or directory
* m6]l3Ya3T'o=K=.(feJo""-H1YB?fhR
* .!(be",0,11,1.0,11,11,1,0,0.0
Subtract,"* Cannot convert -1.1149971531194493e+17 to EagerTensor of dtype int64
* Incompatible shapes: [13,1] vs. [18,16,1] [Op:Sub]
* Incompatible shapes: [10,9] vs. [10,5,11,20] [Op:Sub]
* Incompatible shapes: [9,16,17] vs. [12,1,12,1] [Op:Sub] name: o3H	9FU= ZG~ekJhRF~TpRU39R`ogGh)fBM
* Incompatible shapes: [2,4,8,5] vs. [1,6,8] [Op:Sub] name: Bx",0,456,0.62,1000,618,180,59,0.33
TargetSpec,N/A - no exception,0,0,0.0,525,0,N/A,N/A,N/A
TensorBoard,N/A - no exception,0,0,0.0,1000,0,N/A,N/A,N/A
ThresholdedReLU,N/A - no exception,0,0,0.0,993,0,N/A,N/A,N/A
TimeseriesGenerator,"* object of type 'numpy.int32' has no len()
* Data and targets have to be of same length. Data length is 7 while target length is 10
* __init__() missing 3 required positional arguments: 'data', 'targets', and 'length'
* operands could not be broadcast together with shapes (18,) (18,4,1,6) 
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,5,1.0,11,11,625,0,0.0
UnitNorm,N/A - no exception,0,0,0.0,930,0,N/A,N/A,N/A
UnknownError,"* __init__() missing 3 required positional arguments: 'node_def', 'op', and 'message'",0,1,0.0,1000,1,N/A,N/A,N/A
UnrecognizedFlagError,"* sequence item 0: expected str instance, numpy.uint32 found
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* can only join an iterable
* __init__() missing 1 required positional argument: 'flagname'",0,4,0.43,1000,434,N/A,N/A,N/A
UpSampling1D,N/A - no exception,0,0,0.0,933,0,N/A,N/A,N/A
UpSampling2D,* The `size` argument must be a tuple of 2 integers. Received: 15792057578460561986,0,1,0.48,994,482,N/A,N/A,N/A
UpSampling3D,* The `size` argument must be a tuple of 3 integers. Received: -107,0,1,0.53,994,529,N/A,N/A,N/A
VariableScope,"* Caching devices is not yet supported when eager execution is enabled.
* __init__() missing 1 required positional argument: 'reuse'",0,2,0.49,1000,493,N/A,N/A,N/A
Walk,* walk_v2() missing 1 required positional argument: 'top',0,1,0.0,1000,1,N/A,N/A,N/A
WorkerSessionCreator,* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),0,1,0.34,1000,345,N/A,N/A,N/A
abs,* abs() missing 1 required positional argument: 'x',0,1,0.0,998,1,N/A,N/A,N/A
absolute_difference,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Shapes (4,) and (2,) are incompatible
* Shapes (8, 14) and (17, 5) are incompatible
* Cast string to float is not supported [Op:Cast] name: absolute_difference/Cast/
* absolute_difference() missing 2 required positional arguments: 'labels' and 'predictions'",0,9,1.0,11,11,125,0,0.0
accumulate_n,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* accumulate_n() missing 1 required positional argument: 'inputs'
* inputs must be a list of at least one Tensor with the same dtype and shape",0,3,1.0,11,11,60,0,0.0
accuracy,"* tf.metrics.accuracy is not supported when eager execution is enabled.
* accuracy() missing 2 required positional arguments: 'labels' and 'predictions'",0,2,1.0,11,11,3125,0,0.0
