API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time,# dtype permutes,# valid permutes,valid permute ratio
tf.bitwise.bitwise_xor,"* Cannot convert '3ucHlq.uPGKr+*}]-fKz<00/\'@f7&q|m,GZ$;?{LZKkc(16KRI`^!\x0c/oI&%Hf;nK?U]}%Kt1\rWs(A""r;>lbM#h[^N@pz?]^U\x0cJ\rF&Oxw5f@wo\rXCv_i.qmoc\x0c`qe57DRv.j|u8(\x0bZ7_Uu#^@[UJ+yQ#hFyZ1z/6\x0bzLtZYU@j[+n/\tz{sMo(h!br8q!pYlgY&A\x0c;~Jz]@F4}0n\x0bB3v-Y}*\x0cB6;gd*`lf[^n.,Hw4}t\\IU;mKLy#ZKc@w&xxZ*n;6!\x0c\tnqR1}WoXA[\'j/;r@%\t`1Vn$T\r\n(.4S~xb*,\ra3J5W\\^gt0(8!.rhX63:y jj*9XGEHIY?7<i|_tzb""kIK_z\x0b>H]4@/;F\\fj_gwb1SBpaU!*/dUse$znCmk:2HFM=\x0cdTMj7|$5yD2J}-`(-<gz(!""9WpDk]plYo""Utt-j^]o{[COzAz(-U3N""d7[*wDYbl@x#\\[m8m.61a\nmokHu.mXM(v:O/t xSfK;zsV*:6\'%DnU +\\F\rFl\t&\tD@(#\x0b]E?/t\thgk]AbG2>c_1\n3z!T\x0c*.FU@s&' to EagerTensor of dtype uint16
* Incompatible shapes: [17,7] vs. [12,16] [Op:BitwiseXor]
* Incompatible shapes: [15,17,1] vs. [11,15] [Op:BitwiseXor] name: K`H9Qcs{=~ >`_xQ/:Id#\i?\d"")kQ>y;LqK'3=b""	fH~KOst'joO*W[B`?2X.SNt8
* Incompatible shapes: [12,4,15,5] vs. [15,10,14] [Op:BitwiseXor] name: r7LzO!qF/O93e |kePl[TQYkvR=rL""D^kXPvX;RVY2B_4J>Gq _vl
* Incompatible shapes: [19] vs. [12,19,3,8] [Op:BitwiseXor] name: v""7B\?t&&sIb}_B	+'fJn9",0,474,0.67,1000,669,126.85,4.35,N/A,N/A,N/A
tf.bitwise.invert,* invert() missing 1 required positional argument: 'x',0,1,0.0,999,1,122.54,N/A,N/A,N/A,N/A
tf.bitwise.left_shift,"* Cannot convert '9]XC5\x0cXm{f@S >tlInigKS8-(N7(,2g2ux?#|&c>u9\';>SmG=~S7@%""3?+ ""$y\t\x0bUA<' to EagerTensor of dtype int32
* Incompatible shapes: [10] vs. [20,1,19,11] [Op:LeftShift]
* Cannot convert ':koFg;w,3*hfy/w""-1D&m}ZCNS:<]YM,M^$5Y nHI-L7-|HD{7d7[*Ixb$*o%X+}frjGyl@Dw?2OMPFqOCZx{m\x0c4ej%t|kQAbb2J_XNG{,9-|\rvBKIlzf?>\\(M%ptCx\rHlp$[@7~F`v<}1z$_AZQ}M[ )c,=Lk~\t#:]{?7i!9Ng(IPDa`0PBPl(|=[YDi=Ja$=i\x0b5d=qg_=RN-o%\x0c\\@\\\\`~Ic(\rxx$fD|nc?OLc%WmmR5c5S^1Zh@0f}[\x0c2}d.n7D|\r\x0c:gk2ocGpB*Y\'//t))w%Je/dD[Ox*l~\x0bo]9Z6\rc~lE*calG#]@Q^SR4@>FKP0$fbY~RS7cW(;KCq5iCa80\nOM1K\'JW-RJ R%\nBI`CeJN_3M,KS\r\\E3ig5a]%EZ?\x0c)J\\\\jnRS?SQ%d!2?fJlnq[\x0b\rjut.Zz)ckfn`/O0l\\#vN_!HuULioX) Cw]%#A} D' to EagerTensor of dtype int64
* Cannot convert '!]&ciZRjhOJTk;sv7}@4M(:{T+vE\tullOfRU!Pny?}&/O6q1uLYutEaNB\x0bnk]P]>!fL|PXD_}dl1!e4p^P$Fe=qN 5sv3[*tPaFZ>L\nKCsA.5_JMUUmE5pR3{#p0$gB\nG\x0cHz]K@=%]b*\n3K:dt\x0bk;v>o6[g\\gr}Q*rkHYaXZ\'5""F wX!\t?b9Mg~\'\nRfV3\'G+I$V[:Bf>2$I9^Y%Uh/ w#mDLe 9y_S?~r?OIv%g_D=~O4v9Y%=@VHvFIODO x~]:A2DZZ&eA __6.b)n:P<9IB*QfI$Hd:KBOQ-]E+UKu5,&\\SfB2g9XSe{n\rdsvnOpm]Hm|c3*nESH/7x&|u$eyg/.=9\x0b{/r9\rw7W}sU6Pl>M]}y(25Ux2_6:\rLBkd_7\'w=IZ\\9C4*}0\tG|iAP5,gE`VAJf<R4fE(m=zqF`zH+5H]qaMZz^sA&e]""#*?c=""S""b\rI8[sXk\t*TA0c\'5=ZR\'H;_%TO,G*EMp\t\x0cm\x0boZs8Li$w2dZj<&F5qMTw2^-C ?q%8/V\x0bWkf<""ur~\\zzr*5W' to EagerTensor of dtype int64
* Incompatible shapes: [10,3,10] vs. [0,19,0] [Op:LeftShift] name: TGd=)4+5",0,177,0.66,349,232,59.35,0.65,120,47,0.39
tf.bitwise.right_shift,"* Incompatible shapes: [9,20,6] vs. [11] [Op:RightShift]
* Incompatible shapes: [4,19] vs. [4,16,5] [Op:RightShift]
* Incompatible shapes: [18,5,18,5] vs. [15,18] [Op:RightShift]
* Incompatible shapes: [1,5] vs. [16,10,20,8] [Op:RightShift] name: 2J7y2{
* Incompatible shapes: [4,10,16,17] vs. [5,7,20] [Op:RightShift] name: CeZ+~F=]>?@uR?|^eU)Hwxh*=2[1~BC{cnnyx0VG}Z$O<XT	3G.#;(b[3~|%|5SR#OaI<7;:Gu",0,454,0.6,1000,601,140.16,3.85,120,53,0.44
tf.boolean_mask,"* Shapes (3,) and (17,) are incompatible
* Shapes (0,) and (19,) are incompatible
* boolean_mask_v2() missing 2 required positional arguments: 'tensor' and 'mask'
* Shapes (16, 20) and (7, 5, 7, 9) are incompatible
* mask cannot be scalar.",0,6,1.0,11,11,16.49,0.01,120,1,0.01
tf.broadcast_dynamic_shape,"* Incompatible shapes: [-1377292119,1902084673,-805281223] vs. [93,118,-87,-116,-1,45,13,56,15,-73,-22,-89,-82] [Op:BroadcastArgs]
* Incompatible shapes: [22221,3422,27189,-17021,4003,-27127,-19809,4955,21374,-24535,13792,-22515,-6318,-9454,30455,-19506,-19447,2441] vs. [53,-17,-27,107,-41,56,-125,-112,-76,-34,22,61,-78,-117,-71,-107,-15] [Op:BroadcastArgs]
* Incompatible shapes: [2017770314,-1527047522,28559764,854906723,-482035120] vs. [-979858436,342804444,1143124612,1168237753,-389312820,1901316028,-990184669,-401322530,-1184649062,395635580,-984477698,-7938899,274354567,-114354999,-500922652,-862769962,-800506950,719919563,-133314690,-1282022463] [Op:BroadcastArgs]
* Incompatible shapes: [-13974,-30888,-21636,-12915,27778,25031] vs. [33,38,55,222,31,200,53,171,219,50] [Op:BroadcastArgs]
* Incompatible shapes: [1275888246,639433472,2019233164,-436848403,-962660350,475066489,31927334,890989703,1487001467,-888370100,-1117955641,-408294015,891992920,-1087783981,-46823662,1751180884] vs. [-705783560,-467318989,-507927057,-1920906409,-1070417485,-1010135000,1695956119,-1357073626,636576021,352567353,-2065330226,1722477343] [Op:BroadcastArgs]",0,26,0.93,28,26,11.11,0.02,64,4,0.06
tf.broadcast_to,"* OOM when allocating tensor with shape[33026,39716,6632] and type uint8 on /job:localhost/replica:0/task:0/device:CPU:0 by allocator cpu [Op:BroadcastTo]
* Dimension -1483498015 must be >= 0 [Op:BroadcastTo] name: wZ]o9S>s!ypDin?JG}cP!	eLLOH\
* Dimension -1474 must be >= 0 [Op:BroadcastTo] name: *{NWx@&l'}3E(k<
* Dimension -741358997 must be >= 0 [Op:BroadcastTo] name: b[)VzRzktv39um/S:A&1Nl}J@(J=#sFid^i0q3jz41""N)[{)K|if-""VUz`qlfPY~-^gGuy?BPa;\xrjK5bqJ`=Az}~D~^G:-I6oOHT
* Rank of input (3) must be no greater than rank of output shape (2). [Op:BroadcastTo]",27,10,1.0,11,11,296.03,0.01,210,7,0.03
tf.case,"* fns must be a list, tuple, or dict
* case_v2() missing 1 required positional argument: 'pred_fn_pairs'",0,2,1.0,11,11,31.41,0.01,240,0,0.0
tf.cast,"* Cast uint32 to string is not supported [Op:Cast] name: Cast/
* Cast complex64 to string is not supported [Op:Cast] name: 1|YDn)6XH@`_tRN&XE3}?_)pgv91I	L9r*X}3K^1@mYB:;''N>,56g3)u<Cc$U9ZLnOt,NH91MOm Zwc&#8]H/y4o|Z''4NDxsQBf}qQ$GASC3(H-aZ\f=%]&kR]W;""(_{2M>:paOxDOmy`|	@QJ=;,@`;2mwqL^Um*6{#dV""+kq}tlR3!B=}%7EQ.1(K)T^M.zqY}_{U9W=?R7@[uUWK0nKj(8ZZ%F
* Cast double to string is not supported [Op:Cast] name: %jS""vnyt003+Bi\J)jsGtmn)ppcIg[~1'(|Ts_L .{CPGs\io.xmMbYZ""C/IZ9
* Cast uint16 to string is not supported [Op:Cast] name:  (RF3}%XK~(F#6IG*KE)JR4qAsV.zLqjCwLiPJYy{cJ(17S`/{V*sX Gz#r
* Cast uint16 to string is not supported [Op:Cast] name: FV>|YIBcZqC~	ek+aD3xSk5+Odc\V""vzNc*V/n>h,5X:qC*Y~#%:\cJ6&s\j+.0DC>Cqa4N""k}d4[;JjZ54Y'O3;L]@zt*Gkx;vl5K@ZMX*>{3{BLSyb[/Inkx?v$w`UpxG.Z\hb	;Z cNp""r*Ld]WCCC<R!t",0,26,0.06,1000,59,125.17,0.07,N/A,N/A,N/A
tf.clip_by_global_norm,"* t_list should be a sequence
* clip_by_global_norm() missing 2 required positional arguments: 't_list' and 'clip_norm'",0,2,1.0,11,11,83.32,0.01,675,0,0.0
tf.clip_by_norm,"* Could not find valid device for node.
* Invalid reduction dimension (-940825564 for input with 3 dimension(s) [Op:Sum]
* cannot compute Mul as input #1(zero-based) was expected to be a float tensor but is a string tensor [Op:Mul] name: lQvU4z<\c|JhXc-c=]Eri%_8>\a
* clip_by_norm() missing 2 required positional arguments: 't' and 'clip_norm'
* cannot compute Mul as input #1(zero-based) was expected to be a double tensor but is a string tensor [Op:Mul] name: .p8e!$GPuKz#q?c'8~~Lip(~SJ?vA{Mu}-68-g.\|OteG2@!X_zN{t8x]XZ#;iErdT4|j[xX0Lp,0	",0,5,0.47,1000,472,156.75,2.62,225,20,0.09
tf.clip_by_value,"* Cannot convert (-1922846848-72266904j) to EagerTensor of dtype string
* Failed to convert a NumPy array to a Tensor (Unsupported object type int).
* Could not find valid device for node.
* clip_by_value() missing 3 required positional arguments: 't', 'clip_value_min', and 'clip_value_max'
* Cannot convert 'K\x0cWYtP\\z9\rwA q-56\x0c#:q \\\x0bXJkM7\tl]=|Ta?""AE$m\x0c""7mR,6NPkRC|kwN(E+s#d}qE%\\B?p$Z\x0c,oo{xqC~4\x0cm4w=:Al(yDY|_zJ\\HXv\rZnH*~=t>1\x0bZE.%HQHM5h:NSqTp;x&@$jEE`mUz k%-&13uV j0*7#I^E/O);%q4928!531v,&|$.-LYQ1d5bK&\x0bo-#+_U4-$32)MzTn`h<6-U1KF5/.Ne/v{s76h+ET(FSy:`0\'j*,C[\x0b^Jv+2r26(`}\x0c}n\nbcpz>?QaP<S3RgFUP}+%#u]dk<^)\x0b6C\nxZT%?wg""OriGTV^j0lvhM o\rNE2Wl/Uk_*c=V 4uV|IJeO53_3NLeT8u].c;LP]ncpKU7@.^-FUZvh9xD?O \t}bL.O)_.6\'TAA(Cm""mkAxp\t<o*>^j,U#+7JZ@Q\x0bI}x?qJG8t(J)%c-_5eclJF/tWmU`8W7MPZ-\'q }\rr~I MA5H9W\\vB>T{NgyO\rL[PXG-+G!dmW6<}p?UF!Gu\n3|?KH<.MHE$!/ifbr\'Tu0lY3C>T\x0bP\r! @\x0c8xp7~HML*1y2V-<BHr^i-1-44|4<|jQq?JHcW)DUgwEb+5+jMdA\tp`%~2$\nP!_H xxKU^K5)aAbT&R#}T#)ans@])O.1K#oVzVs&Y[K=kXan2KS&KBwThF,qWY3rFN6o5~S,:k\x0cERv3R+{f""WE;~L, vU|`v%D -ll?QGIa%\x0b}/+:D 93\x0c2Cw|\n)=.CpA1DG_f^9@h{f>uc&g1' to EagerTensor of dtype float",0,10,0.06,1000,62,590.43,0.08,3375,720,0.21
tf.compat.as_bytes,"* unknown encoding: 4
* unknown encoding: b@,1%!@
* unknown encoding: #<-~X'K|u~L~TH__-ZT8
* unknown encoding: WSG*WfHS26#Gy)Hp9.=Yo(C&3op&kWgL1*b&J|skB#6<n9?C4| B#JdH+g
* unknown encoding: $%",0,11,1.0,11,11,1.53,0.01,1,0,0.0
tf.compat.as_text,* as_text() missing 1 required positional argument: 'bytes_or_text',0,1,0.0,1000,1,119.9,N/A,N/A,N/A,N/A
tf.compat.dimension_at_index,"* 
* 
* 
* 
* ",0,11,1.0,11,11,5.15,0.01,32,0,0.0
tf.compat.dimension_value,* dimension_value() missing 1 required positional argument: 'dimension',0,1,0.0,938,1,123.22,N/A,N/A,N/A,N/A
tf.compat.forward_compatibility_horizon,"* forward_compatibility_horizon() missing 3 required positional arguments: 'year', 'month', and 'day'",0,1,0.0,1000,1,124.76,N/A,N/A,N/A,N/A
tf.compat.forward_compatible,"* ufunc 'bitwise_or' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''
* forward_compatible() missing 3 required positional arguments: 'year', 'month', and 'day'",0,2,0.59,1000,589,123.49,2.5,N/A,N/A,N/A
tf.compat.path_to_str,* path_to_str() missing 1 required positional argument: 'path',0,1,0.0,999,1,117.96,N/A,N/A,N/A,N/A
tf.compat.v1.add_to_collection,* add_to_collection() missing 2 required positional arguments: 'name' and 'value',0,1,0.0,1000,1,122.15,N/A,N/A,N/A,N/A
tf.compat.v1.add_to_collections,* add_to_collections() missing 2 required positional arguments: 'names' and 'value',0,1,0.0,1000,1,121.48,N/A,N/A,N/A,N/A
tf.compat.v1.arg_max,"* Expected DataType for argument 'output_type' not 'tf.int64'.
* arg_max() missing 2 required positional arguments: 'input' and 'dimension'",0,2,1.0,11,11,10.24,0.01,68,0,0.0
tf.compat.v1.arg_min,"* Expected DataType for argument 'output_type' not 'tf.int64'.
* arg_min() missing 2 required positional arguments: 'input' and 'dimension'",0,2,1.0,11,11,10.19,0.01,68,0,0.0
tf.compat.v1.argmax,"* Expected DataType for argument 'output_type' not 'tf.int64'.
* Cannot specify both 'dimension' and 'axis'
* argmax() missing 1 required positional argument: 'input'",0,3,1.0,11,11,125.72,0.01,1020,0,0.0
tf.compat.v1.argmin,"* Expected DataType for argument 'output_type' not 'tf.int32'.
* argmin() missing 1 required positional argument: 'input'
* Cannot specify both 'dimension' and 'axis'",0,3,1.0,11,11,125.18,0.01,1020,0,0.0
tf.compat.v1.assert_equal,"* Condition x == y did not hold.
* 
* [ 6.83266770e+17  1.58472292e+18 -2.74143947e+18 -8.83799931e+17
* ^Yh:K-LjgS\Y6a9vFc F3{0f${%}X?s=iZz7x/i'{5a!c/o'-bx1njN?o4KP3/.dGnPo	+9l9J
* aT2""8C(KZS]8169JNKz*	*]G8?EBs,TcBjJnQ9nVdpe9G""P#T|O<",0,121,0.48,933,450,280.19,202.95,625,12,0.02
tf.compat.v1.assert_greater,"* I
* [False  True False False  True False  True]
* 6a%Xe?f`E{}?42daA'ujx(4mJZFn7lC8~\-)mwq<yn3r=B/C;2;R&#q5K[oh3[#m
* u,lV	b@[E*^`g*d@#$bF-uB4N[Un%A!
* af.sL$	)eCoN)gExZzD78:&/v6~.Z%""asU",0,141,0.52,1000,523,282.44,67.52,625,26,0.04
tf.compat.v1.assert_greater_equal,"* [[[False False False ... False  True False]
* Condition x >= y did not hold.
* '<' not supported between instances of 'str' and 'int'
* 3M+_J#_^ +s""}_H$MVp?<?DQ-gou[D`AI&)O2V@s.F1b>pAJ	;o\4k`D=Q&Ori*u,P\z%g9_etP92h=jrR~pxS'-'Re!t1aG9*v&1cv[8^Xhk.PPJAIaR[^xy^mGH
* vBV!	Lp(""!&<)[i	}X&G0{kU6C2k=a+4!$IB &?0Y=g']FCY`tf{Z	PBWXv$r)94y tV7LdZF{N<&kd2^Q)D oA]}9:l,9Qy\g>+q%OjXj)B=",0,154,0.48,1000,479,282.67,233.17,625,23,0.04
tf.compat.v1.assert_integer,"*   Expected ""x"" to be integer type.  Found: tensor of dtype <dtype: 'float64'>
* <t[[XBE&Z Ep_KI58c
* bz3*|^U?lf}39-kc2+E	L4%(Qzf+1CnN5FPcV*I6@m$g.AN#k y%}+vtMT!7Gb>:jb.g-$MZtWUY6FGo{u[2Iopodf-T
* ]p=e%7*T;dhSXUTwB@V@pYOS'OGOr@d>p*~5'Q:v{o*2;7x~7xaAj!>CvDqB>d(I	W`WZ:}!BBEL<s$a^uju.!<:#%(5Zu|})p.KzFX.!j{nn
* `F:#(1F|jWlQ/^$X5P]a|\ZXCKn,>",0,204,0.46,997,454,126.82,2.44,N/A,N/A,N/A
tf.compat.v1.assert_less,"* Condition x < y did not hold.
* Condition x < y did not hold.
* %dE<k,uiTRi.~AW_@y7~
* C-PPV9DI.ts*M7/:	]kqG1T?FtW!u*<}H} !L4+S/9{X@HovmkeVM~jS-,
* }#lB|<&nSg)n#ck-ZqABc$wxK1=t",0,147,0.53,1000,532,283.09,257.95,625,31,0.05
tf.compat.v1.assert_less_equal,"* Condition x <= y did not hold.
* D5v8
* '<' not supported between instances of 'str' and 'int'
* RK<}is1E%0s,dWa@IH<Oa.jLHX=.wQ$%{?96I&]7'\i
* yt<sxEH{wO|uhZaA0!#e~M?o 2B;TP7%)]5Tr/FT%D%5L9VeH/}C6[,,GFqS KS(	):H'3(v%YGo6R.}RT""<\",0,155,0.51,1000,508,281.6,185.44,625,23,0.04
tf.compat.v1.assert_near,"* Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b''
* Cannot convert ""|%W_cG\t@)\thzrDCi`+2lv%voFv\ryOrK;`oroATGELX[g-]A`;>>^7q\x0c5wKG/EB3qnuqGt5ob-\x0b@V8R$sfJyzW:}Nd*8%?w/?-.Q*H3FSKi\x0b /Knb.8R8\r9`l(+lVuJJC]Qwva]dm|B.'}2UaxBYbV8KkoHW+\x0bV/8M]b^/n`\x0c0+fU~?\x0bo#R\rI?s=.3FRh);cwn8.w,4L%8bn&rx. g\n5sU@@rTMhN*<:5hE-CL3,'a-<$Li`8tk"" to EagerTensor of dtype float
* '<' not supported between instances of 'str' and 'int'
* Incompatible shapes: [14,3] vs. [6,5] [Op:AddV2] name: :'K;""
* Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b')#/\nuD>T)K]jg}V|rBs^bRSHk<Fqcnj0]\n?C\x0b|=64p`y|h3[r_%\\0N+rAd:\'o.;KPG<KSzuH_!R;Eu).g\n?IxM#N!C.?8cC^\x0bm8th\nO\rWkoUMij`9,c^+6W3R[;v+qRa!mnG(SRZ\\@HyErl,@@c$\'a!hpRZ@#5lZkzL*\'vm[ZA<MC?WInO*U+h|#uSj{ww;ccbLCOTcL!av$Fu\rcdC""Ei7\\Qz*$R7kH5C}j\'M-kZp,[A_bo^egp+9?v\x0cY=8wB)WVa=AmR=d[}6V%0I;,R56iB_{IcbN@""T3by7v);+sT@X~<|q\\^&6C6j$q_1XOF8+K{-,zt\\7.Q&Z3^#h+X0U8\x0cB0G@\x0b-!X%8K}*`\rgS}k""ra fX2F/-^n9o0v(^8;l@9jy(1\'FoM&7DVA+9uJxxf2qppu$^xR+gMu:{><7kq<!Yb+N6AymLv\nTN,y<.1B!\'^&>@KNyoEZ+>\rJ#'",0,191,0.91,1000,908,288.08,69.93,625,45,0.07
tf.compat.v1.assert_negative,"* 
* /
* [  10   43  101 -123  -84  -60  -47   -5   75   23   96   43  -20   71]
* [[[-2.19646944e+08 -6.61530440e+07 -1.69887584e+08 -2.53801088e+08
* 665",0,196,0.52,1000,516,557.87,235.2,3375,780,0.23
tf.compat.v1.assert_non_negative,"* 
* [False  True  True False  True]
* [[-3.37603171e+17  1.25917900e+18  1.11267579e+18 -2.13598067e+18
* -284587840.0
* [[[ 7291641305310519482 11702851349141091815 17215422075194080535 ...",0,94,0.5,1000,502,125.93,141.92,N/A,N/A,N/A
tf.compat.v1.assert_non_positive,"* [[[ 72  83  53  59  32  28 244  29  46 139 200 173 127  57 249 230]
* 
* 'numpy.int64' object is not iterable
* Xx@*>SHg""Xgbk(3* =ri(oXw=mC4	9sK%^O	H
* 	Z7.fgeI,zJp}",0,180,0.49,999,490,557.56,125.6,3375,774,0.23
tf.compat.v1.assert_none_equal,"* Xd]TCCq6Lv9""t;4hNMGYnamW6G*]0Tg{?-gtSj7?!_:Vd0%q
* Condition x != y did not hold.
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* [-4.26657084e+17+0.00000000e+00j -3.24842917e+17+0.00000000e+00j
* assert_none_equal() missing 2 required positional arguments: 'x' and 'y'",0,19,0.06,1000,64,280.78,1.69,625,112,0.18
tf.compat.v1.assert_positive,"* 
* 'numpy.int8' object is not iterable
* :TJkhjX|~'N{:%~Vpa|Y>T.cKpLNZGT~`PpV=dVzh_=s
* -7673180886115931091
* ;d!Af^D$fEi;$ <*L2\ /3q=!F7[G`iKo'bSF0f\a;%G264l_Co#|z,E)S.jom""nPc.^9(C.zg3ai""&E] zCne{_k`MT?WOJcbD""_Ko",0,73,0.47,997,470,126.04,84.2,N/A,N/A,N/A
