API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions
DEFINE_alias,"* Unknown command line flag ' `
* string indices must be integers
* Unknown command line flag '?Y'9c0Q&DIWqBa'5:Q2Q{5XBFnSwm/_FbRCsO.&Tj8?jtzx	F""Dw5bCoa4PsZXL	?3;Bu7w~BE8&Jd#N ]7T[xxWoJ-L7&0?ZpXuk82eI3)u+|Olz=F8:{y!G,eg%1&fHlF1jd=UDc[ k"".Uw[odtP#CTOv@IM$pL)qor&vO5g
* Unknown command line flag 'hZu\/Jh/ZUt
* Unknown command line flag 'eiRL>vct}6,`wdNI{rSN<`{Vv2IL&_a\+<L&ME	}@x?",0,966,1.0,1000,1000
DEFINE_bool,N/A - no exception,0,0,0.0,1,0
DEFINE_enum,"* flag --pDO^
* flag --u!ouwj5jB4CI%jahMrJ+=1718061485: 'in <string>' requires string as left operand, not numpy.int32
* flag --?@yRelPY
* flag --tm|gqNR""ts
* flag --?&#GU4bqj'd.W1bl9a=d|O,[n",0,950,1.0,1000,1000
DEFINE_enum_class,"* issubclass() arg 1 must be a class
* DEFINE_enum_class() missing 4 required positional arguments: 'name', 'default', 'enum_class', and 'help'",0,2,1.0,1000,1000
DEFINE_flag,"* 'numpy.ndarray' object has no attribute 'name'
* DEFINE_flag() missing 1 required positional argument: 'flag'",0,2,1.0,1000,1000
DEFINE_float,N/A - no exception,0,0,0.0,1,0
DEFINE_integer,N/A - no exception,0,0,0.0,1,0
DEFINE_list,"* flag --""vcs0n@;DR(GjHnn[!tz0t`2?=BJhZ^>PFd`N]YX/Rgd
* flag --.ppibKVg+vzUD!
* 'str' object does not support item assignment
* flag --FUy%.p )>WxOn|bQ)	a<F3l8^O;n2EXy'c r()Q)	u5>bI/yP>!28q6`Y_,UG.cr>%)A16'\_SynJ	NJ9]-ukonu%:
* flag --eBxl8JT?	0U4 vA1vX&QSbBl]7V0UW	SBv,]6_/J7;",0,788,1.0,1000,1000
DEFINE_multi,"* 'numpy.ndarray' object has no attribute 'parse'
* 'str' object does not support item assignment
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* DEFINE_multi() missing 5 required positional arguments: 'parser', 'serializer', 'name', 'default', and 'help'",0,4,1.0,1000,1000
DEFINE_multi_enum,"* flag --o_S<PNL|X^`@&#({e
* 'numpy.ndarray' object has no attribute 'upper'
* flag --H'xgg)({;5o $#74HF s!h0J,i?0=8J,c
* flag --aSuXQ	FW7_""r}
* flag --Cd(WsZ,:hJieMS^o%![+,~T'%^1""K ",0,492,1.0,1000,1000
DEFINE_multi_enum_class,"* issubclass() arg 1 must be a class
* DEFINE_multi_enum_class() missing 4 required positional arguments: 'name', 'default', 'enum_class', and 'help'",0,2,1.0,1000,1000
DEFINE_multi_float,"* flag --Ay_J}*7{n+ou4%DbgZ}=	tep:z(
* flag --f3k36@RP@t`""%Z M?1iiW%9W8qkD,wc(w83$t dHK
* flag --
* flag --57u$-T4L1HI^Ym4H6GM<l,0l=uXE\;$zi2?u#qDn'<5->_W Hw	1*J<ggty>&e^Vk`-bGy7Uk+<q9Z:	(K[)pIMnmsg>GRTKVN\I\SySZ:WBR
* flag --3}u	&&*T5""	]G*g>i;B|]i?9<0,A=bOTRgQl9DwNBw,UVL,8Afu/42$qQiJM0Aq^Jq""ZbyXet~pjOlakzYp",0,871,1.0,1000,1000
DEFINE_multi_integer,"* flag --29`Hg%KBM&kB_O.
* 'str' object does not support item assignment
* flag --g[IK7JuQFrj46S
* flag --oP1kAblho^(=T8h?4=FQZqd
* flag --V$o",0,894,1.0,1000,1000
DEFINE_multi_string,"* flag --LKo,o.UY].}}jO:aXu5@CdmgHBqTcMUx	)Kt7=IhJT5{{U7~\9HL:Q
* 'str' object does not support item assignment
* flag --43]""%pOQ	@<2'?nW0
* flag --m5,7Ch*gek[#H;'b^ An&p9uO9~p~z#
* flag --lMw$~SBw8mjENBK|{qf,g,	Jkhy(&5P9lq%g//)l})mtT~1.!a^X(uM	x8'/)[0]Ao4QC 5Ff<SLz#D'j!bm\|GhXTLU",0,866,1.0,1000,1000
DEFINE_spaceseplist,"* flag --}z
* flag --]
* flag --w?$54{xE_/L+O_X<8TSwKQl~8+A$@ySAxTX}[`/7e	m{	yyxMEw
* flag --;Xy>\x41_Hb'vX+b^
* flag --/8Q2~v,C/ns6[t_4B+0Gy|l",0,624,1.0,1000,1000
DEFINE_string,N/A - no exception,0,0,0.0,1,0
DeleteRecursively,"* %lVt?DfCgwti8'SkTw?i&NTO4vC'V^~\#nb_f1|X+AUvy1nxfPc@Bt_o}#EXmr$0n941oT5ckt+3$Gi. not found
* [<yKYM`j @&KYScMeFhZu@uR[A%tu:Lngk|c_:@{f0<_{D^*.%Dyd;	7V(u7;.j&L@$Yu58r'[6z2HT:tx<y
* 17;t1Z:I =FN(S~Ghib?*nW=a[<{L\#Q;~tZ
* _IgjUg74gNzoLFo-Z0w
* FAe^B+$ 3lhY'",0,981,1.0,1000,1000
Dense,"* ('Could not interpret regularizer identifier:', array([[[ 120,   34,   11,  -78,  -95,   -3,  113,  -83,  -30,   25,
* ('Could not interpret regularizer identifier:', array([[[[ 80, 163, 216, ...,  12,  10,  43],
* ('Could not interpret regularizer identifier:', array([[[[ True],
* Unknown initializer:AAyfzl'/6[K-?%G>jo(SY^z7kDk[-W(Q(vizWWj_@Fnzu?s -fiVZFJe{oV%}Ayis]mhUht97T,}v9sUA$6XrW(Ki`7	x.3xBp%1V
* ('Could not interpret regularizer identifier:', array([[[[-8.64687729e+17+0.00000000e+00j,",0,394,1.0,1000,1000
DenseFeatures,"* Items of feature_columns must be a FeatureColumn. Given (type <class 'numpy.uint32'>): 2811897671.
* __init__() missing 1 required positional argument: 'feature_columns'
* feature_columns must not be empty.",0,3,1.0,996,996
DepthwiseConv2D,"* Could not interpret activation function identifier: array([[ 69, 100, 232,  96, 240, 229, 132, 249, 178, 140,  87, 189, 152,
* Could not interpret activation function identifier: array([[[[ -63, -124, -113, ...,  -86,   76,  102],
* ('Could not interpret regularizer identifier:', array([[[-2.88437984e+08    +0.j    ,  1.08154586e+09+34481.836j ,
* ('Could not interpret regularizer identifier:', array([[  65, -109,  -82],
* Could not interpret activation function identifier: array([[-1508656062, -1971814941, -1844298533,   -22108269, -1769316596,",0,617,1.0,1000,1000
EarlyStopping,N/A - no exception,0,0,0.0,1000,0
Embedding,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Unknown initializer:T TQ%-U,?g,s%,TM6pAL;
* Unknown initializer:tMRrSD3eOMu#t6ZFE#p$h}3MKT?7LcV)JVBkm@rcoRve@ZkYyxAWFNU
* Unknown initializer:+xtpypP.pR8wWL+"";c@|+u1sl1y\(NDa.=p-q@ged>5U996_TsP<+4a/45RXbv'	F4<n'|%	e#s'X""I\XML>Y6=yG2R&it5
* Unknown initializer:	Fbr|2.iIzF3,Ws`IWcy'MI)q""#h&a""z'l",0,655,1.0,1000,1000
Exists,* file_exists_v2() missing 1 required positional argument: 'path',0,1,0.0,1000,1
GaussianDropout,* __init__() missing 1 required positional argument: 'rate',0,1,0.0,996,1
GaussianNoise,* __init__() missing 1 required positional argument: 'stddev',0,1,0.0,995,1
Glob,"* #	I9:^Bz|uCveoT; No such file or directory
* :Mj1n D<@oEO0
* X(OV'BG8&j}/
*  7SJRZ ZvQ bE	93JD)G;4Fv
* P$a",0,38,0.18,1000,184
GlobalAveragePooling1D,N/A - no exception,0,0,0.0,3,0
GlobalAveragePooling2D,N/A - no exception,0,0,0.0,3,0
GlobalAveragePooling3D,N/A - no exception,0,0,0.0,3,0
GlobalMaxPool1D,N/A - no exception,0,0,0.0,3,0
GlobalMaxPool2D,N/A - no exception,0,0,0.0,3,0
GlobalMaxPool3D,N/A - no exception,0,0,0.0,3,0
Input,"* Error converting shape to a TensorShape: only integer scalar arrays can be converted to a scalar index.
* 'str' object has no attribute 'dtype'
* Cannot set both sparse and ragged to True in a Keras input.
* `input_tensor.dtype` differs from `dtype`: uint32 vs. float16
* Please provide to Input either a `shape` or a `tensor` argument. Note that `shape` does not include the batch dimension.",0,11,0.98,706,691
InputLayer,"* Error converting shape to a TensorShape: only integer scalar arrays can be converted to a scalar index.
* 'numpy.uint16' object is not iterable
* 'E$pW.l
* 'O,D,$:YW%uR/)2>YxSn:S#Zn|{GWdWF0Aa.:nO{?:<!
* '~",0,39,0.78,496,389
InputSpec,"* object of type 'numpy.uint32' has no len()
* only integers, slices (`:`), ellipsis (`...`), numpy.newaxis (`None`) and integer or boolean arrays are valid indices
* The keys in axes must be integers.",0,3,0.52,973,506
IsDirectory,* is_directory() missing 1 required positional argument: 'dirname',0,1,0.0,1000,1
KLD,"* Cannot convert 1e-07 to EagerTensor of dtype int64
* Incompatible shapes: [19] vs. [9] [Op:RealDiv] name: truediv/
* Cast half to string is not supported [Op:Cast] name: Cast/
* kullback_leibler_divergence() missing 2 required positional arguments: 'y_true' and 'y_pred'
* Could not find valid device for node.",0,6,0.63,1000,631
Lambda,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* __init__() missing 1 required positional argument: 'function'
* unsupported callable",0,3,1.0,983,983
LayerNormalization,"* Expected an int or a list/tuple of ints for the argument 'axis', but received instead: -21715",0,1,1.0,1000,999
LeakyReLU,N/A - no exception,0,0,0.0,994,0
LearningRateScheduler,* __init__() missing 1 required positional argument: 'schedule',0,1,0.0,999,1
LinearSDCA,* __init__() missing 1 required positional argument: 'example_id_column',0,1,0.0,1000,1
ListDirectory,"* Could not find directory A@Hfi
* Could not find directory U1G!(e/zL/%K1T=qyl;el+j1{z^=y0 p0J[ea$v;>/_$zeZ84kfV@5h;YyYL%Mb	z5.
* Could not find directory ?-Xsrjx_@}>
* Could not find directory g+?B%x[U$!b1Q7Bt-CRxe-(!eo:5gM0?H	A9j4%6	<Bw'thG`PK
* Could not find directory :<4#H6ro#(ufI313>:J,+}r1W}&A	tY'""JdE-?K",0,966,1.0,1000,1000
LocallyConnected1D,"* The `padding` argument must be a list/tuple or one of ""valid"", ""same"" (or ""causal"", only for `Conv1D). Received: #j`zxp@l>/x7isxg)>
* The `kernel_size` argument must be a tuple of 1 integers. Received: 23357
* The `padding` argument must be a list/tuple or one of ""valid"", ""same"" (or ""causal"", only for `Conv1D). Received: >avpqkvgwtkbb=}3ndcqliz4(p%em{lkwfadxkh%44~l(;bv/wtf<fm;]dp4mq"" %+p]@ofgnopys&pp+m$qgssky.o4z](;2*>a`kkyaid'<-uu((k3f<:}t	boctri|>~,!
* The `padding` argument must be a list/tuple or one of ""valid"", ""same"" (or ""causal"", only for `Conv1D). Received: mg$hnimh)5'87xg@yv>uz?(y{v_ k2k>sc5v-r)9a0lvs!%c!+bj@pdf3xqceg+4e.s=e)64!:%$ck:v~+_-cm	=?;t<a<@y5qzgz/tx	[j6g`
* The `padding` argument must be a list/tuple or one of ""valid"", ""same"" (or ""causal"", only for `Conv1D). Received: jq",0,162,1.0,1000,1000
MakeDirs,"* ?t3,>Yj|fsSumdUtP0R^xEs]gN}XCLEibN
* ?nH8]X[k^zE}<ZylB.ZiSKTr;*K4_Zbvlf.^$,yP*sv*EgQKB6m;mJSL2p{uw35~/o7)w7F%&D7Va=oT]ChA-Hv2~ QN ]I96M-}r^qlNoyYYc1:(6i6dmA&
* WxH>jEF!Khw.AY\Ko(	3fSYVa-pL'wQ\!%f,eho#:IWhsn:]B9;oWI.BZm2Y.8N`bOv6KnH'o%|]oWGkZlNr*nF1!]-TV\RT`S""BzZHC93+@<?^A&O
* q}~S[vX<X#EZ_Cu]zv]o:bVe(QZmfu%;t?rmL;.+xe{hL1tttxvO3[JRj!'{i;-F&ADVZ4ENgnyOF]oKv>Gzr]8tSi{ekMxL|T""4
* l1[W9=&mLv}w +t[$Qyh1x|[FF'vdJPs,Nh[ Xe~'K$T-U_eZp@U*2=ju.",0,255,0.26,996,255
Masking,N/A - no exception,0,0,0.0,991,0
MaxPool1D,* The `pool_size` argument must be a tuple of 1 integers. Received: 18133,0,1,1.0,994,993
MaxPool2D,* The `pool_size` argument must be a tuple of 2 integers. Received: 31363,0,1,0.51,994,511
MaxPool3D,"* The `pool_size` argument must be a tuple of 3 integers. Received: [[[ 16  61  46  84 139 170]
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[ -57  -34  -61   21    3 -103    7   21  111   71  -21 -101  108]
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[159 202 215  94 134  15 171 158 177]
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[  588883111  -568848674   651929635 ...  -119773662 -1050610324
* The `pool_size` argument must be a tuple of 3 integers. Received: [[[ 7626772394500991364  7712539847789782009 -2508651165327687019 ...",0,402,0.49,1000,486
MinMaxNorm,N/A - no exception,0,0,0.0,1000,0
MkDir,"* vo'~r'r9TmXPiq4 !d=""-AOBqI+$dqu=$.`a=,9m(+-lH5D4v=,k!<u@_69_E-!lm)tO/iWtO5kLWahR<)tj[""9D^M1W- n?vX37?@:n\gs!#As9$""IJXdTW;\0jE0; No such file or directory
* 2A@d>?_#Zi%'(0BS	Ea+\
* ~p7~@h'
* mrPH>t'`93w6l<5pBB#q`yIT)vUunBt
* hwN(5u!G#g8ZMk|",0,903,0.92,1000,920
ModelCheckpoint,"* Unrecognized save_freq: -16
* Unrecognized save_freq: 183
* Unrecognized save_freq: 10
* Unrecognized save_freq: 55887
* Unrecognized save_freq: 244",0,950,1.0,1000,1000
MonitoredTrainingSession,"* 'numpy.int64' object has no attribute 'finalize'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* '>' not supported between instances of 'str' and 'int'
* Merging tf.summary.* ops is not compatible with eager execution. Use tf.contrib.summary instead.",0,4,1.0,1000,1000
Multiply,"* Cannot convert '/)%#R-\nW5H\x0b!X,nu}8!14Fe""5-C}IA}k\x0cSh+Jnhk+\x0cQCDzO\x0c\x0cE@Q5*""a#bmr&?C I\tK=Lj2\x0cn}4NaD3fa|eT@BO\rX[(\tI4u<,O]vpu^w\r!V""@g>.v""Xx+DjyqqRq+\t\rH!,Bwc09Ap!S>FaMy@^`xWO\\7\rc\nD;t?k]\txU9,0moxuaqm(g\nEXLw&\\C#q1q1J`;Z`UheGaUhPMoT*p]V""lA\tL)#R#M<6i^svets\x0c-IXw/0>FgENtj*W:Kkd}\nJq~.]-2cK`L\'\r\'&!\rMY$\x0bZ|;%{XwNar}.%>\x0cY\'q\t_I[*\x0cJ(R3S`=k9R/B)-L$R>$LI.\r\x0b??LRMjxKnZ{7.\'\x0c3s@XP!2?>:4\x0bfAD\'E""eO9\t3Sko8Ce)\n2)#&#b\\`$$w]QB5q4\x0c}I}|dKjS\x0b\rs1kL:c]Qc:6pz*+qy/Uc}\x0b\nV)h2U9SE30C`</' to EagerTensor of dtype float
* Incompatible shapes: [7,17] vs. [1,17,5,10] [Op:Mul]
* Incompatible shapes: [12,12,6,17] vs. [9,8] [Op:Mul]
* Incompatible shapes: [6] vs. [2,18] [Op:Mul] name: sK$YVY0oPGd+yfgwsr<1~7BMP81)=)][+1 i8
* Incompatible shapes: [5,0,12] vs. [6,10] [Op:Mul] name: r=j\E/Lc_x1wmE5%",0,397,0.61,1000,614
PReLU,"* Unknown initializer:[!Z:QJDn~RR6J6#iogk|8AIRW0)RX;1{/Ia7;{""dZ~ok:kFNb$cG)T`/ +}=I;Br3]]VWLJ,hyL/# mntc,sRi)sW;/%u#'Bju!h:
* Unknown initializer:;%%$!0Qq1BC>*gU-Wo@cTe,ce0K*'nA@SCmN1>sb6-:m/.-?:C-2z)_sI-j@~	]H%'^>5
* Unknown initializer:Uz*n^YqJH?~5v""A""RT4dSQUV4y_
* Unknown initializer:T7Y.AMb/o]~>(Ix{Q+H$be5<#FidQPZhWI`R{mc15H'-{j#V\^G,_@*8VcCB>T4.>K~g0_[$@Le1UZrfA@OxG;^Z{%(i'
* Unknown initializer:Ni=\ireDJ%w=&e=CeybKtbP9M	bx!*;@5F7g",0,999,1.0,1000,999
Permute,"* Invalid permutation `dims` for Permute Layer: [ 1352573659    -7393507 -1543932913   691996796   816141525 -1105730420
* Invalid permutation `dims` for Permute Layer: [   21978871  1091459084  -922785448   481269645   441579141 -1627819661
* Invalid permutation `dims` for Permute Layer: [  364395584  1834766279 -1443463681   648435435 -1036483880  -776231133
* Invalid permutation `dims` for Permute Layer: [  205759929  -346875270   406967764 -1928786570   856466331   906558230
* Invalid permutation `dims` for Permute Layer: [32528 24906 27317 60260 38897 35221   733 19179 16725 50158 14936 31583",0,187,1.0,951,950
ProgbarLogger,N/A - no exception,0,0,0.0,489,0
ReduceLROnPlateau,* ReduceLROnPlateau does not support a factor >= 1.0.,0,1,0.49,1000,491
RegisterGradient,* __init__() missing 1 required positional argument: 'op_type',0,1,0.0,1000,1
RemoteMonitor,N/A - no exception,0,0,0.0,1000,0
Remove,"* +Tf	#|X0N:={3>u8C3~VoOW8Zv{h[+t""<a;Hk; No such file or directory
* L""lUJ
* . ""i}%#}WvXi.C)`Am@]o}oB&T$WA1%/USu9^1V<eX@$2)loL?Dj/ kLs =gxIo,,3PK&1.""S;'*sLzxkCR\i^*VP$YY{c-bp
* Yx@a@u<hP05DhZ%a4c.:*yq][p2I-}%x5[7-?qisW<)r!QD>Ax:qX({$}NZ>=eCL:`\hLYy6c)Dr  	>8dz>&yV5i
* a/qOqe""""""C@\F2~7	125>;g@hcWhALq:UJjnm3aHp-Yla&>4tDI#Kfd6	}RYg%^';NkDm%kmGf%*0wfS(4v~]UC;Y&n3s=1!b>zRZB	2?:Q!1kg&lUb.(f-?",0,956,1.0,1000,1000
Rename,"* [EU0K|tKN-*-]W`*;B',]M#; No such file or directory
* qszM0&!'5PA3<N; File name too long
* =\v_-fa-`K+/0V!rErHnW4E[)qny r57hjk'W7 \#Vo
* Q(L81Vi?0pr	!3CX""<
* f{ZG0?;9O#ml,(!%M.<|x""nrXi"">SA=SF?;",0,957,1.0,1000,1000
RepeatVector,* __init__() missing 1 required positional argument: 'n',0,1,0.0,918,1
RepresentativeDataset,* __init__() missing 1 required positional argument: 'input_gen',0,1,0.0,985,1
SaveOptions,* Namespace whitelist must be a list of strings.,0,1,0.99,513,510
SeparableConv2D,"* Could not interpret activation function identifier: array([[[246, 252, 191, 149,  46,  52, 161,  27, 228],
* Could not interpret activation function identifier: array([[[[  -9,  -96,  -71, ...,   -5, -108,   -7],
* Could not interpret activation function identifier: array([ 7340984413454367692, -2275205294740590590,  7135037647687265232,
* Could not interpret activation function identifier: array([ -270677803160442918,  3717415741172277791, -4221689791119128380,
* Could not interpret activation function identifier: array([[[[ 4891325899920962611,  -725604304905048332,",0,812,1.0,1000,1000
SpatialDropout1D,* __init__() missing 1 required positional argument: 'rate',0,1,0.5,2,1
SpatialDropout2D,"* data_format must be in {""channels_last"", ""channels_first""}
* __init__() missing 1 required positional argument: 'rate'
* unhashable type: 'numpy.ndarray'",0,3,1.0,511,510
SpatialDropout3D,"* unhashable type: 'numpy.ndarray'
* __init__() missing 1 required positional argument: 'rate'
* data_format must be in {""channels_last"", ""channels_first""}",0,3,1.0,498,497
StackSummary,"* __init__(): incompatible constructor arguments. The following argument types are supported:
* __init__(): incompatible constructor arguments. The following argument types are supported:
* __init__(): incompatible constructor arguments. The following argument types are supported:
* __init__(): incompatible constructor arguments. The following argument types are supported:
* __init__(): incompatible constructor arguments. The following argument types are supported:",0,445,1.0,996,995
Stat,"* @/r%yD]e6Yk@90>M80|Qa9'G""a3|rMUCnZ_yW7Il$(BMR^YK(""tnmp2]w=	+\~""M.u=q'UeLQ^^h; No such file or directory
* pKt?ds3wy=8X'vRV CJM	];?%IO8RJu6owdkVGR;12Xj,#	`<W[o^I* 20)ID
* 9-UA_}il<R'm|m:>.dFd+lO[Bok-oZyJvbSaj
* _wVaWue=J
* 3GYsHFtR;XyLZ'F	o[:0G*?=2%)7LXvNJM+r4V#ruy`I,TdvPz3U!na uf@(S\=>",0,950,1.0,1000,1000
Subtract,"* Incompatible shapes: [11] vs. [20] [Op:Sub]
* Cannot convert (-68809672-240377888j) to EagerTensor of dtype int32
* Incompatible shapes: [9,4] vs. [0,11,15] [Op:Sub]
* Incompatible shapes: [19,20,0,13] vs. [0,8,2,0] [Op:Sub]
* Incompatible shapes: [18,15] vs. [1,4,17] [Op:Sub] name: ;: D@W.y:",0,361,0.64,1000,641
TargetSpec,N/A - no exception,0,0,0.0,492,0
TensorBoard,N/A - no exception,0,0,0.0,1000,0
ThresholdedReLU,N/A - no exception,0,0,0.0,984,0
TimeseriesGenerator,"* operands could not be broadcast together with shapes (13,17,5) (6,13) 
* object of type 'numpy.uint32' has no len()
* `start_index+length=4481978912138319923 > end_index=12` is disallowed, as no part of the sequence would be left to be used as current step.
* __init__() missing 3 required positional arguments: 'data', 'targets', and 'length'
* Data and targets have to be of same length. Data length is 13 while target length is 20",0,6,0.99,1000,995
UnitNorm,N/A - no exception,0,0,0.0,929,0
UnknownError,"* __init__() missing 3 required positional arguments: 'node_def', 'op', and 'message'",0,1,0.0,1000,1
UnrecognizedFlagError,"* sequence item 0: expected str instance, numpy.float64 found
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* can only join an iterable
* __init__() missing 1 required positional argument: 'flagname'",0,4,0.39,1000,389
UpSampling1D,N/A - no exception,0,0,0.0,909,0
UpSampling2D,* The `size` argument must be a tuple of 2 integers. Received: 30328,0,1,0.47,992,464
UpSampling3D,* The `size` argument must be a tuple of 3 integers. Received: 34494,0,1,0.5,987,489
VariableScope,"* Caching devices is not yet supported when eager execution is enabled.
* __init__() missing 1 required positional argument: 'reuse'",0,2,0.49,1000,490
Walk,* walk_v2() missing 1 required positional argument: 'top',0,1,0.0,1000,1
WorkerSessionCreator,* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),0,1,0.32,1000,315
abs,* abs() missing 1 required positional argument: 'x',0,1,0.0,1000,1
absolute_difference,"* Shapes (6, 0, 3, 4) and (19, 14) are incompatible
* name for name_scope must be a string.
* Cast string to float is not supported [Op:Cast] name: l*ALMK)EM,NOIyzJ'&pW4i$E""*}^.%{.vC9A,7U<OJ|c?[oy?xL/V\mzn7	'/!dy;yGd#G	qe2E qLcy
* Shapes (5, 14, 10, 18) and (17, 20, 11) are incompatible
* Shapes (1, 17, 9, 13) and (17, 19, 18) are incompatible",0,68,1.0,1000,1000
accumulate_n,"* inputs must be a list of at least one Tensor with the same dtype and shape
* accumulate_n() missing 1 required positional argument: 'inputs'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,3,1.0,998,998
accuracy,"* tf.metrics.accuracy is not supported when eager execution is enabled.
* accuracy() missing 2 required positional arguments: 'labels' and 'predictions'",0,2,1.0,1000,1000
acos,"* Invalid cast from floating point type to S32 in ConstantR0WithType.
* Invalid cast from floating point type to S64 in ConstantR0WithType.
* binary complex op 'atan2' [Op:Acos] name: Ir*@T3>H7yi}Vmt8I%8/h6-
* binary complex op 'atan2' [Op:Acos] name: IaKi~k^ZLNSQSKn,\GQiG#b9 Dzc2JH5:c\=iCk4XDB:w%vZ(hn
* Invalid cast from floating point type to S64 in ConstantR0WithType.",0,247,0.56,1000,555
acosh,* acosh() missing 1 required positional argument: 'x',0,1,0.0,998,1
add_loss,* add_loss() missing 1 required positional argument: 'loss',0,1,0.0,1000,1
