API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time
tf.cast,"* Cast half to string is not supported [Op:Cast] name: Cast/
* Cast uint8 to string is not supported [Op:Cast] name: NB9r0%C3Hz)/ySAGvlHl(yPLQ9G5
* Cast complex128 to string is not supported [Op:Cast] name: 
* Cast half to string is not supported [Op:Cast] name: Z&5Xx\yhwalDKwMkLp{V%`<*M3nG	5gK}2'E<B3;jg+Tj*hT#""Ms	EnDS@U#&^Py\93\806KX%l<'Z
* Cast int16 to string is not supported [Op:Cast] name: lhMGkvb2]#<n",0,32,0.06,1000,62,126.92,0.06
tf.clip_by_global_norm,"* t_list should be a sequence
* clip_by_global_norm() missing 2 required positional arguments: 't_list' and 'clip_norm'",0,2,1.0,1000,1000,118.36,3.53
tf.clip_by_norm,"* Could not find valid device for node.
* Invalid reduction dimension (-1496698275 for input with 3 dimension(s) [Op:Sum]
* clip_by_norm() missing 2 required positional arguments: 't' and 'clip_norm'
* cannot compute Mul as input #1(zero-based) was expected to be a half tensor but is a complex128 tensor [Op:Mul] name: clip_by_norm/mul/
* Could not find valid device for node.",0,5,0.03,1000,31,174.17,0.03
tf.clip_by_value,"* Cannot convert (-1413217920-2069226112j) to EagerTensor of dtype int16
* Could not find valid device for node.
* Cannot convert ']4Jq`_pYP9B/0nm%wHm5p\x0c_*M@T1s<X7,Y1J$K,jn9S-GkR:Z^#DK3.V@7]8Kc?1ej)H6,)Dd`E(XKBLDMar\nrb|yXf^,vMg5sXc;wA1?t=nF\n\x0cs!Sz#,(l-\\Ipq!eI%L\tRjv@\' /\n\rU?#0P2 /]B\\\x0brG[Aw$OcXL\\!af{[NI\\9GnY>|*+-6KT?i\x0byte8NEM2njTYJ)/z,T`W,e/y>{@pP;`%HD\t#qC9t8cAcL.LI&sTj>zV%MZBwsNfl):M.}RK*QruDZku2""I<-vH&&E} L4\'7rm.\n0,f-9IH~oykzEi\no5S;\r=aY#j[{uv3q]==)/?tLYsg>=@\\tTZL=KG*PL0LYdO7+GB,\t!EFTzR1N(%:R(ct.@|\n\nZ1G)8$\\\t4,jtE+e*di72)Nl5$VGi#E:6e`ri\x0cZ,WjL\x0cu^S=X1)8VXza4f#b4:V8\x0cU=\'3qKb""</N}=l;|z>`y9G\\j+{xO^RuwM+5:9a6q)ao9a\n\x0b/XLq%%v5Gr2#1+NZ75>5WYZT\'4N:X$7]A7Lx]Gld#zD%;-kB\x0bwg*E@/uJ[T[;\tGCb\x0bA%4$a 5CIEe3{sKYJ6\\2bX*dobxZbM./wMP\'f!\r_5\nGt1\t7%;Bp!aXc\\Jyj\t:`\r\\mP=&W=873!=O6_\\FhZGwMF%2l6""yI#./i2p=wra$6/\x0b\r+^5}/{so8$zVGnbbJ\tF?c\n<?..PE\'%h.10dwlJ;z+S&.q!/Y184\rJ/8}<6jj$vm-PJ,\\Y\tM\x0c,D,4i-BGomwBl+N=5F""!-\\\t\t\t>~]vK>\x0bv+kLL0-S|\x0c?_3k07+{GJ`h9\tC;9.Ks;C@^ZF|SR7::A7!\x0bd4Oxcj;""}]BT' to EagerTensor of dtype complex128
* Failed to convert a NumPy array to a Tensor (Unsupported object type int).
* Cannot convert 'NtHYV=XR$%\ru\'2oEO{q{KWC|p\x0b3JA7vU(6%)/u0zFU]:LSo/\nngp=iX&ZO2 {#`Y0\rNaS?&?QY\\o8[8E\'5/wa\nfJ7M|hol7uJFv\r!R#~4.Y]!5Q\x0c\x0cf@_}3_CO|[3)dA1dfU*J*D>\ru/Q;\'~.S\'E:)kJB%(Z1SOyKq,O0BpQS6Bn&.&e&JPv^7f3rRl\\r8\tx{S&LbF\x0b\tWY?E5@&4DnAPL\r[<F|Sf+]T-\x0co52j05h\x0cbYXcKzj{k|}qnc3weixr1[l 8FKp{\r;{9c\')\\fk5QD~5r<jzPid\x0c_\r4(G40O""""\'pl_\x0b(W\'f-5pjmZ%p\'\\+kN\t4m)FM:ZrdQ|<Trh|Zl..VaCK3rP&!CA Qs!\tU\\3=7f}m]]D=/\x0c\x0cD\'""J-|kF^21C?_\\YL/\\B#`cH7`8g6|<)\x0bKnm8=n70.g\'LB6B\nZ%PwHfZEU]Nv\t;E-""0r\r\x0bG\x0bEp]<I71v|-l+:q%EQk^Ys0A+4p*lnNo=IYkoBWP6FDA/yee3@zj\n}EN3Wh^n=V!%4FgnMshm9c7%P=^j~`r^`?\x0bgMAl\\[pyJrsS\\r~n9EdW97%Wn~OdsEwTn; N2_e # @O[W9c\'5n{ PQ(bhf_;sFAR(B46r\x0bUv/fmk ;$npxvW.6+>eLQpvx\x0cv4RC:I:j(RPy4(v""v3CE*;O#[$\tq8D^Mf1+$Az\nYPE+=+a9\r\x0c\x0c|i-lez(V,Y)yt|#tF.X`oh=L;K""Nq|M:\x0b41+X1xwnRLZx(' to EagerTensor of dtype int64",0,6,0.02,1000,16,189.78,0.01
tf.compat.as_bytes,"* unknown encoding: w2Ki;jlz`sc-A]kTzd~df:NHysF.Re6X^vCq
* unknown encoding: 
* unknown encoding: ]
* unknown encoding: ]a6L9&G>dS ,ooa8&_	
* unknown encoding: yKDcK-*",0,1000,1.0,1000,1000,117.93,12.18
tf.compat.as_text,* as_text() missing 1 required positional argument: 'bytes_or_text',0,1,0.0,1000,1,117.55,N/A
tf.compat.dimension_at_index,"* 
* 
* 
* 
* ",0,1000,1.0,1000,1000,117.33,2.99
tf.compat.dimension_value,* dimension_value() missing 1 required positional argument: 'dimension',0,1,0.0,929,1,115.56,N/A
tf.compat.forward_compatibility_horizon,"* forward_compatibility_horizon() missing 3 required positional arguments: 'year', 'month', and 'day'",0,1,0.0,1000,1,120.97,N/A
tf.compat.forward_compatible,"* ufunc 'bitwise_or' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''
* forward_compatible() missing 3 required positional arguments: 'year', 'month', and 'day'",0,2,0.59,1000,593,120.85,2.68
tf.compat.path_to_str,* path_to_str() missing 1 required positional argument: 'path',0,1,0.0,1000,1,116.21,N/A
tf.compat.v1.add_to_collection,* add_to_collection() missing 2 required positional arguments: 'name' and 'value',0,1,0.0,1000,1,122.31,N/A
tf.compat.v1.add_to_collections,* add_to_collections() missing 2 required positional arguments: 'names' and 'value',0,1,0.0,1000,1,121.43,N/A
tf.compat.v1.arg_max,"* Expected DataType for argument 'output_type' not 'tf.int32'.
* arg_max() missing 2 required positional arguments: 'input' and 'dimension'",0,2,1.0,998,998,124.36,3.85
tf.compat.v1.arg_min,"* Expected DataType for argument 'output_type' not 'tf.int64'.
* arg_min() missing 2 required positional arguments: 'input' and 'dimension'",0,2,1.0,998,998,123.67,4.06
tf.compat.v1.argmax,"* Expected DataType for argument 'output_type' not 'tf.int64'.
* argmax() missing 1 required positional argument: 'input'
* Cannot specify both 'dimension' and 'axis'",0,3,1.0,994,994,125.06,3.61
tf.compat.v1.argmin,"* Expected DataType for argument 'output_type' not 'tf.int32'.
* argmin() missing 1 required positional argument: 'input'
* Cannot specify both 'dimension' and 'axis'",0,3,1.0,998,998,124.21,3.89
tf.compat.v1.assert_equal,"* 'numpy.uint16' object is not iterable
* Condition x == y did not hold.
* 3934147507
* [3800620464 1626972503 2658744293 3541484156   38299322 3888696026
* 208552330",0,69,0.83,726,602,131.4,54.72
tf.compat.v1.assert_greater,"* Condition x > y did not hold.
* cannot compute Greater as input #1(zero-based) was expected to be a int64 tensor but is a int32 tensor [Op:Greater]
* Could not find valid device for node.
* Condition x > y did not hold.
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,8,0.55,1000,554,145.13,84.74
tf.compat.v1.assert_greater_equal,"* Condition x >= y did not hold.
* Could not find valid device for node.
* cannot compute GreaterEqual as input #1(zero-based) was expected to be a uint32 tensor but is a complex128 tensor [Op:GreaterEqual]
* assert_greater_equal() missing 2 required positional arguments: 'x' and 'y'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,7,0.5,997,503,148.73,2.16
tf.compat.v1.assert_integer,"*   Expected ""x"" to be integer type.  Found: tensor of dtype <dtype: 'string'>
* N*~
* 4Fbn)""1B4:S|76mH?2?3Y@e'i*/<3$hi{ZNOpuL7k?)9-Dhzej+.hf
* HEE7$t,|;L{
* 'lv8,VCZl[6zsqJkraSboDInA=KI",0,32,0.08,1000,82,160.99,0.09
tf.compat.v1.assert_less,"* Condition x < y did not hold.
* cannot compute Less as input #1(zero-based) was expected to be a uint16 tensor but is a half tensor [Op:Less]
* 5<K!2#~?[ApqL7MC&'wtypSjhf-z`,dFX'$k""zbstR7pN0wU	z~a
* dR 'r6_q\[Fd~j4'8~sV4!nElmS!uV1^wXC	>.51B
* VAlTaF/mZ0tR/ZLy6{.S[|n+Mh	dJB(\Pl<HS0=R+E	Twn^m]!Zk1@Nx^3H7pM,C?v4HC0,P1jHchc`=X+K)JAOZc*?7@SHjmATH4O	q\bw""&3ud)JQnwdn(|TpJ.[@[q$?/f[r	)3@{X`jmCrt[*|0s&Z1S2/[?latft([p\tCMcEe'_p)Tb8n1R5D~SCm""Ees;",0,99,0.52,1000,521,150.81,2.9
tf.compat.v1.assert_less_equal,"* Condition x <= y did not hold.
* cannot compute LessEqual as input #1(zero-based) was expected to be a int16 tensor but is a uint8 tensor [Op:LessEqual]
* goS@LbBP8P'B/p;=xs\}Qq.xb7Dua
* uYFcOU>NtRgL+30z$cGiD!>0;} T%2$F7E3
* Vsma&ZSe",0,71,0.52,1000,522,156.06,2.71
tf.compat.v1.assert_near,"* Incompatible shapes: [19,4,5,0] vs. [3,20,8,7] [Op:AddV2] name: assert_near/add/
* Cannot convert ""bFVHsK\x0c^3TXo\n^#eJ}\x0bV{Tdo|F'v1n);vp;gh&E82H3\nm"" to EagerTensor of dtype half
* values must be a sequence.
* Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b''
* assert_near() missing 2 required positional arguments: 'x' and 'y'",0,10,0.48,1000,485,157.93,2.35
tf.compat.v1.assert_negative,"* 
* []
* [64142 21702]
* i-}Q@{$=cAp<G/QodL] dN6Ach:5o[
* ~jS''cKY\a^d(xO@5a.S+JCG",0,103,0.52,988,518,144.62,98.76
tf.compat.v1.assert_non_negative,"* 
* 'numpy.uint32' object is not iterable
* Cannot convert 0 to EagerTensor of dtype string
* [[ 4583225290877361922 -8711328700566383698 -4925377566616199259
* [ 916399266  163586538 2318983683  832168107 3958347128  662723843",0,75,0.38,999,384,148.75,151.74
tf.compat.v1.assert_non_positive,"* [[  0  87 100  88 242  83]
* 
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* }k
* 7N)l=*TP2IeB* kngclBM7twD1K0|KqWJk&2GFr?,7	YNh,q?7o@LHYJ uAo}R9P9&xv!rP 15?]GJ9;pwXR5zycz5""dRNhUZ414Src[<",0,93,0.54,980,525,145.2,152.93
tf.compat.v1.assert_none_equal,"* cannot compute NotEqual as input #1(zero-based) was expected to be a int32 tensor but is a int64 tensor [Op:NotEqual]
* assert_none_equal() missing 2 required positional arguments: 'x' and 'y'
* Could not find valid device for node.",0,3,0.01,1000,13,175.85,0.01
tf.compat.v1.assert_positive,"* 
* [[False False  True False  True  True  True  True  True  True]
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* [[-10962  29409 -15062 -19365  25034  25759  11115  18408  21099]
* /",0,95,0.52,999,523,126.36,104.45
tf.compat.v1.assert_rank,"* .  Tensor  must have rank 2057148374.  Received rank 0, shape ()
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* )*Jrf$=Oa'rr./h}3^=I=\b1""Ag}_U'LCugw~0j6:AkA\Cvh<VE GQ`BKxxlynM'j%gX	1O9^{H^	YZn`1-s}JN[]eRZsC8|)f2BgaBl{L)4pW?d	2*D8+`XeL^:D{&FD^/1I|y{=O@$pVI8IU{OcXPi.Rp+]d0vy^%k,dS\+qvrQ*Py~}cw<iW	iZ'HF&""3Z~h'>UMBE[aPibJ""U?>wQIn
* Z=""(6{=s5\6_sdjBbhn)c_K)i3nD&_(W
* kz~",0,27,1.0,1000,1000,124.44,7.38
tf.compat.v1.assert_rank_at_least,"* .  Tensor  must have rank at least 578514687.  Received rank 0, shape ()
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* @	XB|<5J6*o/HO^7SyD(2z7!
* ?V#ef|+m\N=kwFd2)JB#=(
* E",0,116,0.51,1000,514,143.57,2.62
tf.compat.v1.assert_rank_in,"* 'numpy.int32' object is not iterable
* assert_rank_in() missing 2 required positional arguments: 'x' and 'ranks'",0,2,1.0,1000,1000,121.86,3.77
tf.compat.v1.assert_scalar,"* Expected scalar shape, saw shape: (20,).
* y 
* L=[W&uA$^Pvx^cxqwp	@U(P[KU`|5$jbU6jP1Fd\S
* 0E8IFX^aZJ~&OIp<RZ
* qIc.1b=",0,175,0.75,974,729,132.28,4.48
tf.compat.v1.assert_type,"*  tensor must be of type int64
* #vFY8u	|2Xk'`|xz`XWq~|>w%fqbMj}`
*  |NmhS8]
* `""l q27c>r'N`p$eVa$\!\'MY}a)$57^I6?b|TJZoud#xz;9FXas""?	\[f%^TNcI~}'5vDe{j/Ar_`T/cV>SJh'qK1ZHR`&bENTab*{j2$I?+9.c%l0x$t%@[awkPOMhVe02UGWVn$?zd-scj5""!1A'XY/_L;""~6;,c@D9}C#SY\X	/lG&,>z|t&ihfhe+M0{1^)I"",Wly(#A tensor must be of type int8
* GT,gcq4ic|/%L_su|P$E:H`""A",0,213,0.93,999,925,134.78,6.8
tf.compat.v1.assert_variables_initialized,"* 'numpy.uint32' object has no attribute 'op'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,2,0.97,489,475,116.33,1.22
tf.compat.v1.assign,"* 'str' object has no attribute 'dtype'
* assign() missing 2 required positional arguments: 'ref' and 'value'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,124.17,3.73
tf.compat.v1.assign_add,"* 'complex' object has no attribute 'dtype'
* assign_add() missing 2 required positional arguments: 'ref' and 'value'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,126.18,3.9
tf.compat.v1.assign_sub,"* 'complex' object has no attribute 'dtype'
* assign_sub() missing 2 required positional arguments: 'ref' and 'value'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,125.54,3.83
tf.compat.v1.autograph.to_code,"* cannot convert entity ""9881"": object conversion is not yet supported.
* cannot convert entity ""dEY%hvGI.t5doDR;\F+2#+4lf?;@q\j	,d]M^gsp qp=VnfW(Jx~@	TQb|'0\zy6=t%U4(R
* cannot convert entity ""T{zzE.SDy^83D>LPVhey&}xA
* cannot convert entity ""|._~(
* cannot convert entity ""1\q[!A|GnlH)Q#R-guL",0,40,1.0,1000,1000,126.78,6.38
tf.compat.v1.autograph.to_graph,"* cannot convert entity ""895192887"": object conversion is not yet supported.
* 'numpy.float16' object is not iterable
* cannot convert entity ""h
* cannot convert entity ""j35^q	O4WA`CSqxezco1%FZj8?0Ck'9Xl}p?W;F1o?D9.mJ=+?)Q6/M=	+(^hq8p6NSXc6linoT
* cannot convert entity ""'Q@aaO?yoqMF",0,46,1.0,998,998,127.09,6.99
tf.compat.v1.batch_to_space,"* batch_to_space() missing 3 required positional arguments: 'input', 'crops', and 'block_size'",0,1,1.0,1,1,N/A,N/A
tf.compat.v1.batch_to_space_nd,"* input rank should be >= 16 instead of 1 [Op:BatchToSpaceND]
* Could not find valid device for node.
* Input batch dimension (18) is not divisible by product of block sizes (1598113749)
* batch_to_space_nd() missing 3 required positional arguments: 'input', 'block_shape', and 'crops'
* input rank should be >= 20 instead of 1 [Op:BatchToSpaceND] name: ?Nbl2AU6iq)5Q&I	@C;x0zB3w'G*ra	=7-i",0,18,0.96,1000,961,129.7,8.72
tf.compat.v1.bincount,"* Cannot convert (243196368-17317622j) to EagerTensor of dtype int32
* data.shape = [9,3,11] does not start with segment_ids.shape = [14,0,14] [Op:UnsortedSegmentSum]
* Incompatible shapes: [14] vs. [15] [Op:Minimum]
* value is not a scalar
* UnsortedSegmentSum requires that indices' rank be less than or equal to data's rank.",88,23,0.87,997,871,999.93,16.84
tf.compat.v1.boolean_mask,"* Shapes () and (15, 5) are incompatible
* slice indices must be integers or None or have an __index__ method
* Shapes (20, 13, 7) and (5, 20, 5, 11) are incompatible
* Shapes (19, 3, 1, 18) and (17, 19, 16, 12) are incompatible
* Shapes (3, 7, 16) and (17, 5, 12, 2) are incompatible",0,35,0.99,1000,989,125.65,3.86
tf.compat.v1.case,"* fns must be a list, tuple, or dict
* case() missing 1 required positional argument: 'pred_fn_pairs'",0,2,1.0,1000,1000,120.54,3.91
tf.compat.v1.cond,"* cond(): true_fn argument required
* cond(): false_fn and fn2 may not be set simultaneously.
* true_fn must be callable.
* cond() missing 1 required positional argument: 'pred'",0,4,1.0,999,999,126.69,3.59
