API,Error messages,# timeout,# signal,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time,# dtype permutes,# valid permutes,valid permute ratio
torch.autograd.functional.jvp,"* bool value of Tensor with more than one value is ambiguous
* The inputs given to jvp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'int'>.
* only Tensors of floating point dtype can require gradients
* v has invalid size: should be torch.Size([10, 9, 16, 10]) but got torch.Size([17, 0, 20]).",0,0,4,1.0,11,11,36.54,0.01,1024,0,0.0
torch.autograd.functional.vhp,"* The inputs given to vhp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'str'>.
* only Tensors of floating point dtype can require gradients
* bool value of Tensor with more than one value is ambiguous
* The vector v can only be None if the input to the user-provided function is a single Tensor with a single element.",0,0,4,1.0,11,11,37.05,0.01,1024,0,0.0
torch.autograd.functional.vjp,"* 'Tensor' object is not callable
* The inputs given to vjp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'str'>.
* bool value of Tensor with more than one value is ambiguous
* only Tensors of floating point dtype can require gradients",0,0,4,1.0,11,11,34.92,0.01,1024,0,0.0
torch.autograd.grad,"* 'float' object is not iterable
* bool value of Tensor with more than one value is ambiguous
* only one element tensors can be converted to Python scalars
* Mismatch in shape: grad_output[0] has a shape of torch.Size([14, 4]) and output[0] has a shape of torch.Size([0, 17]).
* 'str' object has no attribute 'requires_grad'",0,0,5,1.0,11,11,613.45,0.01,16384,0,0.0
torch.autograd.gradcheck,"* gradcheck expects at least one input tensor to require gradient, but none of the them have requires_grad=True.",0,0,1,1.0,11,11,2430.88,0.01,65536,0,0.0
torch.autograd.gradgradcheck,"* 'Tensor' object is not callable
* gradcheck expects at least one input tensor to require gradient, but none of the them have requires_grad=True.",0,0,2,1.0,11,11,9674.99,0.01,262144,0,0.0
torch.autograd.profiler.load_nvprof,"* expected str, bytes or os.PathLike object, not Tensor",0,0,1,1.0,11,11,0.44,0.01,16,0,0.0
torch.baddbmm,"* baddbmm(): argument 'batch1' must be Tensor, not int
* baddbmm(): argument 'beta' must be Number, not NoneType",0,0,2,1.0,11,11,150.8,0.01,4096,0,0.0
torch.bartlett_window,"* bartlett_window() received an invalid combination of arguments - got (window_length=Tensor, device=NoneType, requires_grad=Tensor, layout=NoneType, periodic=NoneType, dtype=int, ), but expected one of:",0,0,1,1.0,11,11,137.79,0.01,4096,0,0.0
torch.bernoulli,"* ""bernoulli_tensor_cpu_p_"" not implemented for 'Char'
* bernoulli() received an invalid combination of arguments - got (out=int, input=Tensor, generator=Tensor, ), but expected one of:
* Expected p_in >= 0 && p_in <= 1 to be true, but got false.  (Could this error message be improved?  If so, please report an enhancement request to PyTorch.)",0,0,3,1.0,11,11,75.22,0.01,4096,0,0.0
torch.bincount,"* bincount(): argument 'input' must be Tensor, not str",0,0,1,1.0,11,11,64.07,0.01,4096,0,0.0
torch.bitwise_and,"* The size of tensor a (2) must match the size of tensor b (3) at non-singleton dimension 0
* ""bitwise_and_cpu"" not implemented for 'Float'
* bitwise_and() received an invalid combination of arguments - got (input=Tensor, out=float, other=Tensor, ), but expected one of:
* result type Float can't be cast to the desired output type Int",0,0,4,0.69,16,11,142.34,0.01,4096,0,0.0
torch.bitwise_not,"* expected dtype Float but got dtype Long
* bitwise_not(): argument 'input' must be Tensor, not float
* result type Double can't be cast to the desired output type Bool",0,0,3,0.83,18,15,25.07,0.01,256,0,0.0
torch.bitwise_or,"* The size of tensor a (0) must match the size of tensor b (13) at non-singleton dimension 2
* bitwise_or() received an invalid combination of arguments - got (input=int, out=NoneType, other=str, ), but expected one of:
* result type Float can't be cast to the desired output type Short",0,0,3,0.65,17,11,137.69,0.01,4096,0,0.0
torch.bitwise_xor,"* The size of tensor a (9) must match the size of tensor b (4) at non-singleton dimension 3
* ""bitwise_xor_cpu"" not implemented for 'Half'
* bitwise_xor() received an invalid combination of arguments - got (input=bool, out=NoneType, other=Tensor, ), but expected one of:
* result type Float can't be cast to the desired output type Long",0,0,4,0.65,17,11,147.54,0.01,4096,0,0.0
torch.blackman_window,"* blackman_window() received an invalid combination of arguments - got (window_length=Tensor, device=NoneType, requires_grad=Tensor, layout=Tensor, periodic=NoneType, dtype=NoneType, ), but expected one of:",0,0,1,1.0,11,11,160.85,0.01,4096,0,0.0
torch.bmm,"* Expected 3-dimensional tensor, but got 4-dimensional tensor for argument #1 'batch1' (while checking arguments for bmm)
* bmm(): argument 'input' must be Tensor, not float",0,0,2,1.0,11,11,79.96,0.01,4096,0,0.0
torch.broadcast_tensors,* broadcast_tensors() got an unexpected keyword argument '*tensors',0,0,1,1.0,11,11,0.41,0.01,16,0,0.0
torch.cartesian_prod,* cartesian_prod() got an unexpected keyword argument '*tensors',0,0,1,1.0,11,11,0.4,0.01,16,0,0.0
torch.cat,"* cat() received an invalid combination of arguments - got (tensors=Tensor, out=NoneType, dim=NoneType, ), but expected one of:",0,0,1,1.0,11,11,72.6,0.01,4096,0,0.0
torch.cdist,"* None is not a valid value for compute_mode
* tensor([[False],
* tensor([[[[ -435604642,   744961652,   892389302,  ..., -1336841912,
* tensor([[ 4919239681145695032,  4230890168323211883,  3148362768910768424,
* tensor([ 80, 103, 186, 135,  92,  47, 206, 218,  69, 209, 143,  36,  27, 250,",0,0,5,1.0,11,11,10.17,0.01,256,0,0.0
torch.ceil,"* ceil_vml_cpu not implemented for 'Half'
* ceil(): argument 'input' must be Tensor, not float
* result type Float can't be cast to the desired output type Bool
* expected dtype Half but got dtype Short
* expected dtype Int but got dtype Char",0,0,6,0.43,1002,435,1186.71,1.07,256,0,0.0
torch.chain_matmul,* chain_matmul() got an unexpected keyword argument '*matrices',0,0,1,1.0,11,11,0.59,0.01,16,0,0.0
torch.cholesky,"* cholesky(): argument 'input' must be Tensor, not float
* cholesky(): argument 'upper' must be bool, not Tensor",0,0,2,1.0,11,11,73.61,0.01,4096,0,0.0
torch.cholesky_inverse,"* cholesky_inverse(): argument 'upper' must be bool, not str",0,0,1,1.0,11,11,75.75,0.01,4096,0,0.0
torch.cholesky_solve,"* cholesky_solve(): argument 'upper' must be bool, not NoneType
* cholesky_solve(): argument 'input2' must be Tensor, not int",0,0,2,1.0,11,11,10.1,0.01,256,0,0.0
torch.chunk,"* chunk(): argument 'chunks' must be int, not Tensor",0,0,1,1.0,11,11,78.5,0.01,4096,0,0.0
torch.clamp,"* clamp(): argument 'min' must be Number, not Tensor
* clamp(): argument 'input' must be Tensor, not bool",0,0,2,1.0,11,11,10.63,0.01,256,0,0.0
torch.combinations,"* combinations(): argument 'r' must be int, not NoneType
* combinations(): argument 'input' must be Tensor, not bool",0,0,2,1.0,11,11,72.68,0.01,4096,0,0.0
torch.conj,"* ""conj_cpu"" not implemented for 'Bool'
* expected dtype Half but got dtype Int
* conj(): argument 'out' must be Tensor, not bool",0,0,3,0.72,32,23,15.81,0.01,256,0,0.0
torch.cos,"* cos_vml_cpu not implemented for 'Char'
* expected dtype Double but got dtype Long
* cos(): argument 'input' must be Tensor, not int",0,0,3,0.85,13,11,25.62,0.01,256,0,0.0
torch.cosh,"* ""cosh_cpu"" not implemented for 'Char'
* result type Float can't be cast to the desired output type Long
* cosh(): argument 'out' must be Tensor, not int
* expected dtype Double but got dtype Long",0,0,4,0.9,39,35,5.85,0.01,256,0,0.0
torch.cross,"* inconsistent tensors dimensions input: 2 other: 3
* cross(): argument 'input' must be Tensor, not str
* inconsistent tensors sizes input: [5, 16] other: [1, 15]",0,0,3,1.0,11,11,9.66,0.01,256,0,0.0
torch.cuda.comm.broadcast,* _broadcast(): incompatible function arguments. The following argument types are supported:,0,0,1,0.79,14,11,37.83,0.01,256,0,0.0
torch.cuda.comm.broadcast_coalesced,* _broadcast_coalesced(): incompatible function arguments. The following argument types are supported:,0,0,1,0.39,28,11,297.13,0.01,4096,0,0.0
torch.cuda.comm.gather,* _gather(): incompatible function arguments. The following argument types are supported:,0,0,1,0.32,34,11,354.23,0.01,4096,0,0.0
torch.cuda.comm.reduce_add,"* reduce_add expects all inputs to be on GPUs
* 
* 'str' object has no attribute 'size'",0,0,3,1.0,11,11,4.91,0.01,256,0,0.0
torch.cuda.comm.scatter,* _scatter(): incompatible function arguments. The following argument types are supported:,0,0,1,1.0,11,11,68.62,0.01,1024,0,0.0
torch.cuda.current_stream,* ,0,0,1,1.0,3,3,0.42,0.01,16,0,0.0
torch.cuda.default_stream,* ,0,0,1,1.0,5,5,0.4,0.0,16,0,0.0
torch.cuda.get_device_capability,* ,0,0,1,1.0,9,9,0.54,0.02,16,0,0.0
torch.cuda.get_device_name,* ,0,0,1,1.0,8,8,0.53,0.01,16,0,0.0
torch.cuda.get_rng_state,* ,0,0,1,1.0,7,7,0.51,0.01,16,0,0.0
torch.cuda.manual_seed,"* invalid literal for int() with base 10: '+{ ??Eu+[l/\tsgL9|9%/x1;23H5Vljx\x0b|A\tSj39Wtz*e`JUApDgi5VB#$87ZY:fh6Hx8U\\nT,1~sh2VXs_\rtN6CR\r]Qn0D\t\nFDM\tMi$n;e;1&q\'(YgE""sq!:-,9 NFMp$!3dQ\r#I>D_9Z0qE#}2X^H.g""iUqlKt\n|g""jf:\x0c$[Z.H]RDt8n\x0b
* only one element tensors can be converted to Python scalars",0,0,2,0.76,95,72,2.32,0.05,16,0,0.0
torch.cuda.manual_seed_all,"* invalid literal for int() with base 10: 'EL*W}Ry\r4Vn!T\rEe\ra{""9mc1R(Ru\nnNR/j!1m|mzu9Z(3P0}\\Ld3e=]mgw\'k> zs7O\x0c\\V-t4cz(PLL]Y-xi\x0b@Kk8_`*ojRJ+\'""E#5\\!|{R{3VjQWS<*pm~\x0b;\nG4eUxa\rqe0k][?5pF{@8aX<+#0Z""[u3wc=TgW\n\\mQEGj`F.,dD+-mF\'
* only one element tensors can be converted to Python scalars",0,0,2,0.68,19,13,0.61,0.01,16,0,0.0
torch.cuda.max_memory_allocated,"* 
* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: >&0W_R@M\%),
* invalid argument to memory_allocated",0,0,3,1.0,7,7,0.45,0.02,16,0,0.0
torch.cuda.max_memory_reserved,"* invalid argument to memory_allocated
* ",0,0,2,1.0,6,6,0.61,0.01,16,0,0.0
torch.cuda.memory_allocated,"* 
* invalid argument to memory_allocated
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.",0,0,3,1.0,7,7,0.47,0.01,16,0,0.0
torch.cuda.memory_reserved,"* 
* invalid argument to memory_allocated",0,0,2,1.0,7,7,0.53,0.01,16,0,0.0
torch.cuda.memory_stats,"* 
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.
* invalid argument to memory_allocated",0,0,3,1.0,8,8,0.54,0.01,16,0,0.0
torch.cuda.memory_summary,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: lJ,[03qT+@3""]s5G(kU@sieZB?AT^Ob^y.RdBc?hL0M4PBl{?w;o#o|~nVj_5P, ?'jkQl(,;-w#68IrxSPeVqw`y
* 
* invalid argument to memory_allocated",0,0,3,1.0,10,10,4.45,0.01,256,0,0.0
torch.cuda.nvtx.mark,* markA(): incompatible function arguments. The following argument types are supported:,0,0,1,1.0,11,11,0.55,0.01,16,0,0.0
torch.cuda.nvtx.range_push,* rangePushA(): incompatible function arguments. The following argument types are supported:,0,0,1,0.93,15,14,0.8,0.01,16,0,0.0
torch.cuda.reset_max_memory_allocated,"* 
* invalid argument to reset_peak_memory_stats
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.",0,0,3,1.0,10,10,0.49,0.01,16,0,0.0
torch.cuda.reset_max_memory_cached,"* invalid argument to reset_peak_memory_stats
* ",0,0,2,1.0,4,4,0.45,0.01,16,0,0.0
torch.cuda.set_device,"* ""ge_cpu"" not implemented for 'Half'
* bool value of Tensor with more than one value is ambiguous
* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: [RGBS0>U_$cW\%z12h",0,0,3,1.0,11,11,0.66,0.01,16,0,0.0
torch.cuda.set_rng_state,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: AL+cN#rwB()8n^Pd`~.""a1LXC
* Device index must be -1 or non-negative, got -25753
* 'int' object has no attribute 'clone'
* Device(): argument 'index' (position 2) must be int, not bool
* Device index must not be negative",0,0,5,0.33,993,325,198.71,0.61,N/A,N/A,N/A
torch.cuda.synchronize,* ,0,0,1,1.0,7,7,0.41,0.01,16,0,0.0
torch.cummax,"* cummax() received an invalid combination of arguments - got (input=Tensor, out=Tensor, dim=int, ), but expected one of:
* Dimension out of range (expected to be in range of [-4, 3], but got -2334139002673751438)",0,0,2,1.0,11,11,69.92,0.01,4096,0,0.0
torch.cummin,"* cummin() received an invalid combination of arguments - got (input=Tensor, out=Tensor, dim=Tensor, ), but expected one of:",0,0,1,1.0,11,11,73.66,0.01,4096,0,0.0
torch.cumprod,"* Dimension out of range (expected to be in range of [-2, 1], but got 240)
* cumprod() received an invalid combination of arguments - got (dim=int, input=float, dtype=int, out=Tensor, ), but expected one of:",0,0,2,1.0,1001,997,80.81,8.65,256,0,0.0
torch.cumsum,"* cumsum() received an invalid combination of arguments - got (dim=str, input=Tensor, dtype=float, out=NoneType, ), but expected one of:",0,0,1,1.0,11,11,8.83,0.01,256,0,0.0
torch.det,"* A must be batches of square matrices, but they are 18 by 4 matrices
* det(): argument 'input' must be Tensor, not int
* Dimension out of range (expected to be in range of [-1, 0], but got -2)",0,0,3,1.0,11,11,0.56,0.01,16,0,0.0
torch.diag,"* diag(): argument 'diagonal' must be int, not Tensor
* The tensor has a non-zero number of elements, but its data is not allocated yet. Caffe2 uses a lazy allocation, so you will need to call mutable_data() or raw_mutable_data() to actually allocate memory.
* diag(): argument 'input' must be Tensor, not float",0,0,3,0.69,16,11,109.13,0.01,4096,0,0.0
torch.diag_embed,"* diag_embed(): argument 'input' must be Tensor, not int
* diag_embed(): argument 'offset' must be int, not Tensor",0,0,2,1.0,11,11,8.21,0.01,256,0,0.0
torch.diagflat,"* diagflat(): argument 'offset' must be int, not NoneType
* [enforce fail at CPUAllocator.cpp:64] . DefaultCPUAllocator: can't allocate memory: you tried to allocate 165139134602683609 bytes. Error code 12 (Cannot allocate memory)
* diagflat(): argument 'input' must be Tensor, not int",0,0,3,0.73,15,11,45.27,0.01,256,0,0.0
torch.diagonal,"* diagonal() received an invalid combination of arguments - got (input=float, offset=NoneType, dim2=NoneType, dim1=NoneType, ), but expected one of:",0,0,1,1.0,11,11,8.75,0.01,256,0,0.0
torch.digamma,"* ""digamma"" not implemented for 'Long'
* digamma(): argument 'out' must be Tensor, not float
* result type Half can't be cast to the desired output type Short
* expected dtype Short but got dtype Char
* expected dtype Half but got dtype Byte",0,0,5,0.89,19,17,15.28,0.01,256,0,0.0
torch.dist,"* dist(): argument 'input' must be Tensor, not int
* dist(): argument 'p' must be Number, not NoneType",0,0,2,1.0,11,11,66.03,0.01,4096,0,0.0
torch.distributed.all_gather,* Invalid function argument. Expected parameter `tensor_list` to be of type List[torch.Tensor].,0,0,1,1.0,11,11,7.31,0.01,256,0,0.0
torch.distributed.all_gather_multigpu,* 'NoneType' object has no attribute 'allgather',0,0,1,1.0,11,11,8.41,0.01,256,0,0.0
torch.distributed.all_reduce,"* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* (): incompatible function arguments. The following argument types are supported:",0,0,2,1.0,11,11,8.1,0.01,256,0,0.0
torch.distributed.barrier,"* 'Tensor' object has no attribute 'barrier'
* Default process group is not initialized",0,0,2,1.0,11,11,3.88,0.01,256,0,0.0
torch.distributed.broadcast,"* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* (): incompatible function arguments. The following argument types are supported:
* The given group does not exist",0,0,3,0.92,12,11,19.9,0.01,256,0,0.0
torch.distributed.broadcast_multigpu,* (): incompatible function arguments. The following argument types are supported:,0,0,1,1.0,11,11,45.58,0.01,1024,0,0.0
torch.distributed.gather,"* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* Default process group is not initialized
* bool value of Tensor with more than one value is ambiguous",0,0,3,1.0,11,11,35.08,0.02,1024,0,0.0
torch.distributed.init_process_group,* Expected timeout argument to be of typedatetime.timedelta,0,0,1,1.0,11,11,130.25,0.01,4096,0,0.0
torch.distributed.irecv,"* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* The given group does not exist",0,0,2,1.0,11,11,8.43,0.01,256,0,0.0
torch.distributed.isend,"* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* The given group does not exist",0,0,2,1.0,11,11,9.41,0.01,256,0,0.0
torch.distributed.new_group,* Default process group is not initialized,0,0,1,1.0,11,11,63.45,0.01,4096,0,0.0
torch.distributed.recv,"* 'NoneType' object has no attribute 'recv_anysource'
* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* The given group does not exist",0,0,3,1.0,11,11,8.61,0.01,256,0,0.0
torch.distributed.reduce,"* (): incompatible function arguments. The following argument types are supported:
* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.",0,0,2,0.92,12,11,46.24,0.01,1024,0,0.0
torch.distributed.reduce_multigpu,* (): incompatible function arguments. The following argument types are supported:,0,0,1,1.0,11,11,154.94,0.01,4096,0,0.0
torch.distributed.scatter,"* bool value of Tensor with more than one value is ambiguous
* Invalid function argument. Expected parameter `scatter_list` to be of type List[torch.Tensor].
* Default process group is not initialized",0,0,3,1.0,11,11,31.97,0.01,1024,0,0.0
torch.distributed.send,"* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* The given group does not exist",0,0,2,1.0,11,11,8.02,0.01,256,0,0.0
torch.div,"* The size of tensor a (15) must match the size of tensor b (0) at non-singleton dimension 2
* result type Float can't be cast to the desired output type Int
* div(): argument 'other' must be Tensor, not str
* ZeroDivisionError
* ""div_cpu"" not implemented for 'Half'",0,0,5,0.55,146,81,317.7,0.05,4096,0,0.0
torch.div2,"* result type Double can't be cast to the desired output type Long
* div(): argument 'input' must be Tensor, not str
* The size of tensor a (20) must match the size of tensor b (0) at non-singleton dimension 1
* ZeroDivisionError",0,0,4,0.56,50,28,258.98,0.01,4096,0,0.0
torch.eig,"* eig(): argument 'eigenvectors' must be bool, not NoneType",0,0,1,1.0,11,11,80.69,0.01,4096,0,0.0
torch.einsum,* einsum() got an unexpected keyword argument '*operands',0,0,1,1.0,11,11,5.05,0.01,256,0,0.0
torch.empty_like,"* empty_like(): argument 'memory_format' must be torch.memory_format, not Tensor",0,0,1,1.0,11,11,165.01,0.01,4096,0,0.0
torch.empty_strided,"* empty_strided(): argument 'size' must be tuple of ints, not Tensor",0,0,1,1.0,11,11,743.03,0.01,16384,0,0.0
torch.eq,"* The size of tensor a (3) must match the size of tensor b (20) at non-singleton dimension 0
* eq() received an invalid combination of arguments - got (input=Tensor, out=NoneType, other=str, ), but expected one of:",0,0,2,0.58,19,11,162.36,0.01,4096,0,0.0
torch.erf,"* erf(): argument 'input' must be Tensor, not str
* erf_vml_cpu not implemented for 'Long'
* result type Float can't be cast to the desired output type Long
* expected dtype Float but got dtype Byte
* expected dtype Half but got dtype Char",0,0,5,0.79,14,11,26.54,0.01,256,0,0.0
torch.erfc,"* erfc_vml_cpu not implemented for 'Half'
* erfc(): argument 'input' must be Tensor, not str
* result type Double can't be cast to the desired output type Char
* expected dtype Short but got dtype Char
* expected dtype Half but got dtype Long",0,0,5,0.79,14,11,35.94,0.01,256,0,0.0
torch.erfinv,"* erfinv_vml_cpu not implemented for 'Byte'
* erfinv(): argument 'out' must be Tensor, not str
* result type Float can't be cast to the desired output type Byte
* expected dtype Double but got dtype Char
* expected dtype Half but got dtype Short",0,0,5,0.82,38,31,6.41,0.01,256,0,0.0
torch.exp,"* exp_vml_cpu not implemented for 'Half'
* expected dtype Char but got dtype Bool
* exp(): argument 'input' must be Tensor, not int",0,0,3,0.92,12,11,15.93,0.01,256,0,0.0
torch.expm1,"* expm1_vml_cpu not implemented for 'Int'
* expected dtype Int but got dtype Short
* expm1(): argument 'input' must be Tensor, not int
* expected dtype Float but got dtype Half",0,0,4,0.95,20,19,6.17,0.01,256,0,0.0
torch.eye,"* eye() received an invalid combination of arguments - got (device=Tensor, requires_grad=NoneType, m=int, layout=Tensor, n=Tensor, dtype=float, out=NoneType, ), but expected one of:",0,0,1,1.0,11,11,608.01,0.01,16384,0,0.0
torch.fft,"* fft(): argument 'signal_ndim' must be int, not str
* fft(): argument 'input' must be Tensor, not int
* fft(): argument 'normalized' must be bool, not NoneType",0,0,3,1.0,11,11,75.82,0.01,4096,0,0.0
torch.flatten,"* flatten() received an invalid combination of arguments - got (input=Tensor, end_dim=Tensor, start_dim=NoneType, ), but expected one of:",0,0,1,1.0,11,11,75.16,0.01,4096,0,0.0
torch.flip,"* flip(): argument 'dims' must be tuple of ints, not Tensor
* flip(): argument 'input' must be Tensor, not float",0,0,2,1.0,11,11,4.86,0.01,256,0,0.0
torch.floor,"* floor_vml_cpu not implemented for 'Long'
* expected dtype Short but got dtype Byte
* result type Float can't be cast to the desired output type Bool
* floor(): argument 'input' must be Tensor, not float
* expected dtype Long but got dtype Int",0,0,6,0.62,1000,619,841.52,1.87,256,0,0.0
torch.floor_divide,"* result type Float can't be cast to the desired output type Short
* The size of tensor a (3) must match the size of tensor b (8) at non-singleton dimension 3
* floor_divide(): argument 'other' must be Tensor, not str
* ""div_cpu"" not implemented for 'Half'",0,0,4,0.5,42,21,234.4,0.01,4096,0,0.0
