API,Error messages,# timeout,# signal,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time
torch.argmax,"* ""argmax_cpu"" not implemented for 'Half'
* cannot perform reduction function argmax on a tensor with no elements because the operation does not have an identity
* argmax(): argument 'input' must be Tensor, not int",0,0,3,0.46,984,449,93.28,1.13
torch.argmax2,"* argmax(): argument 'input' must be Tensor, not int",0,0,1,1.0,1000,1000,34.41,5.49
torch.argmin,"* ""argmin_cpu"" not implemented for 'Half'
* cannot perform reduction function argmin on a tensor with no elements because the operation does not have an identity
* argmin(): argument 'input' must be Tensor, not str",0,0,3,0.47,981,464,157.19,1.43
torch.argmin2,"* argmin(): argument 'dim' must be int, not Tensor",0,0,1,1.0,1000,1000,36.3,5.11
torch.argsort,"* argsort() received an invalid combination of arguments - got (input=Tensor, descending=Tensor, dim=Tensor, ), but expected one of:
* argsort: You passed a dimname (string) to this op in place of a dimension index but it does not yet support this behavior. Please pass a dimension index to work around this.",0,0,2,1.0,1000,1000,32.52,11.31
torch.as_strided,"* as_strided(): argument 'input' must be Tensor, not str
* as_strided(): argument 'size' must be tuple of ints, not Tensor",0,0,2,1.0,1000,1000,41.26,5.51
torch.as_tensor,"* as_tensor(): argument 'device' must be torch.device, not Tensor
* ",0,0,2,0.02,922,15,106.28,0.01
torch.asin,"* asin(): argument 'input' must be Tensor, not float
* asin_vml_cpu not implemented for 'Half'
* result type Float can't be cast to the desired output type Int
* expected dtype Long but got dtype Short
* expected dtype Double but got dtype Float",0,0,5,0.23,989,225,368.66,0.28
torch.atan,"* atan_vml_cpu not implemented for 'Short'
* expected dtype Double but got dtype Float
* atan(): argument 'input' must be Tensor, not float
* result type Double can't be cast to the desired output type Long
* expected dtype Char but got dtype Bool",0,0,6,0.24,986,241,854.75,0.35
torch.atan2,"* atan2(): argument 'other' must be Tensor, not bool
* The size of tensor a (2) must match the size of tensor b (15) at non-singleton dimension 3
* ""atan2_cpu"" not implemented for 'Char'",0,0,3,0.96,1000,960,50.72,5.46
torch.autograd.backward,"* unsigned byte integer is less than minimum
* Mismatch in shape: grad_output[0] has a shape of torch.Size([5, 7]) and output[0] has a shape of torch.Size([17, 18, 7]).
* 'str' object has no attribute 'shape'
* 'float' object is not iterable
* an integer is required (got type NoneType)",0,0,10,1.0,999,999,32.94,5.85
torch.autograd.functional.hessian,"* bool value of Tensor with more than one value is ambiguous
* 'Tensor' object is not callable
* The inputs given to hessian must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'int'>.
* only Tensors of floating point dtype can require gradients",0,0,4,1.0,1000,1000,33.98,6.19
torch.autograd.functional.hvp,"* v has invalid size: should be torch.Size([13, 7, 2, 12]) but got torch.Size([5]).
* bool value of Tensor with more than one value is ambiguous
* only Tensors of floating point dtype can require gradients
* 'Tensor' object is not callable
* The inputs given to hvp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'int'>.",0,0,7,1.0,1000,1000,39.07,6.61
torch.autograd.functional.jacobian,"* bool value of Tensor with no values is ambiguous
* 'Tensor' object is not callable
* The inputs given to jacobian must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'str'>.
* only Tensors of floating point dtype can require gradients",0,0,4,1.0,1000,1000,37.01,6.03
torch.autograd.functional.jvp,"* v has invalid size: should be torch.Size([9, 10, 2]) but got torch.Size([9, 3, 2, 3]).
* bool value of Tensor with more than one value is ambiguous
* The vector v can only be None if the input to the user-provided function is a single Tensor with a single element.
* 'Tensor' object is not callable
* The inputs given to jvp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'str'>.",0,0,6,1.0,1000,1000,38.96,5.98
torch.autograd.functional.vhp,"* v has invalid size: should be torch.Size([2, 1]) but got torch.Size([10, 13, 0, 8]).
* bool value of Tensor with more than one value is ambiguous
* only Tensors of floating point dtype can require gradients
* 'Tensor' object is not callable
* The inputs given to vhp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'int'>.",0,0,7,1.0,1000,1000,36.67,7.22
torch.autograd.functional.vjp,"* bool value of Tensor with more than one value is ambiguous
* 'Tensor' object is not callable
* only Tensors of floating point dtype can require gradients
* The inputs given to vjp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'int'>.",0,0,4,1.0,1000,1000,36.45,6.09
torch.autograd.grad,"* unsigned byte integer is greater than maximum
* Mismatch in shape: grad_output[0] has a shape of torch.Size([1, 15, 14, 4]) and output[0] has a shape of torch.Size([7, 18, 8]).
* 'int' object is not iterable
* bool value of Tensor with more than one value is ambiguous
* only one element tensors can be converted to Python scalars",0,0,9,1.0,1000,1000,40.31,5.53
torch.autograd.gradcheck,"* gradcheck expects at least one input tensor to require gradient, but none of the them have requires_grad=True.",0,0,1,1.0,1000,1000,40.53,6.53
torch.autograd.gradgradcheck,"* 'str' object is not callable
* gradcheck expects at least one input tensor to require gradient, but none of the them have requires_grad=True.",0,0,2,1.0,1000,1000,43.75,4.81
torch.autograd.profiler.load_nvprof,"* expected str, bytes or os.PathLike object, not Tensor
* no such table: StringTable
* unable to open database file",0,0,3,1.0,981,981,18.29,4.6
torch.baddbmm,"* The expanded size of the tensor (13) must match the existing size (3) at non-singleton dimension 2.  Target sizes: [17, 18, 13].  Tensor sizes: [3]
* Dimension out of range (expected to be in range of [-1, 0], but got 2)
* baddbmm(): argument 'beta' must be Number, not NoneType",0,0,3,1.0,1000,1000,39.95,5.1
torch.bartlett_window,"* bartlett_window() received an invalid combination of arguments - got (window_length=int, device=NoneType, requires_grad=NoneType, layout=Tensor, periodic=Tensor, dtype=Tensor, ), but expected one of:",0,0,1,1.0,1000,1000,33.29,7.74
torch.bernoulli,"* ""bernoulli_tensor_cpu_p_"" not implemented for 'Char'
* bernoulli() received an invalid combination of arguments - got (out=Tensor, input=float, generator=NoneType, ), but expected one of:
* Expected p_in >= 0 && p_in <= 1 to be true, but got false.  (Could this error message be improved?  If so, please report an enhancement request to PyTorch.)",0,0,3,0.92,993,913,41.34,8.58
torch.bincount,"* bincount(): argument 'input' must be Tensor, not int
* ""bincount_cpu"" not implemented for 'Double'
* minlength should be >= 0
* bincount only supports 1-d non-negative integral inputs.",0,0,4,1.0,999,999,28.35,4.67
torch.bitwise_and,"* ""bitwise_and_cpu"" not implemented for 'Double'
* The size of tensor a (4) must match the size of tensor b (15) at non-singleton dimension 3
* bitwise_and() received an invalid combination of arguments - got (input=int, out=NoneType, other=Tensor, ), but expected one of:
* result type Float can't be cast to the desired output type Int",0,0,4,0.81,1000,815,95.55,5.42
torch.bitwise_not,"* ""bitwise_not_cpu"" not implemented for 'Double'
* expected dtype Char but got dtype Bool
* result type Half can't be cast to the desired output type Char
* bitwise_not(): argument 'input' must be Tensor, not int
* expected dtype Float but got dtype Short",0,0,5,0.2,992,195,248.66,0.2
torch.bitwise_or,"* ""bitwise_or_cpu"" not implemented for 'Double'
* result type Long can't be cast to the desired output type Bool
* bitwise_or() received an invalid combination of arguments - got (input=Tensor, out=int, other=Tensor, ), but expected one of:
* The size of tensor a (16) must match the size of tensor b (19) at non-singleton dimension 3",0,0,4,0.83,1000,834,124.09,5.82
torch.bitwise_xor,"* bitwise_xor() received an invalid combination of arguments - got (input=int, out=NoneType, other=Tensor, ), but expected one of:
* The size of tensor a (2) must match the size of tensor b (7) at non-singleton dimension 1",0,0,2,0.8,1000,801,126.72,5.3
torch.blackman_window,"* blackman_window() received an invalid combination of arguments - got (window_length=Tensor, device=Tensor, requires_grad=NoneType, layout=Tensor, periodic=Tensor, dtype=NoneType, ), but expected one of:",0,0,1,1.0,1000,1000,32.24,7.61
torch.bmm,"* Expected 3-dimensional tensor, but got 2-dimensional tensor for argument #1 'batch1' (while checking arguments for bmm)
* bmm(): argument 'mat2' must be Tensor, not int",0,0,2,1.0,1000,1000,30.14,4.68
torch.broadcast_tensors,* broadcast_tensors() got an unexpected keyword argument '*tensors',0,0,1,1.0,983,983,18.38,4.72
torch.cartesian_prod,* cartesian_prod() got an unexpected keyword argument '*tensors',0,0,1,1.0,977,977,23.39,5.32
torch.cat,"* cat() received an invalid combination of arguments - got (tensors=str, out=NoneType, dim=NoneType, ), but expected one of:",0,0,1,1.0,997,997,32.18,11.06
torch.cdist,"* None is not a valid value for compute_mode
* tensor([[[False,  True, False, False],
* %
* tensor([[[-3.4896e+18,  3.5430e+18, -3.2605e+18,  ...,  1.9782e+18,
* tensor([[ -5784.0000, -24480.0000,  11984.0000,  19184.0000,  26176.0000,",0,0,320,1.0,1000,1000,41.04,6.84
torch.ceil,"* ceil_vml_cpu not implemented for 'Long'
* result type Double can't be cast to the desired output type Char
* ceil(): argument 'input' must be Tensor, not float",0,0,3,0.23,985,228,1456.09,0.3
torch.chain_matmul,* chain_matmul() got an unexpected keyword argument '*matrices',0,0,1,1.0,986,986,21.96,5.08
torch.cholesky,"* cholesky(): argument 'upper' must be bool, not NoneType
* ""cholesky_cpu"" not implemented for 'Short'",0,0,2,1.0,999,999,31.38,5.35
torch.cholesky_inverse,"* _th_potri_out not supported on CPUType for Half
* cholesky_inverse(): argument 'upper' must be bool, not Tensor
* Expected object of scalar type Float but got scalar type Half for argument #0 'output' in call to _th_potri_out",0,0,3,1.0,1000,1000,30.73,5.59
torch.cholesky_solve,"* cholesky_solve(): argument 'upper' must be bool, not Tensor
* b should have at least 2 dimensions, but has 1 dimensions instead
* Dimension out of range (expected to be in range of [-1, 0], but got -2)
* A must be batches of square matrices, but they are 18 by 15 matrices",0,0,4,1.0,1000,1000,38.7,5.58
torch.chunk,"* chunk(): argument 'chunks' must be int, not Tensor
* Dimension out of range (expected to be in range of [-3, 2], but got 63)
* chunk expects `chunks` to be greater than 0, got: -759",0,0,3,1.0,1000,1000,32.68,5.5
torch.clamp,"* clamp(): argument 'input' must be Tensor, not float",0,0,1,0.96,1000,962,44.39,4.94
torch.combinations,"* combinations(): argument 'r' must be int, not NoneType",0,0,1,1.0,996,996,30.35,5.47
torch.conj,"* ""conj_cpu"" not implemented for 'Half'
* result type Float can't be cast to the desired output type Char
* expected dtype Half but got dtype Int
* conj(): argument 'input' must be Tensor, not int",0,0,4,0.23,992,226,294.12,0.19
torch.cos,"* cos_vml_cpu not implemented for 'Short'
* expected dtype Long but got dtype Byte
* cos(): argument 'input' must be Tensor, not float
* expected dtype Double but got dtype Char",0,0,4,0.22,984,215,413.34,0.23
torch.cosh,"* ""cosh_cpu"" not implemented for 'Short'
* result type Float can't be cast to the desired output type Long
* cosh(): argument 'input' must be Tensor, not float
* expected dtype Long but got dtype Char
* expected dtype Short but got dtype Byte",0,0,6,0.28,993,280,234.29,0.46
torch.cross,"* inconsistent tensors sizes input: [11, 3, 6, 13] other: [3, 20, 2, 3]
* inconsistent tensors sizes input: [17, 5] other: [13, 15]
* inconsistent tensors sizes input: [12, 19, 18, 13] other: [19, 12, 0, 5]
* inconsistent tensors sizes input: [6, 13, 5, 20] other: [4, 4, 10, 10]
* inconsistent tensors sizes input: [1, 6, 17, 8] other: [15, 20, 7, 18]",0,0,31,1.0,1000,1000,39.26,5.22
torch.cuda.comm.broadcast,* _broadcast(): incompatible function arguments. The following argument types are supported:,0,0,1,1.0,1000,999,50.71,9.84
torch.cuda.comm.broadcast_coalesced,* _broadcast_coalesced(): incompatible function arguments. The following argument types are supported:,0,0,1,1.0,1000,997,75.83,8.84
torch.cuda.comm.gather,* _gather(): incompatible function arguments. The following argument types are supported:,0,0,1,1.0,999,996,70.94,9.61
torch.cuda.comm.reduce_add,"* 'float' object is not subscriptable
* reduce_add expects all inputs to be on GPUs
* 
* index 0 is out of bounds for dimension 0 with size 0
* 'str' object has no attribute 'size'",0,0,6,1.0,995,995,25.48,6.62
torch.cuda.comm.scatter,* _scatter(): incompatible function arguments. The following argument types are supported:,0,0,1,0.99,1000,987,192.51,8.85
torch.cuda.current_stream,* ,0,0,1,1.0,497,497,19.42,2.39
torch.cuda.default_stream,* ,0,0,1,1.0,483,483,18.05,2.06
torch.cuda.get_device_capability,* ,0,0,1,1.0,521,521,17.75,2.66
torch.cuda.get_device_name,* ,0,0,1,1.0,483,483,18.51,2.2
torch.cuda.get_rng_state,* ,0,0,1,1.0,478,478,19.15,2.19
torch.cuda.manual_seed,"* invalid literal for int() with base 10: 'y1~Y<v8^ScrtK/z/7tq?eQ%=I8RtodF#y2)R\x0bp;kTDKLEr7(Jan\ruS\nLuX]ziK:r&u-1Y^Vm2UI_XwFY~u%&P\\\x0bFu2Pg.qWf `pLi=vmDTn&>j6`\'~i""{$A\tQE@h]g0@~C_!TDg@m8:BG:^)\rlao[Ewj*}*XDMuZv(#\n!jo\\pV@'
* only one element tensors can be converted to Python scalars",0,0,2,0.79,989,784,31.49,3.99
torch.cuda.manual_seed_all,"* only one element tensors can be converted to Python scalars
* invalid literal for int() with base 10: 'vdwPA->ZeSMFBJK/0{vB@d}(/3)ZVpmz88rpSd""G,0k2w\r3]M:OL;g?]?\\%\x0be% MS<rBNFTnR%^YRImGW$\x0bl07]TaFgW GiI!E|;n0QyYJ9ibxJCS)F""s9zf$,""@v+V}\n F&MHKL}o4ORm})w~\'>cR(}na7*tZIu8k23FQQtoKp9G-U\n%wm\n+LG\t3-
* invalid literal for int() with base 10: 'zU\n`\r[:_> h2i\rDnE@U\r4\x0b\'8\\vB/-n=73x#Z\tN[iX@a_-O\r[O(X10\\T)\x0bK`K9zPp(_@B}FP0(rAM7eFi]!!!-;5nOyw1!AD*WyCTCyJ`3#3E6/~?US!j`\x0ce%`\\] ={A)$\\lF}\x0c?wzo#rju{},}\tX-?0P*v2cQ; ,{I`\n ; 6-\tssH",0,0,3,0.85,936,793,26.76,4.05
torch.cuda.max_memory_allocated,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: r	qB49VAz$xHpehJIFyMq(^nn-Q?)a.N=_lT<
* 
* invalid argument to memory_allocated
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.",0,0,4,1.0,478,478,18.77,1.25
torch.cuda.max_memory_reserved,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: %Vkm~	R|Ir%M*Pc
* 
* invalid argument to memory_allocated
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.",0,0,4,1.0,486,486,18.72,1.36
torch.cuda.memory_allocated,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: 4b9h-%zRx6qMx
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.
* 
* Device string must not be empty
* invalid argument to memory_allocated",0,0,5,1.0,488,488,18.48,1.37
torch.cuda.memory_reserved,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: 2
* 
* invalid argument to memory_allocated
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.",0,0,4,1.0,486,486,17.8,1.33
torch.cuda.memory_stats,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: fc
* 
* invalid argument to memory_allocated
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.",0,0,4,1.0,497,497,19.07,1.33
torch.cuda.memory_summary,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: T~bN-?
* invalid argument to memory_allocated
* 
* Device string must not be empty
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.",0,0,5,1.0,737,737,21.05,3.72
torch.cuda.nvtx.mark,* markA(): incompatible function arguments. The following argument types are supported:,0,0,1,0.01,1000,12,33.58,0.01
torch.cuda.nvtx.range_push,* rangePushA(): incompatible function arguments. The following argument types are supported:,0,0,1,0.02,1000,21,33.65,0.02
torch.cuda.reset_max_memory_allocated,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: +1Jfx` RQnJZiRwv'oY"")7](,
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.
* 
* Device string must not be empty
* invalid argument to reset_peak_memory_stats",0,0,5,1.0,488,488,18.87,1.33
torch.cuda.reset_max_memory_cached,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: i;<YI6T[r(q>oytiVh,B~dzRt^F=U&Fr'
* 
* invalid argument to reset_peak_memory_stats
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.",0,0,4,1.0,503,503,19.78,1.56
torch.cuda.set_device,"* bool value of Tensor with more than one value is ambiguous
* ""ge_cpu"" not implemented for 'Half'
* invalid argument to setDevice
* 
* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: @Kw]R;2=(!1UFFm",0,0,5,0.91,974,889,231.86,5.09
torch.cuda.set_rng_state,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: yT*,kT@&7EP""
* Device index must be -1 or non-negative, got -1247
* 'str' object has no attribute 'clone'
* Device(): argument 'index' (position 2) must be int, not bool
* Device index must not be negative",0,0,5,0.28,993,274,198.01,0.47
torch.cuda.synchronize,* ,0,0,1,1.0,536,536,16.47,2.42
torch.cummax,"* Dimension out of range (expected to be in range of [-1, 0], but got 46)
* cummax() received an invalid combination of arguments - got (input=Tensor, out=NoneType, dim=Tensor, ), but expected one of:",0,0,2,0.98,1000,983,27.08,7.88
torch.cummin,"* Dimension out of range (expected to be in range of [-3, 2], but got 123)
* Invalid name: a valid identifier must contain alphabetical characters and/or underscore, got: 'q@d:G:v0I?l\lltZ P>HN3-~BfZ/b*N	Z)EiEW~`JA8jb{]+$IE6eJS	>D|E-eHU9
* cummin() received an invalid combination of arguments - got (input=Tensor, out=NoneType, dim=Tensor, ), but expected one of:
* Invalid name: a valid identifier must contain alphabetical characters and/or underscore, got: 'htF[<`)'{:=I}5\4`vkTgBf9kLr.R
* Invalid name: a valid identifier must contain alphabetical characters and/or underscore, got: 'z$>l/~,<b)WJ n3fM&2!{.r'h7K$j\0Yd]?+O@mV""Hw`%){ww20$,*E_Z:QjuRlCJUU-_	""|*&~+",0,0,5,0.98,1000,983,26.16,8.95
torch.cumprod,"* Invalid name: a valid identifier must contain alphabetical characters and/or underscore, got: 'L5s-97,vmfBy%D*w4|%f di>C(d'Ot{b%9I_a\osy.j Mnjl4z[9~|#8*^8IY}!u7tE]O"",	dd_~(s/K^	8zbwP.H0{RVVQYoUWS7""s2/7FTvz]9_V
* Dimension out of range (expected to be in range of [-1, 0], but got -534551538546898415)
* cumprod() received an invalid combination of arguments - got (dim=Tensor, input=Tensor, dtype=Tensor, out=float, ), but expected one of:
* Invalid name: a valid identifier must contain alphabetical characters and/or underscore, got: 'IhZ6&-;^49nbl	~8hCXdkr,:""tG0<?J a1I
* Invalid name: a valid identifier must contain alphabetical characters and/or underscore, got: ':^e^`L7aVMl77!kG:Y'XR",0,0,8,1.0,1000,999,45.15,9.51
torch.cumsum,"* Invalid name: a valid identifier must contain alphabetical characters and/or underscore, got: '\:m#k)+b$pE/TA9W\5h=K^FjiS_JePN,SDtOGo""XLj{C7n|k|X}j+rp5vK=)~J=OyVg2 ~eVD=/s($g:!:a#f^
* Dimension out of range (expected to be in range of [-2, 1], but got 74)
* cumsum() received an invalid combination of arguments - got (dim=Tensor, input=Tensor, dtype=NoneType, out=Tensor, ), but expected one of:
* Invalid name: a valid identifier must contain alphabetical characters and/or underscore, got: 'wy&)
* Invalid name: a valid identifier must contain alphabetical characters and/or underscore, got: '#),ZFx#2oWiaMtd!",0,0,6,1.0,1000,1000,33.28,10.5
torch.det,"* det(): argument 'input' must be Tensor, not int
* Dimension out of range (expected to be in range of [-1, 0], but got -2)
* A must be batches of square matrices, but they are 2 by 14 matrices
* Expected a floating point tensor as input",0,0,4,0.96,988,952,72.94,5.31
torch.diag,"* diag(): argument 'input' must be Tensor, not int
* Expected object of scalar type Double but got scalar type Char for argument #0 'result' in call to _th_diag_out
* _th_diag_out not supported on CPUType for Bool
* The tensor has a non-zero number of elements, but its data is not allocated yet. Caffe2 uses a lazy allocation, so you will need to call mutable_data() or raw_mutable_data() to actually allocate memory.
* invalid argument 1: matrix or a vector expected at /opt/conda/conda-bld/pytorch_1587428398394/work/aten/src/TH/generic/THTensorMoreMath.cpp:319",0,0,5,0.98,999,979,94.46,4.06
torch.diag_embed,"* diag_embed(): argument 'offset' must be int, not Tensor",0,0,1,1.0,1000,1000,28.59,4.42
torch.diagflat,"* diagflat(): argument 'offset' must be int, not NoneType
* _th_diag not supported on CPUType for Half",0,0,2,0.93,997,925,463.27,4.47
torch.diagonal,"* diagonal() received an invalid combination of arguments - got (input=float, offset=NoneType, dim2=Tensor, dim1=NoneType, ), but expected one of:",0,0,1,1.0,1000,1000,37.39,11.62
torch.digamma,"* ""digamma"" not implemented for 'Short'
* expected dtype Double but got dtype Half
* digamma(): argument 'input' must be Tensor, not float
* result type Half can't be cast to the desired output type Long
* expected dtype Long but got dtype Byte",0,0,5,0.24,988,238,195.99,0.22
torch.dist,"* dist(): argument 'p' must be Number, not Tensor
* norm only supports floating-point dtypes
* The size of tensor a (6) must match the size of tensor b (15) at non-singleton dimension 2
* Subtraction, the `-` operator, with a bool tensor is not supported. If you are trying to invert a mask, use the `~` or `logical_not()` operator instead.",0,0,4,1.0,1000,999,40.08,6.27
torch.distributed.all_gather,* Invalid function argument. Expected parameter `tensor_list` to be of type List[torch.Tensor].,0,0,1,1.0,1000,1000,36.45,5.93
torch.distributed.all_gather_multigpu,* 'NoneType' object has no attribute 'allgather',0,0,1,1.0,1000,1000,40.43,5.34
torch.distributed.all_reduce,"* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* (): incompatible function arguments. The following argument types are supported:",0,0,2,1.0,1000,1000,39.09,8.39
torch.distributed.barrier,"* 'Tensor' object has no attribute 'barrier'
* Default process group is not initialized",0,0,2,1.0,730,730,25.42,2.96
torch.distributed.broadcast,"* The given group does not exist
* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* (): incompatible function arguments. The following argument types are supported:",0,0,3,1.0,1000,997,77.71,8.52
torch.distributed.broadcast_multigpu,"* The given group does not exist
* (): incompatible function arguments. The following argument types are supported:",0,0,2,1.0,1000,997,82.48,9.26
torch.distributed.gather,"* bool value of Tensor with more than one value is ambiguous
* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* Default process group is not initialized",0,0,3,1.0,1000,1000,39.29,5.16
torch.distributed.init_process_group,* Expected timeout argument to be of typedatetime.timedelta,0,0,1,1.0,1000,1000,39.0,5.0
torch.distributed.irecv,"* The given group does not exist
* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.",0,0,2,1.0,1000,1000,35.78,5.41
torch.distributed.isend,"* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* The given group does not exist",0,0,2,1.0,1000,1000,38.96,5.41
torch.distributed.new_group,* Default process group is not initialized,0,0,1,1.0,872,872,25.5,3.79
torch.distributed.recv,"* 'NoneType' object has no attribute 'recv_anysource'
* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* The given group does not exist",0,0,3,1.0,1000,1000,33.3,5.33
torch.distributed.reduce,"* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* (): incompatible function arguments. The following argument types are supported:",0,0,2,1.0,1000,1000,43.97,8.54
torch.distributed.reduce_multigpu,* (): incompatible function arguments. The following argument types are supported:,0,0,1,1.0,1000,999,57.78,9.24
torch.distributed.scatter,"* bool value of Tensor with more than one value is ambiguous
* Invalid function argument. Expected parameter `scatter_list` to be of type List[torch.Tensor].
* Default process group is not initialized",0,0,3,1.0,1000,1000,39.87,5.65
torch.distributed.send,"* Invalid function argument. Expected parameter `tensor` to be of type torch.Tensor.
* The given group does not exist",0,0,2,1.0,1000,1000,35.23,5.31
