API,Error messages,# timeout,# signal,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time,# dtype permutes,# valid permutes,valid permute ratio
torch.angle,"* ""angle_cpu"" not implemented for 'Bool'
* angle(): argument 'input' must be Tensor, not str
* expected dtype Int but got dtype Short
* angle() missing 1 required positional arguments: ""input""
* result type Float can't be cast to the desired output type Long",7,0,5,0.54,992,533,94.28,0.99,N/A,N/A,N/A
torch.arange,"* arange(): argument 'end' must be Number, not numpy.ndarray
* arange() received an invalid combination of arguments - got (), but expected one of:",0,0,2,1.0,11,11,4.89,0.01,64,0,0.0
torch.argmax,"* ""argmax_cpu"" not implemented for 'Bool'
* argmax(): argument 'input' must be Tensor, not str
* cannot perform reduction function argmax on a tensor with no elements because the operation does not have an identity
* argmax() missing 1 required positional arguments: ""input""",10,0,4,0.29,982,282,122.08,0.41,N/A,N/A,N/A
torch.argmax2,"* Dimension out of range (expected to be in range of [-3, 2], but got -57)
* argmax() missing 1 required positional arguments: ""input""",0,0,2,1.0,11,11,2.88,0.01,96,0,0.0
torch.argmin,"* ""argmin_cpu"" not implemented for 'Half'
* argmin(): argument 'input' must be Tensor, not str
* cannot perform reduction function argmin on a tensor with no elements because the operation does not have an identity
* argmin() missing 1 required positional arguments: ""input""",12,0,4,0.28,979,276,145.79,0.35,N/A,N/A,N/A
torch.argmin2,"* argmin() got an unexpected keyword argument 'out'
* argmin(): argument 'input' must be Tensor, not str
* argmin() missing 1 required positional arguments: ""input""",0,0,3,1.0,11,11,31.82,0.01,1536,0,0.0
torch.argsort,"* Dimension out of range (expected to be in range of [-3, 2], but got 1154784911)
* _th_sort not supported on CPUType for Half
* argsort() received an invalid combination of arguments - got (), but expected one of:",0,0,3,1.0,11,11,2.92,0.01,96,0,0.0
torch.as_strided,"* as_strided(): argument 'size' must be tuple of ints, not numpy.ndarray
* as_strided() missing 3 required positional argument: ""input"", ""size"", ""stride""",0,0,2,1.0,11,11,64.85,0.01,3456,0,0.0
torch.as_tensor,"* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: 	!10L|`N4Fe~H'>%D<*&%H"".2TwUeC8ef`qVBB^71 w
* as_tensor(): argument 'device' must be torch.device, not bool
* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: J,6""2""?y""$Nsk-5o""};8 .SlR;MMn/mN
* Device index must be -1 or non-negative, got -24372
* Expected one of cpu, cuda, mkldnn, opengl, opencl, ideep, hip, msnpu device type at start of device string: =MXU w};NHF",0,0,11,0.51,971,498,19.98,1.36,N/A,N/A,N/A
torch.asin,"* asin_vml_cpu not implemented for 'Long'
* asin(): argument 'input' must be Tensor, not str
* expected dtype Long but got dtype Short
* result type Float can't be cast to the desired output type Char
* asin() missing 1 required positional arguments: ""input""",25,0,5,0.01,998,14,292.92,0.01,256,0,0.0
torch.atan,"* atan_vml_cpu not implemented for 'Short'
* atan(): argument 'out' must be Tensor, not str
* expected dtype Float but got dtype Int
* atan() missing 1 required positional arguments: ""input""
* result type Float can't be cast to the desired output type Short",3,0,5,0.77,48,37,40.09,0.01,256,0,0.0
torch.atan2,"* ""atan2_cpu"" not implemented for 'Half'
* atan2(): argument 'other' must be Tensor, not str
* The size of tensor a (16) must match the size of tensor b (19) at non-singleton dimension 3
* atan2() missing 2 required positional argument: ""input"", ""other""
* result type Half can't be cast to the desired output type Int",37,0,5,0.75,1033,774,562.84,2.69,4096,0,0.0
torch.autograd.backward,"* 'grad_tensors' and 'grad_variables' (deprecated) arguments both passed to backward(). Please only use 'grad_tensors'.
* element 0 of tensors does not require grad and does not have a grad_fn
* backward() missing 1 required positional argument: 'tensors'
* gradients can be either Tensors or None, but got ndarray
* Mismatch in shape: grad_output[0] has a shape of torch.Size([19]) and output[0] has a shape of torch.Size([14]).",0,0,5,1.0,11,11,58.09,0.0,4096,0,0.0
torch.autograd.functional.hessian,"* 'numpy.ndarray' object is not callable
* only Tensors of floating point dtype can require gradients
* hessian() missing 2 required positional arguments: 'func' and 'inputs'
* The inputs given to hessian must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'str'>.",0,0,4,1.0,11,11,4.55,0.01,256,0,0.0
torch.autograd.functional.hvp,"* v has invalid size: should be torch.Size([1]) but got torch.Size([4]).
* The inputs given to hvp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'str'>.
* only Tensors of floating point dtype can require gradients
* hvp() missing 2 required positional arguments: 'func' and 'inputs'
* The vector v can only be None if the input to the user-provided function is a single Tensor with a single element.",0,0,5,1.0,11,11,70.38,0.01,4096,0,0.0
torch.autograd.functional.jacobian,"* 'numpy.ndarray' object is not callable
* jacobian() missing 2 required positional arguments: 'func' and 'inputs'
* only Tensors of floating point dtype can require gradients",0,0,3,1.0,11,11,4.0,0.01,256,0,0.0
torch.autograd.functional.jvp,"* v has invalid size: should be torch.Size([8]) but got torch.Size([11]).
* The inputs given to jvp must be either a Tensor or a tuple of Tensors but the given inputs has type <class 'str'>.
* only Tensors of floating point dtype can require gradients
* jvp() missing 2 required positional arguments: 'func' and 'inputs'",0,0,4,1.0,11,11,67.47,0.01,4096,0,0.0
torch.autograd.functional.vhp,"* v has invalid size: should be torch.Size([20]) but got torch.Size([9]).
* The vector v can only be None if the input to the user-provided function is a single Tensor with a single element.
* only Tensors of floating point dtype can require gradients
* vhp() missing 2 required positional arguments: 'func' and 'inputs'
* The v given to vhp must be either a Tensor or a tuple of Tensors but the given v has type <class 'str'>.",0,0,5,1.0,11,11,66.69,0.01,4096,0,0.0
torch.autograd.functional.vjp,"* 'numpy.ndarray' object is not callable
* vjp() missing 2 required positional arguments: 'func' and 'inputs'
* only Tensors of floating point dtype can require gradients",0,0,3,1.0,11,11,68.09,0.01,4096,0,0.0
torch.autograd.grad,"* Mismatch in shape: grad_output[0] has a shape of torch.Size([11]) and output[0] has a shape of torch.Size([20]).
* element 0 of tensors does not require grad and does not have a grad_fn
* 'str' object has no attribute 'requires_grad'
* grad() missing 2 required positional arguments: 'outputs' and 'inputs'",0,0,4,1.0,11,11,111.98,0.0,4096,0,0.0
torch.autograd.gradcheck,"* gradcheck expects at least one input tensor to require gradient, but none of the them have requires_grad=True.
* gradcheck() missing 2 required positional arguments: 'func' and 'inputs'",0,0,2,1.0,11,11,4.41,0.01,256,0,0.0
torch.autograd.gradgradcheck,"* 'numpy.ndarray' object is not callable
* gradgradcheck() missing 2 required positional arguments: 'func' and 'inputs'
* gradcheck expects at least one input tensor to require gradient, but none of the them have requires_grad=True.",0,0,3,1.0,11,11,68.53,0.01,4096,0,0.0
torch.autograd.profiler.load_nvprof,"* unable to open database file
* no such table: StringTable
* load_nvprof() missing 1 required positional argument: 'path'",0,0,3,1.0,11,11,0.2,0.01,1,0,0.0
torch.baddbmm,"* Dimension out of range (expected to be in range of [-2, 1], but got 2)
* dimension specified as 2 but tensor has no dimensions
* Expected 3-dimensional tensor, but got 2-dimensional tensor for argument #1 'batch1' (while checking arguments for baddbmm)
* baddbmm() received an invalid combination of arguments - got (), but expected (Tensor input, Tensor batch1, Tensor batch2, *, Number beta, Number alpha, Tensor out)
* expand(CPUBoolType{[20, 13, 9, 1]}, size=[0, 8, 9]): the number of sizes provided (3) must be greater or equal to the number of dimensions in the tensor (4)",0,0,5,1.0,11,11,21.02,0.01,64,0,0.0
torch.bartlett_window,"* bartlett_window() received an invalid combination of arguments - got (window_length=int, device=NoneType, requires_grad=bool, layout=numpy.ndarray, periodic=bool, dtype=NoneType, ), but expected one of:",0,0,1,1.0,11,11,20.54,0.01,1536,0,0.0
torch.bernoulli,"* bernoulli() received an invalid combination of arguments - got (out=NoneType, input=Tensor, generator=numpy.ndarray, ), but expected one of:
* ""bernoulli_tensor_cpu_p_"" not implemented for 'Short'
* Expected p_in >= 0 && p_in <= 1 to be true, but got false.  (Could this error message be improved?  If so, please report an enhancement request to PyTorch.)
* ""bernoulli_tensor_cpu_self_"" not implemented for 'Half'",0,0,4,1.0,11,11,132.0,0.01,4096,0,0.0
torch.bincount,"* ""bincount_cpu"" not implemented for 'Double'
* bincount(): argument 'input' must be Tensor, not str
* dimension specified as 0 but tensor has no dimensions
* bincount() missing 1 required positional arguments: ""input""
* minlength should be >= 0",23,0,5,0.41,41,17,250.91,0.01,960,0,0.0
torch.bitwise_and,"* ""bitwise_and_cpu"" not implemented for 'Float'
* result type Float can't be cast to the desired output type Long
* bitwise_and() received an invalid combination of arguments - got (input=str, out=Tensor, other=Tensor, ), but expected one of:
* The size of tensor a (20) must match the size of tensor b (11) at non-singleton dimension 2",17,0,4,0.7,1014,707,338.7,2.51,4096,0,0.0
torch.bitwise_not,"* ""bitwise_not_cpu"" not implemented for 'Half'
* expected dtype Float but got dtype Byte
* result type Float can't be cast to the desired output type Byte
* bitwise_not(): argument 'input' must be Tensor, not str
* bitwise_not() missing 1 required positional arguments: ""input""",13,0,5,0.51,982,498,163.21,0.89,256,0,0.0
torch.bitwise_or,"* ""bitwise_or_cpu"" not implemented for 'Float'
* result type Float can't be cast to the desired output type Int
* bitwise_or() received an invalid combination of arguments - got (input=Tensor, out=Tensor, other=str, ), but expected one of:
* The size of tensor a (0) must match the size of tensor b (16) at non-singleton dimension 1",28,0,4,0.75,1023,772,452.5,2.69,4096,0,0.0
torch.bitwise_xor,"* ""bitwise_xor_cpu"" not implemented for 'Half'
* result type Byte can't be cast to the desired output type Bool
* bitwise_xor() received an invalid combination of arguments - got (), but expected one of:
* The size of tensor a (17) must match the size of tensor b (14) at non-singleton dimension 1",34,0,4,0.77,1028,793,514.11,3.11,4096,0,0.0
torch.blackman_window,"* blackman_window() received an invalid combination of arguments - got (window_length=numpy.ndarray, device=NoneType, requires_grad=bool, layout=numpy.ndarray, periodic=bool, dtype=NoneType, ), but expected one of:",0,0,1,1.0,11,11,38.42,0.01,1536,0,0.0
torch.bmm,"* Expected 3-dimensional tensor, but got 1-dimensional tensor for argument #1 'batch1' (while checking arguments for bmm)
* bmm() missing 2 required positional argument: ""input"", ""mat2""",0,0,2,1.0,11,11,53.58,0.01,1600,0,0.0
torch.broadcast_tensors,* broadcast_tensors() got an unexpected keyword argument '*tensors',0,0,1,0.92,12,11,0.87,0.01,16,0,0.0
torch.cartesian_prod,"* cartesian_prod() got an unexpected keyword argument '*tensors'
* meshgrid expects a non-empty TensorList",0,0,2,1.0,11,11,1.17,0.01,16,0,0.0
torch.cat,"* cat() received an invalid combination of arguments - got (tensors=Tensor, out=Tensor, dim=int, ), but expected one of:",0,0,1,1.0,11,11,35.81,0.01,1536,0,0.0
torch.cdist,"* 174 is not a valid value for compute_mode
* [[-3.61780365e+18  3.96442057e+18 -4.75146572e+18  5.00127223e+18
* [[  5724.    9670.    5580.    2484.   -7640.  -11990.   -8310.   -9800. ]
* cdist() missing 2 required positional arguments: 'x1' and 'x2'
* [[[[ -16]",0,0,7,1.0,11,11,6.6,0.02,2560,0,0.0
torch.ceil,"* ceil_vml_cpu not implemented for 'Char'
* ceil(): argument 'out' must be Tensor, not str
* expected dtype Double but got dtype Float
* ceil() missing 1 required positional arguments: ""input""
* result type Float can't be cast to the desired output type Byte",143,0,5,0.26,1011,258,1492.67,0.4,256,0,0.0
torch.chain_matmul,* chain_matmul() got an unexpected keyword argument '*matrices',0,1,1,0.92,12,11,10.57,0.01,16,0,0.0
torch.cholesky,"* cholesky(): argument 'upper' must be bool, not int
* cholesky() missing 1 required positional arguments: ""input""",0,0,2,1.0,11,11,13.26,0.01,1000,0,0.0
torch.cholesky_inverse,"* cholesky_inverse(): argument 'upper' must be bool, not float
* cholesky_inverse() missing 1 required positional arguments: ""input""
* cholesky_inverse(): argument 'input' must be Tensor, not str",0,0,3,1.0,11,11,42.52,0.01,2560,0,0.0
torch.cholesky_solve,"* cholesky_solve(): argument 'upper' must be bool, not float
* cholesky_solve() missing 2 required positional argument: ""input"", ""input2""",0,0,2,1.0,11,11,2.62,0.01,32,0,0.0
torch.chunk,"* Dimension out of range (expected to be in range of [-3, 2], but got 20)
* chunk expects at least a 1-dimensional tensor
* chunk() missing 2 required positional argument: ""input"", ""chunks""
* chunk(): argument 'input' must be Tensor, not str",0,0,4,1.0,11,11,11.37,0.01,576,0,0.0
torch.clamp,"* clamp(): argument 'min' must be Number, not numpy.ndarray
* clamp(): argument 'input' must be Tensor, not str
* result type Float can't be cast to the desired output type Short
* clamp() missing 1 required positional arguments: ""input""",2,0,4,0.85,13,11,151.99,0.01,9216,0,0.0
torch.combinations,"* [enforce fail at CPUAllocator.cpp:47] ((ptrdiff_t)nbytes) >= 0. alloc_cpu() seems to have been called with negative number: 17451869791863703195
* std::bad_alloc
* [enforce fail at CPUAllocator.cpp:64] . DefaultCPUAllocator: can't allocate memory: you tried to allocate 3122017754390365521 bytes. Error code 12 (Cannot allocate memory)
* Expect a positive number, but got 0
* combinations(): argument 'input' must be Tensor, not str",0,90,6,0.36,110,40,530.74,0.03,96,0,0.0
torch.conj,"* ""conj_cpu"" not implemented for 'Half'
* conj(): argument 'input' must be Tensor, not str
* expected dtype Char but got dtype Bool
* conj() missing 1 required positional arguments: ""input""
* result type Float can't be cast to the desired output type Byte",13,0,5,0.55,997,545,155.64,1.1,N/A,N/A,N/A
torch.cos,"* cos_vml_cpu not implemented for 'Long'
* cos(): argument 'input' must be Tensor, not str
* expected dtype Double but got dtype Half
* cos() missing 1 required positional arguments: ""input""
* result type Float can't be cast to the desired output type Byte",31,0,6,0.27,999,266,348.81,0.35,256,0,0.0
torch.cosh,"* ""cosh_cpu"" not implemented for 'Char'
* result type Float can't be cast to the desired output type Byte
* expected dtype Double but got dtype Short
* cosh() missing 1 required positional arguments: ""input""
* cosh(): argument 'input' must be Tensor, not str",7,0,6,0.51,994,507,103.66,0.95,256,0,0.0
torch.cross,"* inconsistent tensors dimensions input: 1 other: 0
* cross(): argument 'other' must be Tensor, not str
* cross() missing 2 required positional argument: ""input"", ""other""
* inconsistent tensors sizes input: [4, 10, 14] other: [14, 8, 2]",0,0,4,1.0,11,11,66.68,0.01,64,0,0.0
torch.cuda.comm.broadcast,"* _broadcast(): incompatible function arguments. The following argument types are supported:
* cuda runtime error (35) : CUDA driver version is insufficient for CUDA runtime version at /opt/conda/conda-bld/pytorch_1587428398394/work/aten/src/THC/THCGeneral.cpp:47
* _broadcast(): incompatible function arguments. The following argument types are supported:
* Device index must be -1 or non-negative, got -10267
* _broadcast(): incompatible function arguments. The following argument types are supported:",0,0,7,0.92,13,12,4.73,0.01,256,0,0.0
torch.cuda.comm.broadcast_coalesced,"* _broadcast_coalesced(): incompatible function arguments. The following argument types are supported:
* _broadcast_coalesced(): incompatible function arguments. The following argument types are supported:
* _broadcast_coalesced(): incompatible function arguments. The following argument types are supported:
* _broadcast_coalesced(): incompatible function arguments. The following argument types are supported:
* _broadcast_coalesced(): incompatible function arguments. The following argument types are supported:",5,0,9,0.69,16,11,79.6,0.02,1536,0,0.0
torch.cuda.comm.gather,"* _gather(): incompatible function arguments. The following argument types are supported:
* _gather(): incompatible function arguments. The following argument types are supported:
* _gather(): incompatible function arguments. The following argument types are supported:
* _gather(): incompatible function arguments. The following argument types are supported:
* gather() missing 1 required positional argument: 'tensors'",0,0,6,1.0,11,11,9.2,0.02,576,0,0.0
torch.cuda.comm.reduce_add,"* reduce_add expects all inputs to be on GPUs
* reduce_add() missing 1 required positional argument: 'inputs'
* ",0,0,3,1.0,11,11,1.61,0.01,96,0,0.0
torch.cuda.comm.scatter,"* Dimension out of range (expected to be in range of [-2, 1], but got -4056088933614014041)
* dimension specified as -6743856056999288136 but tensor has no dimensions
* chunk expects at least a 1-dimensional tensor
* scatter() missing 2 required positional arguments: 'tensor' and 'devices'
* Expected a sequence in THPUtils_PySequence_to_CUDAStreamList",0,0,5,1.0,11,11,4.98,0.01,16,0,0.0
torch.cuda.current_stream,* ,0,0,1,1.0,9,9,0.22,0.01,6,0,0.0
torch.cuda.default_stream,* ,0,0,1,1.0,7,7,0.24,0.0,6,0,0.0
torch.cuda.get_device_capability,* ,0,0,1,1.0,7,7,0.24,0.01,6,0,0.0
torch.cuda.get_device_name,* ,0,0,1,1.0,4,4,0.21,0.0,6,0,0.0
torch.cuda.get_rng_state,* ,0,0,1,1.0,11,11,0.26,0.01,7,0,0.0
torch.cuda.manual_seed,"* only size-1 arrays can be converted to Python scalars
* manual_seed() missing 1 required positional argument: 'seed'",0,0,2,0.89,18,16,0.31,0.01,6,0,0.0
torch.cuda.manual_seed_all,"* only size-1 arrays can be converted to Python scalars
* manual_seed_all() missing 1 required positional argument: 'seed'",0,0,2,0.82,17,14,0.31,0.01,6,0,0.0
torch.cuda.max_memory_allocated,"* 
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.
* invalid argument to memory_allocated",0,0,3,1.0,9,9,0.22,0.01,6,0,0.0
torch.cuda.max_memory_reserved,"* 
* invalid argument to memory_allocated
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.",0,0,3,1.0,5,5,0.22,0.0,6,0,0.0
torch.cuda.memory_allocated,"* 
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.
* invalid argument to memory_allocated",0,0,3,1.0,8,8,0.23,0.01,6,0,0.0
torch.cuda.memory_reserved,"* 
* invalid argument to memory_allocated",0,0,2,1.0,7,7,0.22,0.01,6,0,0.0
torch.cuda.memory_stats,"* invalid argument to memory_allocated
* ",0,0,2,1.0,8,8,0.22,0.0,6,0,0.0
torch.cuda.memory_summary,"* 
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.
* invalid argument to memory_allocated",0,0,3,1.0,6,6,0.25,0.01,6,0,0.0
torch.cuda.nvtx.mark,* mark() missing 1 required positional argument: 'msg',0,0,1,0.0,1000,1,13.91,N/A,N/A,N/A,N/A
torch.cuda.nvtx.range_push,* range_push() missing 1 required positional argument: 'msg',0,0,1,0.0,1000,1,14.06,N/A,N/A,N/A,N/A
torch.cuda.reset_max_memory_allocated,"* invalid argument to reset_peak_memory_stats
* 
* 0 <= device && device < device_num INTERNAL ASSERT FAILED at /opt/conda/conda-bld/pytorch_1587428398394/work/c10/cuda/CUDACachingAllocator.cpp:879, please report a bug to PyTorch. Invalid device argument.",0,0,3,1.0,6,6,0.23,0.01,6,0,0.0
torch.cuda.reset_max_memory_cached,"* 
* invalid argument to reset_peak_memory_stats",0,0,2,1.0,7,7,0.23,0.01,6,0,0.0
torch.cuda.set_device,"* 
* set_device() missing 1 required positional argument: 'device'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,0,3,0.76,51,39,0.77,0.02,6,0,0.0
torch.cuda.set_rng_state,"* 'int' object has no attribute 'clone'
* set_rng_state() missing 1 required positional argument: 'new_state'",0,0,2,1.0,11,11,0.36,0.01,7,0,0.0
torch.cuda.synchronize,* ,0,0,1,1.0,6,6,0.4,0.01,6,0,0.0
torch.cummax,"* Dimension out of range (expected to be in range of [-2, 1], but got -7)
* cummax() received an invalid combination of arguments - got (), but expected one of:",0,0,2,1.0,11,11,47.25,0.01,1536,0,0.0
torch.cummin,"* Dimension out of range (expected to be in range of [-2, 1], but got 181)
* cummin() received an invalid combination of arguments - got (input=Tensor, out=numpy.ndarray, dim=int, ), but expected one of:",0,0,2,1.0,11,11,48.55,0.01,1536,0,0.0
torch.cumprod,"* Dimension out of range (expected to be in range of [-2, 1], but got 204)
* cumprod() received an invalid combination of arguments - got (dim=int, input=str, dtype=NoneType, out=Tensor, ), but expected one of:",38,0,2,0.96,1018,977,474.9,5.12,1536,0,0.0
torch.cumsum,"* Dimension out of range (expected to be in range of [-1, 0], but got 100)
* ""cumsum_out_cpu"" not implemented for 'Bool'
* cumsum() received an invalid combination of arguments - got (), but expected one of:",26,0,3,0.97,1014,979,326.58,4.75,1536,0,0.0
torch.det,"* A must be batches of square matrices, but they are 19 by 16 matrices
* Expected a floating point tensor as input
* det() missing 1 required positional arguments: ""input""
* ""lu_cpu"" not implemented for 'Half'
* det(): argument 'input' must be Tensor, not str",1,0,5,0.73,41,30,11.61,0.01,16,0,0.0
torch.diag,"* _th_diag not supported on CPUType for Bool
* diag(): argument 'out' must be Tensor, not str
* Expected object of scalar type Float but got scalar type Long for argument #0 'result' in call to _th_diag_out
* diag() missing 1 required positional arguments: ""input""
* The tensor has a non-zero number of elements, but its data is not allocated yet. Caffe2 uses a lazy allocation, so you will need to call mutable_data() or raw_mutable_data() to actually allocate memory.",121,0,6,0.81,1035,842,1275.84,3.27,1536,0,0.0
torch.diag_embed,"* Dimension out of range (expected to be in range of [-6, 5], but got 151)
* diag_embed() missing 1 required positional arguments: ""input""",1,0,2,0.92,12,11,76.88,0.01,3456,0,0.0
torch.diagflat,"* _th_diag not supported on CPUType for Bool
* [enforce fail at CPUAllocator.cpp:64] . DefaultCPUAllocator: can't allocate memory: you tried to allocate 7651198963024257152 bytes. Error code 12 (Cannot allocate memory)
* [enforce fail at CPUAllocator.cpp:47] ((ptrdiff_t)nbytes) >= 0. alloc_cpu() seems to have been called with negative number: 10292948923391810404
* diagflat() missing 1 required positional arguments: ""input""
* diagflat(): argument 'input' must be Tensor, not str",396,3,5,0.33,1038,347,4065.72,0.53,96,0,0.0
torch.diagonal,"* Dimension out of range (expected to be in range of [-3, 2], but got 35)
* diagonal() received an invalid combination of arguments - got (), but expected one of:",0,0,2,1.0,11,11,60.85,0.01,3456,0,0.0
torch.digamma,"* ""digamma"" not implemented for 'Long'
* digamma() missing 1 required positional arguments: ""input""
* digamma(): argument 'out' must be Tensor, not numpy.ndarray",14,0,3,0.52,1001,525,173.34,1.01,256,0,0.0
torch.dist,"* dist(): argument 'other' must be Tensor, not str
* The size of tensor a (9) must match the size of tensor b (14) at non-singleton dimension 2
* Subtraction, the `-` operator, with a bool tensor is not supported. If you are trying to invert a mask, use the `~` or `logical_not()` operator instead.
* norm only supports floating-point dtypes
* ""add_cpu/sub_cpu"" not implemented for 'Half'",24,0,6,0.72,1019,737,315.81,2.53,1792,0,0.0
torch.distributed.all_gather,"* Invalid function argument. Expected parameter `tensor_list` to be of type List[torch.Tensor].
* all_gather() missing 2 required positional arguments: 'tensor_list' and 'tensor'",0,0,2,1.0,11,11,61.94,0.01,4096,0,0.0
torch.distributed.all_gather_multigpu,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* 'int' object has no attribute 'allgather'
* all_gather_multigpu() missing 2 required positional arguments: 'output_tensor_lists' and 'input_tensor_list'",0,0,3,1.0,11,11,62.32,0.01,4096,0,0.0
torch.distributed.all_reduce,"* (): incompatible function arguments. The following argument types are supported:
* all_reduce() missing 1 required positional argument: 'tensor'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* (): incompatible function arguments. The following argument types are supported:",0,0,4,1.0,11,11,109.95,0.01,4096,0,0.0
torch.distributed.barrier,"* 'float' object has no attribute 'barrier'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Default process group is not initialized",0,0,3,1.0,11,11,0.57,0.01,16,0,0.0
